Node,Network,Next_Hop,Protocol
ajdovscina,10.0.0.48/31,FastEthernet0/1,connected
ajdovscina,10.0.0.49/32,FastEthernet0/1,local
ajdovscina,10.0.0.68/31,FastEthernet0/0,connected
ajdovscina,10.0.0.69/32,FastEthernet0/0,local
bled,10.0.0.26/31,FastEthernet0/0,connected
bled,10.0.0.27/32,FastEthernet0/0,local
bled,10.0.0.30/31,FastEthernet0/1,connected
bled,10.0.0.30/32,FastEthernet0/1,local
celje,10.0.0.8/31,FastEthernet2/0,connected
celje,10.0.0.8/32,FastEthernet2/0,local
celje,10.0.0.10/31,FastEthernet0/1,connected
celje,10.0.0.10/32,FastEthernet0/1,local
celje,10.0.0.12/31,FastEthernet0/0,connected
celje,10.0.0.12/32,FastEthernet0/0,local
celje,10.0.0.14/31,FastEthernet1/1,connected
celje,10.0.0.14/32,FastEthernet1/1,local
celje,10.0.0.16/31,FastEthernet1/0,connected
celje,10.0.0.16/32,FastEthernet1/0,local
celje,128.0.0.0/24,ip,bgp
divaca,10.0.0.50/31,FastEthernet1/0,connected
divaca,10.0.0.51/32,FastEthernet1/0,local
divaca,10.0.0.64/31,FastEthernet1/1,connected
divaca,10.0.0.65/32,FastEthernet1/1,local
divaca,10.0.0.68/31,FastEthernet0/0,connected
divaca,10.0.0.68/32,FastEthernet0/0,local
divaca,10.0.0.70/31,FastEthernet0/1,connected
divaca,10.0.0.70/32,FastEthernet0/1,local
dravograd,10.0.0.74/31,FastEthernet1/0,connected
dravograd,10.0.0.75/32,FastEthernet1/0,local
dravograd,10.0.0.78/31,FastEthernet1/1,connected
dravograd,10.0.0.79/32,FastEthernet1/1,local
dravograd,10.0.0.88/31,FastEthernet0/0,connected
dravograd,10.0.0.89/32,FastEthernet0/0,local
dravograd,10.0.0.92/31,FastEthernet0/1,connected
dravograd,10.0.0.92/32,FastEthernet0/1,local
dravograd,128.0.0.0/24,ip,bgp
gornjattradgona,10.0.0.54/31,FastEthernet0/1,connected
gornjattradgona,10.0.0.54/32,FastEthernet0/1,local
gornjattradgona,10.0.0.56/31,FastEthernet0/0,connected
gornjattradgona,10.0.0.56/32,FastEthernet0/0,local
izola,10.0.0.52/31,FastEthernet0/1,connected
izola,10.0.0.53/32,FastEthernet0/1,local
izola,10.0.0.72/31,FastEthernet0/0,connected
izola,10.0.0.72/32,FastEthernet0/0,local
jesenice,10.0.0.22/31,FastEthernet0/0,connected
jesenice,10.0.0.23/32,FastEthernet0/0,local
kamnik,10.0.0.12/31,FastEthernet0/0,connected
kamnik,10.0.0.13/32,FastEthernet0/0,local
kamnik,10.0.0.40/31,FastEthernet0/1,connected
kamnik,10.0.0.41/32,FastEthernet0/1,local
koper,10.0.0.24/31,FastEthernet1/0,connected
koper,10.0.0.25/32,FastEthernet1/0,local
koper,10.0.0.42/31,FastEthernet1/1,connected
koper,10.0.0.43/32,FastEthernet1/1,local
koper,10.0.0.70/31,FastEthernet0/0,connected
koper,10.0.0.71/32,FastEthernet0/0,local
koper,10.0.0.72/31,FastEthernet0/1,connected
koper,10.0.0.73/32,FastEthernet0/1,local
kovevje,10.0.0.32/31,FastEthernet0/1,connected
kovevje,10.0.0.33/32,FastEthernet0/1,local
kovevje,10.0.0.38/31,FastEthernet0/0,connected
kovevje,10.0.0.39/32,FastEthernet0/0,local
kranj,10.0.0.22/31,FastEthernet0/1,connected
kranj,10.0.0.22/32,FastEthernet0/1,local
kranj,10.0.0.24/31,FastEthernet1/0,connected
kranj,10.0.0.24/32,FastEthernet1/0,local
kranj,10.0.0.26/31,FastEthernet0/0,connected
kranj,10.0.0.26/32,FastEthernet0/0,local
kranj,10.0.0.28/31,FastEthernet1/1,connected
kranj,10.0.0.28/32,FastEthernet1/1,local
krsko,10.0.0.4/31,FastEthernet0/1,connected
krsko,10.0.0.4/32,FastEthernet0/1,local
krsko,10.0.0.6/31,FastEthernet0/0,connected
krsko,10.0.0.6/32,FastEthernet0/0,local
lasko,10.0.0.0/31,FastEthernet1/1,connected
lasko,10.0.0.1/32,FastEthernet1/1,local
lasko,10.0.0.10/31,FastEthernet0/0,connected
lasko,10.0.0.11/32,FastEthernet0/0,local
lasko,10.0.0.18/31,FastEthernet1/0,connected
lasko,10.0.0.18/32,FastEthernet1/0,local
lasko,10.0.0.20/31,FastEthernet0/1,connected
lasko,10.0.0.20/32,FastEthernet0/1,local
lasko,128.0.0.0/24,ip,bgp
ljubljana,10.0.0.2/31,FastEthernet4/0,connected
ljubljana,10.0.0.3/32,FastEthernet4/0,local
ljubljana,10.0.0.20/31,FastEthernet2/0,connected
ljubljana,10.0.0.21/32,FastEthernet2/0,local
ljubljana,10.0.0.28/31,FastEthernet1/1,connected
ljubljana,10.0.0.29/32,FastEthernet1/1,local
ljubljana,10.0.0.34/31,FastEthernet3/0,connected
ljubljana,10.0.0.34/32,FastEthernet3/0,local
ljubljana,10.0.0.36/31,FastEthernet3/1,connected
ljubljana,10.0.0.36/32,FastEthernet3/1,local
ljubljana,10.0.0.38/31,FastEthernet1/0,connected
ljubljana,10.0.0.38/32,FastEthernet1/0,local
ljubljana,10.0.0.40/31,FastEthernet0/0,connected
ljubljana,10.0.0.40/32,FastEthernet0/0,local
ljubljana,10.0.0.42/31,FastEthernet0/1,connected
ljubljana,10.0.0.42/32,FastEthernet0/1,local
ljubljana,10.0.0.44/31,FastEthernet2/1,connected
