节点介数中心性：
设备: Ajdovscina, 介数中心性: 0.0107
设备: Divaca, 介数中心性: 0.0597
设备: Novattgorica, 介数中心性: 0.0954
设备: Bled, 介数中心性: 0.0053
设备: Kranj, 介数中心性: 0.1123
设备: Tolmin, 介数中心性: 0.0036
设备: Celje, 介数中心性: 0.0951
设备: Kamnik, 介数中心性: 0.0389
设备: Lasko, 介数中心性: 0.0707
设备: Peercelje_0, 介数中心性: 0.0000
设备: Slovenskattbistrica, 介数中心性: 0.0152
设备: Velenje, 介数中心性: 0.0166
设备: Koper, 介数中心性: 0.1497
设备: Portoroz, 介数中心性: 0.0036
设备: Senozece, 介数中心性: 0.0633
设备: Dravograd, 介数中心性: 0.1319
设备: Maribor, 介数中心性: 0.4798
设备: Ravnettnattkoroskem, 介数中心性: 0.0000
设备: Slovenjttgradec, 介数中心性: 0.0000
设备: Gornjattradgona, 介数中心性: 0.1007
设备: Radenci, 介数中心性: 0.0508
设备: Izola, 介数中心性: 0.0232
设备: Jesenice, 介数中心性: 0.0000
设备: Ljubljana, 介数中心性: 0.6090
设备: Kovevje, 介数中心性: 0.0802
设备: Novottmesto, 介数中心性: 0.0348
设备: Krsko, 介数中心性: 0.0098
设备: Rogasjattslatina, 介数中心性: 0.0303
设备: Trbovlje, 介数中心性: 0.0000
设备: Postojna, 介数中心性: 0.0873
设备: Ljutomer, 介数中心性: 0.0098
设备: Murskattsobota, 介数中心性: 0.0053
设备: Ormoz, 介数中心性: 0.0597
设备: Ptuj, 介数中心性: 0.1747
设备: Sezana, 介数中心性: 0.0000
