Next_Hop,Networks
ajdovscina_FastEthernet0/1,10.0.0.48/31|10.0.0.49/32
ajdovscina_FastEthernet0/0,10.0.0.68/31|10.0.0.69/32
bled_FastEthernet0/0,10.0.0.27/32|10.0.0.26/31
bled_FastEthernet0/1,10.0.0.30/31|10.0.0.30/32
celje_FastEthernet2/0,10.0.0.8/32|10.0.0.8/31
celje_FastEthernet0/1,10.0.0.10/32|10.0.0.10/31
celje_FastEthernet0/0,10.0.0.12/31|10.0.0.12/32
celje_FastEthernet1/1,10.0.0.14/31|10.0.0.14/32
celje_FastEthernet1/0,10.0.0.16/32|10.0.0.16/31
ip 10.0.0.17,128.0.0.0/24
divaca_FastEthernet1/0,10.0.0.51/32|10.0.0.50/31
divaca_FastEthernet1/1,10.0.0.64/31|10.0.0.65/32
divaca_FastEthernet0/0,10.0.0.68/31|10.0.0.68/32
divaca_FastEthernet0/1,10.0.0.70/31|10.0.0.70/32
dravograd_FastEthernet1/0,10.0.0.74/31|10.0.0.75/32
dravograd_FastEthernet1/1,10.0.0.78/31|10.0.0.79/32
dravograd_FastEthernet0/0,10.0.0.89/32|10.0.0.88/31
dravograd_FastEthernet0/1,10.0.0.92/32|10.0.0.92/31
ip 10.0.0.88,128.0.0.0/24
gornjattradgona_FastEthernet0/1,10.0.0.54/31|10.0.0.54/32
gornjattradgona_FastEthernet0/0,10.0.0.56/31|10.0.0.56/32
izola_FastEthernet0/1,10.0.0.53/32|10.0.0.52/31
izola_FastEthernet0/0,10.0.0.72/31|10.0.0.72/32
jesenice_FastEthernet0/0,10.0.0.23/32|10.0.0.22/31
kamnik_FastEthernet0/0,10.0.0.13/32|10.0.0.12/31
kamnik_FastEthernet0/1,10.0.0.41/32|10.0.0.40/31
koper_FastEthernet1/0,10.0.0.25/32|10.0.0.24/31
koper_FastEthernet1/1,10.0.0.42/31|10.0.0.43/32
koper_FastEthernet0/0,10.0.0.70/31|10.0.0.71/32
koper_FastEthernet0/1,10.0.0.72/31|10.0.0.73/32
kovevje_FastEthernet0/1,10.0.0.33/32|10.0.0.32/31
kovevje_FastEthernet0/0,10.0.0.39/32|10.0.0.38/31
kranj_FastEthernet0/1,10.0.0.22/32|10.0.0.22/31
kranj_FastEthernet1/0,10.0.0.24/32|10.0.0.24/31
kranj_FastEthernet0/0,10.0.0.26/31|10.0.0.26/32
kranj_FastEthernet1/1,10.0.0.28/31|10.0.0.28/32
krsko_FastEthernet0/1,10.0.0.4/32|10.0.0.4/31
krsko_FastEthernet0/0,10.0.0.6/32|10.0.0.6/31
lasko_FastEthernet1/1,10.0.0.0/31|10.0.0.1/32
lasko_FastEthernet0/0,10.0.0.10/31|10.0.0.11/32
lasko_FastEthernet1/0,10.0.0.18/32|10.0.0.18/31
lasko_FastEthernet0/1,10.0.0.20/31|10.0.0.20/32
ip 10.0.0.10,128.0.0.0/24
ljubljana_FastEthernet4/0,10.0.0.3/32|10.0.0.2/31
ljubljana_FastEthernet2/0,10.0.0.20/31|10.0.0.21/32
ljubljana_FastEthernet1/1,10.0.0.28/31|10.0.0.29/32
ljubljana_FastEthernet3/0,10.0.0.34/32|10.0.0.34/31
ljubljana_FastEthernet3/1,10.0.0.36/32|10.0.0.36/31
ljubljana_FastEthernet1/0,10.0.0.38/32|10.0.0.38/31
ljubljana_FastEthernet0/0,10.0.0.40/32|10.0.0.40/31
ljubljana_FastEthernet0/1,10.0.0.42/31|10.0.0.42/32
ljubljana_FastEthernet2/1,10.0.0.44/32|10.0.0.44/31
ljutomer_FastEthernet0/0,10.0.0.80/31|10.0.0.81/32
ljutomer_FastEthernet0/1,10.0.0.82/32|10.0.0.82/31
maribor_FastEthernet1/0,10.0.0.18/31|10.0.0.19/32
maribor_FastEthernet1/1,10.0.0.45/32|10.0.0.44/31
maribor_FastEthernet0/1,10.0.0.56/31|10.0.0.57/32
maribor_FastEthernet2/0,10.0.0.87/32|10.0.0.86/31
maribor_FastEthernet0/0,10.0.0.88/32|10.0.0.88/31
maribor_FastEthernet2/1,10.0.0.90/31|10.0.0.90/32
ip 10.0.0.18,128.0.0.0/24
murskattsobota_FastEthernet0/1,10.0.0.58/31|10.0.0.59/32
murskattsobota_FastEthernet0/0,10.0.0.80/31|10.0.0.80/32
novattgorica_FastEthernet0/1,10.0.0.35/32|10.0.0.34/31
novattgorica_FastEthernet1/0,10.0.0.47/32|10.0.0.46/31
novattgorica_FastEthernet0/0,10.0.0.48/31|10.0.0.48/32
novottmesto_FastEthernet0/1,10.0.0.6/31|10.0.0.7/32
novottmesto_FastEthernet0/0,10.0.0.32/32|10.0.0.32/31
ormoz_FastEthernet0/0,10.0.0.83/32|10.0.0.82/31
ormoz_FastEthernet0/1,10.0.0.84/32|10.0.0.84/31
peercelje_0_FastEthernet0/0,10.0.0.17/32|10.0.0.16/31
peercelje_0_Loopback0,128.0.0.1/32|128.0.0.0/24
portoroz_FastEthernet0/0,10.0.0.50/32|10.0.0.50/31
portoroz_FastEthernet0/1,10.0.0.52/31|10.0.0.52/32
postojna_FastEthernet0/0,10.0.0.37/32|10.0.0.36/31
postojna_FastEthernet0/1,10.0.0.66/31|10.0.0.67/32
ptuj_FastEthernet1/0,10.0.0.61/32|10.0.0.60/31
ptuj_FastEthernet0/1,10.0.0.85/32|10.0.0.84/31
ptuj_FastEthernet0/0,10.0.0.86/32|10.0.0.86/31
radenci_FastEthernet0/0,10.0.0.54/31|10.0.0.55/32
radenci_FastEthernet0/1,10.0.0.58/32|10.0.0.58/31
ravnettnattkoroskem_FastEthernet0/0,10.0.0.93/32|10.0.0.92/31
rogasjattslatina_FastEthernet0/0,10.0.0.5/32|10.0.0.4/31
rogasjattslatina_FastEthernet0/1,10.0.0.60/31|10.0.0.60/32
senozece_FastEthernet1/0,10.0.0.62/32|10.0.0.62/31
senozece_FastEthernet0/0,10.0.0.64/31|10.0.0.64/32
senozece_FastEthernet0/1,10.0.0.66/31|10.0.0.66/32
