,Ajdovscina,Bled,Celje,Divaca,Dravograd,Gornjattradgona,Izola,Jesenice,Kamnik,Koper,Kovevje,Kranj,Krsko,Lasko,Ljubljana,Ljutomer,Maribor,Murskattsobota,Novattgorica,Novottmesto,Ormoz,Peercelje_0,Portoroz,Postojna,Ptuj,Radenci,Ravnettnattkoroskem,Rogasjattslatina,Senozece,Sezana,Slovenjttgradec,Slovenskattbistrica,Tolmin,Trbovlje,Velenje,d_in,d_out,CB,EC
Ajdovscina,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0107,"[{'Next_Hop': 'ajdovscina_FastEthernet0/1', 'Networks': '10.0.0.48/31|10.0.0.49/32'}, {'Next_Hop': 'ajdovscina_FastEthernet0/0', 'Networks': '10.0.0.68/31|10.0.0.69/32'}]"
Bled,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0.0053,"[{'Next_Hop': 'bled_FastEthernet0/0', 'Networks': '10.0.0.26/31|10.0.0.27/32'}, {'Next_Hop': 'bled_FastEthernet0/1', 'Networks': '10.0.0.30/32|10.0.0.30/31'}]"
Celje,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,5,5,0.0951,"[{'Next_Hop': 'celje_FastEthernet2/0', 'Networks': '10.0.0.8/32|10.0.0.8/31'}, {'Next_Hop': 'celje_FastEthernet0/1', 'Networks': '10.0.0.10/31|10.0.0.10/32'}, {'Next_Hop': 'celje_FastEthernet0/0', 'Networks': '10.0.0.12/31|10.0.0.12/32'}, {'Next_Hop': 'celje_FastEthernet1/1', 'Networks': '10.0.0.14/32|10.0.0.14/31'}, {'Next_Hop': 'celje_FastEthernet1/0', 'Networks': '10.0.0.16/32|10.0.0.16/31'}]"
Divaca,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0.0597,"[{'Next_Hop': 'divaca_FastEthernet1/0', 'Networks': '10.0.0.51/32|10.0.0.50/31'}, {'Next_Hop': 'divaca_FastEthernet1/1', 'Networks': '10.0.0.65/32|10.0.0.64/31'}, {'Next_Hop': 'divaca_FastEthernet0/0', 'Networks': '10.0.0.68/31|10.0.0.68/32'}, {'Next_Hop': 'divaca_FastEthernet0/1', 'Networks': '10.0.0.70/31|10.0.0.70/32'}]"
Dravograd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,4,0.1319,"[{'Next_Hop': 'dravograd_FastEthernet1/0', 'Networks': '10.0.0.75/32|10.0.0.74/31'}, {'Next_Hop': 'dravograd_FastEthernet1/1', 'Networks': '10.0.0.79/32|10.0.0.78/31'}, {'Next_Hop': 'dravograd_FastEthernet0/0', 'Networks': '10.0.0.88/31|10.0.0.89/32'}, {'Next_Hop': 'dravograd_FastEthernet0/1', 'Networks': '10.0.0.92/31|10.0.0.92/32'}]"
Gornjattradgona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0.1007,"[{'Next_Hop': 'gornjattradgona_FastEthernet0/1', 'Networks': '10.0.0.54/31|10.0.0.54/32'}, {'Next_Hop': 'gornjattradgona_FastEthernet0/0', 'Networks': '10.0.0.56/32|10.0.0.56/31'}]"
Izola,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0232,"[{'Next_Hop': 'izola_FastEthernet0/1', 'Networks': '10.0.0.53/32|10.0.0.52/31'}, {'Next_Hop': 'izola_FastEthernet0/0', 'Networks': '10.0.0.72/32|10.0.0.72/31'}]"
Jesenice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'jesenice_FastEthernet0/0', 'Networks': '10.0.0.23/32|10.0.0.22/31'}]"
Kamnik,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0389,"[{'Next_Hop': 'kamnik_FastEthernet0/0', 'Networks': '10.0.0.12/31|10.0.0.13/32'}, {'Next_Hop': 'kamnik_FastEthernet0/1', 'Networks': '10.0.0.40/31|10.0.0.41/32'}]"
Koper,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.1497,"[{'Next_Hop': 'koper_FastEthernet1/0', 'Networks': '10.0.0.25/32|10.0.0.24/31'}, {'Next_Hop': 'koper_FastEthernet1/1', 'Networks': '10.0.0.43/32|10.0.0.42/31'}, {'Next_Hop': 'koper_FastEthernet0/0', 'Networks': '10.0.0.70/31|10.0.0.71/32'}, {'Next_Hop': 'koper_FastEthernet0/1', 'Networks': '10.0.0.73/32|10.0.0.72/31'}]"
Kovevje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0802,"[{'Next_Hop': 'kovevje_FastEthernet0/1', 'Networks': '10.0.0.32/31|10.0.0.33/32'}, {'Next_Hop': 'kovevje_FastEthernet0/0', 'Networks': '10.0.0.39/32|10.0.0.38/31'}]"
Kranj,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.1123,"[{'Next_Hop': 'kranj_FastEthernet0/1', 'Networks': '10.0.0.22/31|10.0.0.22/32'}, {'Next_Hop': 'kranj_FastEthernet1/0', 'Networks': '10.0.0.24/32|10.0.0.24/31'}, {'Next_Hop': 'kranj_FastEthernet0/0', 'Networks': '10.0.0.26/31|10.0.0.26/32'}, {'Next_Hop': 'kranj_FastEthernet1/1', 'Networks': '10.0.0.28/31|10.0.0.28/32'}]"
Krsko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0.0098,"[{'Next_Hop': 'krsko_FastEthernet0/1', 'Networks': '10.0.0.4/32|10.0.0.4/31'}, {'Next_Hop': 'krsko_FastEthernet0/0', 'Networks': '10.0.0.6/32|10.0.0.6/31'}]"
Lasko,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0.0707,"[{'Next_Hop': 'lasko_FastEthernet1/1', 'Networks': '10.0.0.0/31|10.0.0.1/32'}, {'Next_Hop': 'lasko_FastEthernet0/0', 'Networks': '10.0.0.10/31|10.0.0.11/32'}, {'Next_Hop': 'lasko_FastEthernet1/0', 'Networks': '10.0.0.18/31|10.0.0.18/32'}, {'Next_Hop': 'lasko_FastEthernet0/1', 'Networks': '10.0.0.20/32|10.0.0.20/31'}]"
Ljubljana,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9,9,0.609,"[{'Next_Hop': 'ljubljana_FastEthernet4/0', 'Networks': '10.0.0.3/32|10.0.0.2/31'}, {'Next_Hop': 'ljubljana_FastEthernet2/0', 'Networks': '10.0.0.21/32|10.0.0.20/31'}, {'Next_Hop': 'ljubljana_FastEthernet1/1', 'Networks': '10.0.0.28/31|10.0.0.29/32'}, {'Next_Hop': 'ljubljana_FastEthernet3/0', 'Networks': '10.0.0.34/31|10.0.0.34/32'}, {'Next_Hop': 'ljubljana_FastEthernet3/1', 'Networks': '10.0.0.36/31|10.0.0.36/32'}, {'Next_Hop': 'ljubljana_FastEthernet1/0', 'Networks': '10.0.0.38/32|10.0.0.38/31'}, {'Next_Hop': 'ljubljana_FastEthernet0/0', 'Networks': '10.0.0.40/31|10.0.0.40/32'}, {'Next_Hop': 'ljubljana_FastEthernet0/1', 'Networks': '10.0.0.42/31|10.0.0.42/32'}, {'Next_Hop': 'ljubljana_FastEthernet2/1', 'Networks': '10.0.0.44/32|10.0.0.44/31'}]"
Ljutomer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0098,"[{'Next_Hop': 'ljutomer_FastEthernet0/0', 'Networks': '10.0.0.80/31|10.0.0.81/32'}, {'Next_Hop': 'ljutomer_FastEthernet0/1', 'Networks': '10.0.0.82/31|10.0.0.82/32'}]"
Maribor,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,6,0.4798,"[{'Next_Hop': 'maribor_FastEthernet1/0', 'Networks': '10.0.0.18/31|10.0.0.19/32'}, {'Next_Hop': 'maribor_FastEthernet1/1', 'Networks': '10.0.0.45/32|10.0.0.44/31'}, {'Next_Hop': 'maribor_FastEthernet0/1', 'Networks': '10.0.0.57/32|10.0.0.56/31'}, {'Next_Hop': 'maribor_FastEthernet2/0', 'Networks': '10.0.0.87/32|10.0.0.86/31'}, {'Next_Hop': 'maribor_FastEthernet0/0', 'Networks': '10.0.0.88/32|10.0.0.88/31'}, {'Next_Hop': 'maribor_FastEthernet2/1', 'Networks': '10.0.0.90/32|10.0.0.90/31'}]"
Murskattsobota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0.0053,"[{'Next_Hop': 'murskattsobota_FastEthernet0/1', 'Networks': '10.0.0.58/31|10.0.0.59/32'}, {'Next_Hop': 'murskattsobota_FastEthernet0/0', 'Networks': '10.0.0.80/31|10.0.0.80/32'}]"
Novattgorica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0.0954,"[{'Next_Hop': 'novattgorica_FastEthernet0/1', 'Networks': '10.0.0.34/31|10.0.0.35/32'}, {'Next_Hop': 'novattgorica_FastEthernet1/0', 'Networks': '10.0.0.46/31|10.0.0.47/32'}, {'Next_Hop': 'novattgorica_FastEthernet0/0', 'Networks': '10.0.0.48/31|10.0.0.48/32'}]"
Novottmesto,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0348,"[{'Next_Hop': 'novottmesto_FastEthernet0/1', 'Networks': '10.0.0.7/32|10.0.0.6/31'}, {'Next_Hop': 'novottmesto_FastEthernet0/0', 'Networks': '10.0.0.32/31|10.0.0.32/32'}]"
Ormoz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0597,"[{'Next_Hop': 'ormoz_FastEthernet0/0', 'Networks': '10.0.0.83/32|10.0.0.82/31'}, {'Next_Hop': 'ormoz_FastEthernet0/1', 'Networks': '10.0.0.84/32|10.0.0.84/31'}]"
Peercelje_0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,[]
Portoroz,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0036,"[{'Next_Hop': 'portoroz_FastEthernet0/0', 'Networks': '10.0.0.50/32|10.0.0.50/31'}, {'Next_Hop': 'portoroz_FastEthernet0/1', 'Networks': '10.0.0.52/31|10.0.0.52/32'}]"
