Device,Interface,IP Address,Subnet Mask,Description
amsterdam,FastEthernet0/0,10.0.0.55,/31,"""To Brussels"""
amsterdam,FastEthernet0/1,10.0.0.73,/31,"""To Frankfurt"""
amsterdam,FastEthernet1/0,10.0.0.78,/31,"""To London"""
amsterdam,FastEthernet1/1,10.0.0.15,/31,"""To Rotterdam"""
athens,FastEthernet0/0,10.0.0.35,/31,"""To Istanbul"""
athens,FastEthernet0/1,10.0.0.70,/31,"""To Sofia"""
barcelona,FastEthernet0/0,10.0.0.93,/31,"""To Madrid"""
barcelona,FastEthernet0/1,10.0.0.94,/31,"""To Marseille"""
basel,FastEthernet0/0,10.0.0.61,/31,"""To Geneva"""
basel,FastEthernet0/1,10.0.0.39,/31,"""To Strasbourg"""
bratislava,FastEthernet0/0,10.0.0.4,/31,"""To Budapest"""
bratislava,FastEthernet0/1,10.0.0.2,/31,"""To Praha"""
bratislava,FastEthernet1/0,10.0.0.0,/31,"""To Vienna"""
brussels,FastEthernet0/0,10.0.0.54,/31,"""To Amsterdam"""
brussels,FastEthernet0/1,10.0.0.52,/31,"""To Frankfurt"""
brussels,FastEthernet1/0,10.0.0.56,/31,"""To London"""
brussels,FastEthernet1/1,10.0.0.45,/31,"""To Luxembourg"""
brussels,FastEthernet2/0,10.0.0.58,/31,"""To Paris"""
brussels,FastEthernet2/1,10.0.0.17,/31,"""To Rotterdam"""
bucharest,FastEthernet0/0,10.0.0.23,/31,"""To Budapest"""
bucharest,FastEthernet0/1,10.0.0.32,/31,"""To Istanbul"""
bucharest,FastEthernet1/0,10.0.0.30,/31,"""To Kiev"""
budapest,FastEthernet0/0,10.0.0.5,/31,"""To Bratislava"""
budapest,FastEthernet0/1,10.0.0.22,/31,"""To Bucharest"""
budapest,FastEthernet1/0,10.0.0.24,/31,"""To Sofia"""
budapest,FastEthernet1/1,10.0.0.26,/31,"""To Zagreb"""
dublin,FastEthernet0/0,10.0.0.81,/31,"""To London"""
frankfurt,FastEthernet0/0,10.0.0.72,/31,"""To Amsterdam"""
frankfurt,FastEthernet0/1,10.0.0.53,/31,"""To Brussels"""
frankfurt,FastEthernet1/0,10.0.0.13,/31,"""To Praha"""
frankfurt,FastEthernet1/1,10.0.0.74,/31,"""To Stockholm"""
frankfurt,FastEthernet2/0,10.0.0.41,/31,"""To Strasbourg"""
frankfurt,FastEthernet2/1,10.0.0.9,/31,"""To Vienna"""
frankfurt,FastEthernet3/0,10.0.0.76,/31,"""To Warsaw"""
frankfurt,FastEthernet3/1,10.0.0.49,/31,"""To Zurich"""
geneva,FastEthernet0/0,10.0.0.60,/31,"""To Basel"""
geneva,FastEthernet0/1,10.0.0.64,/31,"""To Lyon"""
geneva,FastEthernet1/0,10.0.0.62,/31,"""To Paris"""
geneva,FastEthernet1/1,10.0.0.66,/31,"""To PeerGeneva_0"""
geneva,FastEthernet2/0,10.0.0.51,/31,"""To Zurich"""
istanbul,FastEthernet0/0,10.0.0.34,/31,"""To Athens"""
istanbul,FastEthernet0/1,10.0.0.33,/31,"""To Bucharest"""
kiev,FastEthernet0/0,10.0.0.31,/31,"""To Bucharest"""
kiev,FastEthernet0/1,10.0.0.91,/31,"""To Warsaw"""
lisbon,FastEthernet0/0,10.0.0.83,/31,"""To London"""
ljubjana,FastEthernet0/0,10.0.0.28,/31,"""To Zagreb"""
london,FastEthernet0/0,10.0.0.79,/31,"""To Amsterdam"""
london,FastEthernet0/1,10.0.0.57,/31,"""To Brussels"""
london,FastEthernet1/0,10.0.0.80,/31,"""To Dublin"""
london,FastEthernet1/1,10.0.0.82,/31,"""To Lisbon"""
london,FastEthernet2/0,10.0.0.84,/31,"""To Paris"""
luxembourg,FastEthernet0/0,10.0.0.44,/31,"""To Brussels"""
luxembourg,FastEthernet0/1,10.0.0.43,/31,"""To Strasbourg"""
lyon,FastEthernet0/0,10.0.0.65,/31,"""To Geneva"""
lyon,FastEthernet0/1,10.0.0.97,/31,"""To Marseille"""
lyon,FastEthernet1/0,10.0.0.87,/31,"""To Paris"""
madrid,FastEthernet0/0,10.0.0.92,/31,"""To Barcelona"""
madrid,FastEthernet0/1,10.0.0.89,/31,"""To Paris"""
marseille,FastEthernet0/0,10.0.0.95,/31,"""To Barcelona"""
marseille,FastEthernet0/1,10.0.0.96,/31,"""To Lyon"""
marseille,FastEthernet1/0,10.0.0.69,/31,"""To Milan"""
milan,FastEthernet0/0,10.0.0.68,/31,"""To Marseille"""
milan,FastEthernet0/1,10.0.0.19,/31,"""To Roma"""
milan,FastEthernet1/0,10.0.0.7,/31,"""To Vienna"""
milan,FastEthernet1/1,10.0.0.47,/31,"""To Zurich"""
paris,FastEthernet0/0,10.0.0.59,/31,"""To Brussels"""
paris,FastEthernet0/1,10.0.0.63,/31,"""To Geneva"""
paris,FastEthernet1/0,10.0.0.85,/31,"""To London"""
paris,FastEthernet1/1,10.0.0.86,/31,"""To Lyon"""
paris,FastEthernet2/0,10.0.0.88,/31,"""To Madrid"""
peergeneva_0,FastEthernet0/0,10.0.0.67,/31,"""To Geneva"""
peergeneva_0,Loopback0,128.0.0.1,/24,"""For P_PeerGeneva_0"""
praha,FastEthernet0/0,10.0.0.3,/31,"""To Bratislava"""
praha,FastEthernet0/1,10.0.0.12,/31,"""To Frankfurt"""
praha,FastEthernet1/0,10.0.0.10,/31,"""To Warsaw"""
roma,FastEthernet0/0,10.0.0.18,/31,"""To Milan"""
roma,FastEthernet0/1,10.0.0.20,/31,"""To Zurich"""
rotterdam,FastEthernet0/0,10.0.0.14,/31,"""To Amsterdam"""
rotterdam,FastEthernet0/1,10.0.0.16,/31,"""To Brussels"""
sofia,FastEthernet0/0,10.0.0.71,/31,"""To Athens"""
sofia,FastEthernet0/1,10.0.0.25,/31,"""To Budapest"""
stockholm,FastEthernet0/0,10.0.0.75,/31,"""To Frankfurt"""
strasbourg,FastEthernet0/0,10.0.0.38,/31,"""To Basel"""
strasbourg,FastEthernet0/1,10.0.0.40,/31,"""To Frankfurt"""
strasbourg,FastEthernet1/0,10.0.0.42,/31,"""To Luxembourg"""
vaduz,FastEthernet0/0,10.0.0.36,/31,"""To Zurich"""
vienna,FastEthernet0/0,10.0.0.1,/31,"""To Bratislava"""
vienna,FastEthernet0/1,10.0.0.8,/31,"""To Frankfurt"""
vienna,FastEthernet1/0,10.0.0.6,/31,"""To Milan"""
warsaw,FastEthernet0/0,10.0.0.77,/31,"""To Frankfurt"""
warsaw,FastEthernet0/1,10.0.0.90,/31,"""To Kiev"""
warsaw,FastEthernet1/0,10.0.0.11,/31,"""To Praha"""
zagreb,FastEthernet0/0,10.0.0.27,/31,"""To Budapest"""
zagreb,FastEthernet0/1,10.0.0.29,/31,"""To Ljubjana"""
zurich,FastEthernet0/0,10.0.0.48,/31,"""To Frankfurt"""
zurich,FastEthernet0/1,10.0.0.50,/31,"""To Geneva"""
zurich,FastEthernet1/0,10.0.0.46,/31,"""To Milan"""
zurich,FastEthernet1/1,10.0.0.21,/31,"""To Roma"""
zurich,FastEthernet2/0,10.0.0.37,/31,"""To Vaduz"""
