Node,Network,Next_Hop,Protocol
amsterdam,10.0.0.14/31,FastEthernet1/1,connected
amsterdam,10.0.0.15/32,FastEthernet1/1,local
amsterdam,10.0.0.54/31,FastEthernet0/0,connected
amsterdam,10.0.0.55/32,FastEthernet0/0,local
amsterdam,10.0.0.72/31,FastEthernet0/1,connected
amsterdam,10.0.0.73/32,FastEthernet0/1,local
amsterdam,10.0.0.78/31,FastEthernet1/0,connected
amsterdam,10.0.0.78/32,FastEthernet1/0,local
athens,10.0.0.34/31,FastEthernet0/0,connected
athens,10.0.0.35/32,FastEthernet0/0,local
athens,10.0.0.70/31,FastEthernet0/1,connected
athens,10.0.0.70/32,FastEthernet0/1,local
barcelona,10.0.0.92/31,FastEthernet0/0,connected
barcelona,10.0.0.93/32,FastEthernet0/0,local
barcelona,10.0.0.94/31,FastEthernet0/1,connected
barcelona,10.0.0.94/32,FastEthernet0/1,local
basel,10.0.0.38/31,FastEthernet0/1,connected
basel,10.0.0.39/32,FastEthernet0/1,local
basel,10.0.0.60/31,FastEthernet0/0,connected
basel,10.0.0.61/32,FastEthernet0/0,local
bratislava,10.0.0.0/31,FastEthernet1/0,connected
bratislava,10.0.0.0/32,FastEthernet1/0,local
bratislava,10.0.0.2/31,FastEthernet0/1,connected
bratislava,10.0.0.2/32,FastEthernet0/1,local
bratislava,10.0.0.4/31,FastEthernet0/0,connected
bratislava,10.0.0.4/32,FastEthernet0/0,local
brussels,10.0.0.16/31,FastEthernet2/1,connected
brussels,10.0.0.17/32,FastEthernet2/1,local
brussels,10.0.0.44/31,FastEthernet1/1,connected
brussels,10.0.0.45/32,FastEthernet1/1,local
brussels,10.0.0.52/31,FastEthernet0/1,connected
brussels,10.0.0.52/32,FastEthernet0/1,local
brussels,10.0.0.54/31,FastEthernet0/0,connected
brussels,10.0.0.54/32,FastEthernet0/0,local
brussels,10.0.0.56/31,FastEthernet1/0,connected
brussels,10.0.0.56/32,FastEthernet1/0,local
brussels,10.0.0.58/31,FastEthernet2/0,connected
brussels,10.0.0.58/32,FastEthernet2/0,local
bucharest,10.0.0.22/31,FastEthernet0/0,connected
bucharest,10.0.0.23/32,FastEthernet0/0,local
bucharest,10.0.0.30/31,FastEthernet1/0,connected
bucharest,10.0.0.30/32,FastEthernet1/0,local
bucharest,10.0.0.32/31,FastEthernet0/1,connected
bucharest,10.0.0.32/32,FastEthernet0/1,local
budapest,10.0.0.4/31,FastEthernet0/0,connected
budapest,10.0.0.5/32,FastEthernet0/0,local
budapest,10.0.0.22/31,FastEthernet0/1,connected
budapest,10.0.0.22/32,FastEthernet0/1,local
budapest,10.0.0.24/31,FastEthernet1/0,connected
budapest,10.0.0.24/32,FastEthernet1/0,local
budapest,10.0.0.26/31,FastEthernet1/1,connected
budapest,10.0.0.26/32,FastEthernet1/1,local
dublin,10.0.0.80/31,FastEthernet0/0,connected
dublin,10.0.0.81/32,FastEthernet0/0,local
frankfurt,10.0.0.8/31,FastEthernet2/1,connected
frankfurt,10.0.0.9/32,FastEthernet2/1,local
frankfurt,10.0.0.12/31,FastEthernet1/0,connected
frankfurt,10.0.0.13/32,FastEthernet1/0,local
frankfurt,10.0.0.40/31,FastEthernet2/0,connected
frankfurt,10.0.0.41/32,FastEthernet2/0,local
frankfurt,10.0.0.48/31,FastEthernet3/1,connected
frankfurt,10.0.0.49/32,FastEthernet3/1,local
frankfurt,10.0.0.52/31,FastEthernet0/1,connected
frankfurt,10.0.0.53/32,FastEthernet0/1,local
frankfurt,10.0.0.72/31,FastEthernet0/0,connected
frankfurt,10.0.0.72/32,FastEthernet0/0,local
