Interface,Access_VLAN,Active,Admin_Up,All_Prefixes,Allowed_VLANs,Auto_State_VLAN,Bandwidth,Blacklisted,Channel_Group,Channel_Group_Members,DHCP_Relay_Addresses,Declared_Names,Description,Encapsulation_VLAN,HSRP_Groups,HSRP_Version,Inactive_Reason,Incoming_Filter_Name,MLAG_ID,MTU,Native_VLAN,Outgoing_Filter_Name,PBR_Policy_Name,Primary_Address,Primary_Network,Proxy_ARP,Rip_Enabled,Rip_Passive,Spanning_Tree_Portfast,Speed,Switchport,Switchport_Mode,Switchport_Trunk_Encapsulation,VRF,VRRP_Groups,Zone_Name
amsterdam[FastEthernet0/0],,True,True,['10.0.0.55/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Brussels""",,[],,,,,1500,,,,10.0.0.55/31,10.0.0.54/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
amsterdam[FastEthernet0/1],,True,True,['10.0.0.73/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Frankfurt""",,[],,,,,1500,,,,10.0.0.73/31,10.0.0.72/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
amsterdam[FastEthernet1/0],,True,True,['10.0.0.78/31'],,True,100000000.0,False,,[],[],['Fa1/0'],"""To London""",,[],,,,,1500,,,,10.0.0.78/31,10.0.0.78/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
amsterdam[FastEthernet1/1],,True,True,['10.0.0.15/31'],,True,100000000.0,False,,[],[],['Fa1/1'],"""To Rotterdam""",,[],,,,,1500,,,,10.0.0.15/31,10.0.0.14/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
athens[FastEthernet0/0],,True,True,['10.0.0.35/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Istanbul""",,[],,,,,1500,,,,10.0.0.35/31,10.0.0.34/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
athens[FastEthernet0/1],,True,True,['10.0.0.70/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Sofia""",,[],,,,,1500,,,,10.0.0.70/31,10.0.0.70/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
barcelona[FastEthernet0/0],,True,True,['10.0.0.93/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Madrid""",,[],,,,,1500,,,,10.0.0.93/31,10.0.0.92/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
barcelona[FastEthernet0/1],,True,True,['10.0.0.94/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Marseille""",,[],,,,,1500,,,,10.0.0.94/31,10.0.0.94/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
basel[FastEthernet0/0],,True,True,['10.0.0.61/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Geneva""",,[],,,,,1500,,,,10.0.0.61/31,10.0.0.60/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
basel[FastEthernet0/1],,True,True,['10.0.0.39/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Strasbourg""",,[],,,,,1500,,,,10.0.0.39/31,10.0.0.38/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
bratislava[FastEthernet0/0],,True,True,['10.0.0.4/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Budapest""",,[],,,,,1500,,,,10.0.0.4/31,10.0.0.4/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
bratislava[FastEthernet0/1],,True,True,['10.0.0.2/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Praha""",,[],,,,,1500,,,,10.0.0.2/31,10.0.0.2/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
bratislava[FastEthernet1/0],,True,True,['10.0.0.0/31'],,True,100000000.0,False,,[],[],['Fa1/0'],"""To Vienna""",,[],,,,,1500,,,,10.0.0.0/31,10.0.0.0/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
brussels[FastEthernet0/0],,True,True,['10.0.0.54/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Amsterdam""",,[],,,,,1500,,,,10.0.0.54/31,10.0.0.54/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
brussels[FastEthernet0/1],,True,True,['10.0.0.52/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Frankfurt""",,[],,,,,1500,,,,10.0.0.52/31,10.0.0.52/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
brussels[FastEthernet1/0],,True,True,['10.0.0.56/31'],,True,100000000.0,False,,[],[],['Fa1/0'],"""To London""",,[],,,,,1500,,,,10.0.0.56/31,10.0.0.56/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
brussels[FastEthernet1/1],,True,True,['10.0.0.45/31'],,True,100000000.0,False,,[],[],['Fa1/1'],"""To Luxembourg""",,[],,,,,1500,,,,10.0.0.45/31,10.0.0.44/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
brussels[FastEthernet2/0],,True,True,['10.0.0.58/31'],,True,100000000.0,False,,[],[],['Fa2/0'],"""To Paris""",,[],,,,,1500,,,,10.0.0.58/31,10.0.0.58/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
brussels[FastEthernet2/1],,True,True,['10.0.0.17/31'],,True,100000000.0,False,,[],[],['Fa2/1'],"""To Rotterdam""",,[],,,,,1500,,,,10.0.0.17/31,10.0.0.16/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
bucharest[FastEthernet0/0],,True,True,['10.0.0.23/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Budapest""",,[],,,,,1500,,,,10.0.0.23/31,10.0.0.22/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
bucharest[FastEthernet0/1],,True,True,['10.0.0.32/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Istanbul""",,[],,,,,1500,,,,10.0.0.32/31,10.0.0.32/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
bucharest[FastEthernet1/0],,True,True,['10.0.0.30/31'],,True,100000000.0,False,,[],[],['Fa1/0'],"""To Kiev""",,[],,,,,1500,,,,10.0.0.30/31,10.0.0.30/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
budapest[FastEthernet0/0],,True,True,['10.0.0.5/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Bratislava""",,[],,,,,1500,,,,10.0.0.5/31,10.0.0.4/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
budapest[FastEthernet0/1],,True,True,['10.0.0.22/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Bucharest""",,[],,,,,1500,,,,10.0.0.22/31,10.0.0.22/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
budapest[FastEthernet1/0],,True,True,['10.0.0.24/31'],,True,100000000.0,False,,[],[],['Fa1/0'],"""To Sofia""",,[],,,,,1500,,,,10.0.0.24/31,10.0.0.24/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
budapest[FastEthernet1/1],,True,True,['10.0.0.26/31'],,True,100000000.0,False,,[],[],['Fa1/1'],"""To Zagreb""",,[],,,,,1500,,,,10.0.0.26/31,10.0.0.26/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
dublin[FastEthernet0/0],,True,True,['10.0.0.81/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To London""",,[],,,,,1500,,,,10.0.0.81/31,10.0.0.80/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
frankfurt[FastEthernet0/0],,True,True,['10.0.0.72/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Amsterdam""",,[],,,,,1500,,,,10.0.0.72/31,10.0.0.72/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
frankfurt[FastEthernet0/1],,True,True,['10.0.0.53/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Brussels""",,[],,,,,1500,,,,10.0.0.53/31,10.0.0.52/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
frankfurt[FastEthernet1/0],,True,True,['10.0.0.13/31'],,True,100000000.0,False,,[],[],['Fa1/0'],"""To Praha""",,[],,,,,1500,,,,10.0.0.13/31,10.0.0.12/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
frankfurt[FastEthernet1/1],,True,True,['10.0.0.74/31'],,True,100000000.0,False,,[],[],['Fa1/1'],"""To Stockholm""",,[],,,,,1500,,,,10.0.0.74/31,10.0.0.74/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
frankfurt[FastEthernet2/0],,True,True,['10.0.0.41/31'],,True,100000000.0,False,,[],[],['Fa2/0'],"""To Strasbourg""",,[],,,,,1500,,,,10.0.0.41/31,10.0.0.40/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
frankfurt[FastEthernet2/1],,True,True,['10.0.0.9/31'],,True,100000000.0,False,,[],[],['Fa2/1'],"""To Vienna""",,[],,,,,1500,,,,10.0.0.9/31,10.0.0.8/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
frankfurt[FastEthernet3/0],,True,True,['10.0.0.76/31'],,True,100000000.0,False,,[],[],['Fa3/0'],"""To Warsaw""",,[],,,,,1500,,,,10.0.0.76/31,10.0.0.76/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
frankfurt[FastEthernet3/1],,True,True,['10.0.0.49/31'],,True,100000000.0,False,,[],[],['Fa3/1'],"""To Zurich""",,[],,,,,1500,,,,10.0.0.49/31,10.0.0.48/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
geneva[FastEthernet0/0],,True,True,['10.0.0.60/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Basel""",,[],,,,,1500,,,,10.0.0.60/31,10.0.0.60/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
geneva[FastEthernet0/1],,True,True,['10.0.0.64/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Lyon""",,[],,,,,1500,,,,10.0.0.64/31,10.0.0.64/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
geneva[FastEthernet1/0],,True,True,['10.0.0.62/31'],,True,100000000.0,False,,[],[],['Fa1/0'],"""To Paris""",,[],,,,,1500,,,,10.0.0.62/31,10.0.0.62/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
geneva[FastEthernet1/1],,True,True,['10.0.0.66/31'],,True,100000000.0,False,,[],[],['Fa1/1'],"""To PeerGeneva_0""",,[],,,,,1500,,,,10.0.0.66/31,10.0.0.66/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
geneva[FastEthernet2/0],,True,True,['10.0.0.51/31'],,True,100000000.0,False,,[],[],['Fa2/0'],"""To Zurich""",,[],,,,,1500,,,,10.0.0.51/31,10.0.0.50/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
