节点介数中心性：
设备: Amsterdam, 介数中心性: 0.0702
设备: Brussels, 介数中心性: 0.1910
设备: Frankfurt, 介数中心性: 0.4845
设备: London, 介数中心性: 0.1248
设备: Rotterdam, 介数中心性: 0.0000
设备: Athens, 介数中心性: 0.0019
设备: Istanbul, 介数中心性: 0.0156
设备: Sofia, 介数中心性: 0.0431
设备: Barcelona, 介数中心性: 0.0093
设备: Madrid, 介数中心性: 0.0219
设备: Marseille, 介数中心性: 0.0634
设备: Basel, 介数中心性: 0.0101
设备: Geneva, 介数中心性: 0.1176
设备: Strasbourg, 介数中心性: 0.0519
设备: Bratislava, 介数中心性: 0.2440
设备: Budapest, 介数中心性: 0.2328
设备: Praha, 介数中心性: 0.0892
设备: Vienna, 介数中心性: 0.1937
设备: Luxembourg, 介数中心性: 0.0062
设备: Paris, 介数中心性: 0.1387
设备: Bucharest, 介数中心性: 0.0829
设备: Kiev, 介数中心性: 0.0901
设备: Zagreb, 介数中心性: 0.0606
设备: Dublin, 介数中心性: 0.0000
设备: Stockholm, 介数中心性: 0.0000
设备: Warsaw, 介数中心性: 0.1271
设备: Zurich, 介数中心性: 0.1843
设备: Lyon, 介数中心性: 0.0256
设备: Peergeneva_0, 介数中心性: 0.0000
设备: Lisbon, 介数中心性: 0.0000
设备: Ljubjana, 介数中心性: 0.0000
设备: Milan, 介数中心性: 0.1187
设备: Roma, 介数中心性: 0.0000
设备: Vaduz, 介数中心性: 0.0000
