Next_Hop,Networks
amsterdam_FastEthernet1/1,10.0.0.15/32|10.0.0.14/31
amsterdam_FastEthernet0/0,10.0.0.55/32|10.0.0.54/31
amsterdam_FastEthernet0/1,10.0.0.73/32|10.0.0.72/31
amsterdam_FastEthernet1/0,10.0.0.78/31|10.0.0.78/32
athens_FastEthernet0/0,10.0.0.35/32|10.0.0.34/31
athens_FastEthernet0/1,10.0.0.70/32|10.0.0.70/31
barcelona_FastEthernet0/0,10.0.0.92/31|10.0.0.93/32
barcelona_FastEthernet0/1,10.0.0.94/31|10.0.0.94/32
basel_FastEthernet0/1,10.0.0.38/31|10.0.0.39/32
basel_FastEthernet0/0,10.0.0.61/32|10.0.0.60/31
bratislava_FastEthernet1/0,10.0.0.0/32|10.0.0.0/31
bratislava_FastEthernet0/1,10.0.0.2/31|10.0.0.2/32
bratislava_FastEthernet0/0,10.0.0.4/32|10.0.0.4/31
brussels_FastEthernet2/1,10.0.0.16/31|10.0.0.17/32
brussels_FastEthernet1/1,10.0.0.45/32|10.0.0.44/31
brussels_FastEthernet0/1,10.0.0.52/31|10.0.0.52/32
brussels_FastEthernet0/0,10.0.0.54/31|10.0.0.54/32
brussels_FastEthernet1/0,10.0.0.56/31|10.0.0.56/32
brussels_FastEthernet2/0,10.0.0.58/32|10.0.0.58/31
bucharest_FastEthernet0/0,10.0.0.22/31|10.0.0.23/32
bucharest_FastEthernet1/0,10.0.0.30/32|10.0.0.30/31
bucharest_FastEthernet0/1,10.0.0.32/32|10.0.0.32/31
budapest_FastEthernet0/0,10.0.0.5/32|10.0.0.4/31
budapest_FastEthernet0/1,10.0.0.22/31|10.0.0.22/32
budapest_FastEthernet1/0,10.0.0.24/31|10.0.0.24/32
budapest_FastEthernet1/1,10.0.0.26/31|10.0.0.26/32
dublin_FastEthernet0/0,10.0.0.81/32|10.0.0.80/31
frankfurt_FastEthernet2/1,10.0.0.8/31|10.0.0.9/32
frankfurt_FastEthernet1/0,10.0.0.13/32|10.0.0.12/31
frankfurt_FastEthernet2/0,10.0.0.41/32|10.0.0.40/31
frankfurt_FastEthernet3/1,10.0.0.48/31|10.0.0.49/32
frankfurt_FastEthernet0/1,10.0.0.52/31|10.0.0.53/32
