Equivalence_Class,Source,Destination
amsterdam_FastEthernet1/1,amsterdam,Rotterdam
amsterdam_FastEthernet0/0,amsterdam,Brussels
amsterdam_FastEthernet0/1,amsterdam,Frankfurt
amsterdam_FastEthernet1/0,amsterdam,London
athens_FastEthernet0/0,athens,Istanbul
athens_FastEthernet0/1,athens,Sofia
barcelona_FastEthernet0/0,barcelona,Madrid
barcelona_FastEthernet0/1,barcelona,Marseille
basel_FastEthernet0/1,basel,Strasbourg
basel_FastEthernet0/0,basel,Geneva
bratislava_FastEthernet1/0,bratislava,Vienna
bratislava_FastEthernet0/1,bratislava,Praha
bratislava_FastEthernet0/0,bratislava,Budapest
brussels_FastEthernet2/1,brussels,Rotterdam
brussels_FastEthernet1/1,brussels,Luxembourg
brussels_FastEthernet0/1,brussels,Frankfurt
brussels_FastEthernet0/0,brussels,Amsterdam
brussels_FastEthernet1/0,brussels,London
brussels_FastEthernet2/0,brussels,Paris
bucharest_FastEthernet0/0,bucharest,Budapest
bucharest_FastEthernet1/0,bucharest,Kiev
bucharest_FastEthernet0/1,bucharest,Istanbul
budapest_FastEthernet0/0,budapest,Bratislava
budapest_FastEthernet0/1,budapest,Bucharest
budapest_FastEthernet1/0,budapest,Sofia
budapest_FastEthernet1/1,budapest,Zagreb
dublin_FastEthernet0/0,dublin,London
frankfurt_FastEthernet2/1,frankfurt,Vienna
frankfurt_FastEthernet1/0,frankfurt,Praha
frankfurt_FastEthernet2/0,frankfurt,Strasbourg
frankfurt_FastEthernet3/1,frankfurt,Zurich
frankfurt_FastEthernet0/1,frankfurt,Brussels
frankfurt_FastEthernet0/0,frankfurt,Amsterdam
frankfurt_FastEthernet1/1,frankfurt,Stockholm
frankfurt_FastEthernet3/0,frankfurt,Warsaw
geneva_FastEthernet2/0,geneva,Zurich
geneva_FastEthernet0/0,geneva,Basel
geneva_FastEthernet1/0,geneva,Paris
geneva_FastEthernet0/1,geneva,Lyon
istanbul_FastEthernet0/1,istanbul,Bucharest
istanbul_FastEthernet0/0,istanbul,Athens
kiev_FastEthernet0/0,kiev,Bucharest
kiev_FastEthernet0/1,kiev,Warsaw
lisbon_FastEthernet0/0,lisbon,London
ljubjana_FastEthernet0/0,ljubjana,Zagreb
london_FastEthernet0/1,london,Brussels
london_FastEthernet0/0,london,Amsterdam
london_FastEthernet1/0,london,Dublin
london_FastEthernet1/1,london,Lisbon
london_FastEthernet2/0,london,Paris
luxembourg_FastEthernet0/1,luxembourg,Strasbourg
luxembourg_FastEthernet0/0,luxembourg,Brussels
lyon_FastEthernet0/0,lyon,Geneva
lyon_FastEthernet1/0,lyon,Paris
lyon_FastEthernet0/1,lyon,Marseille
madrid_FastEthernet0/1,madrid,Paris
madrid_FastEthernet0/0,madrid,Barcelona
marseille_FastEthernet1/0,marseille,Milan
marseille_FastEthernet0/0,marseille,Barcelona
marseille_FastEthernet0/1,marseille,Lyon
milan_FastEthernet1/0,milan,Vienna
milan_FastEthernet0/1,milan,Roma
milan_FastEthernet1/1,milan,Zurich
milan_FastEthernet0/0,milan,Marseille
paris_FastEthernet0/0,paris,Brussels
paris_FastEthernet0/1,paris,Geneva
paris_FastEthernet1/0,paris,London
paris_FastEthernet1/1,paris,Lyon
paris_FastEthernet2/0,paris,Madrid
peergeneva_0_FastEthernet0/0,peergeneva,Geneva
praha_FastEthernet0/0,praha,Bratislava
praha_FastEthernet1/0,praha,Warsaw
praha_FastEthernet0/1,praha,Frankfurt
roma_FastEthernet0/0,roma,Milan
roma_FastEthernet0/1,roma,Zurich
rotterdam_FastEthernet0/0,rotterdam,Amsterdam
rotterdam_FastEthernet0/1,rotterdam,Brussels
sofia_FastEthernet0/1,sofia,Budapest
sofia_FastEthernet0/0,sofia,Athens
stockholm_FastEthernet0/0,stockholm,Frankfurt
strasbourg_FastEthernet0/0,strasbourg,Basel
strasbourg_FastEthernet0/1,strasbourg,Frankfurt
strasbourg_FastEthernet1/0,strasbourg,Luxembourg
vaduz_FastEthernet0/0,vaduz,Zurich
vienna_FastEthernet0/0,vienna,Bratislava
vienna_FastEthernet1/0,vienna,Milan
vienna_FastEthernet0/1,vienna,Frankfurt
warsaw_FastEthernet1/0,warsaw,Praha
warsaw_FastEthernet0/0,warsaw,Frankfurt
warsaw_FastEthernet0/1,warsaw,Kiev
zagreb_FastEthernet0/0,zagreb,Budapest
zagreb_FastEthernet0/1,zagreb,Ljubjana
zurich_FastEthernet1/1,zurich,Roma
zurich_FastEthernet2/0,zurich,Vaduz
zurich_FastEthernet1/0,zurich,Milan
zurich_FastEthernet0/0,zurich,Frankfurt
zurich_FastEthernet0/1,zurich,Geneva
