,Amsterdam,Athens,Barcelona,Basel,Bratislava,Brussels,Bucharest,Budapest,Dublin,Frankfurt,Geneva,Istanbul,Kiev,Lisbon,Ljubjana,London,Luxembourg,Lyon,Madrid,Marseille,Milan,Paris,Peergeneva_0,Praha,Roma,Rotterdam,Sofia,Stockholm,Strasbourg,Vaduz,Vienna,Warsaw,Zagreb,Zurich,d_in,d_out,CB,EC
Amsterdam,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,0.0702,"[{'Next_Hop': 'amsterdam_FastEthernet1/1', 'Networks': '10.0.0.15/32|10.0.0.14/31'}, {'Next_Hop': 'amsterdam_FastEthernet0/0', 'Networks': '10.0.0.55/32|10.0.0.54/31'}, {'Next_Hop': 'amsterdam_FastEthernet0/1', 'Networks': '10.0.0.73/32|10.0.0.72/31'}, {'Next_Hop': 'amsterdam_FastEthernet1/0', 'Networks': '10.0.0.78/31|10.0.0.78/32'}]"
Athens,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0.0019,"[{'Next_Hop': 'athens_FastEthernet0/0', 'Networks': '10.0.0.35/32|10.0.0.34/31'}, {'Next_Hop': 'athens_FastEthernet0/1', 'Networks': '10.0.0.70/32|10.0.0.70/31'}]"
Barcelona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0093,"[{'Next_Hop': 'barcelona_FastEthernet0/0', 'Networks': '10.0.0.92/31|10.0.0.93/32'}, {'Next_Hop': 'barcelona_FastEthernet0/1', 'Networks': '10.0.0.94/31|10.0.0.94/32'}]"
Basel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0.0101,"[{'Next_Hop': 'basel_FastEthernet0/1', 'Networks': '10.0.0.38/31|10.0.0.39/32'}, {'Next_Hop': 'basel_FastEthernet0/0', 'Networks': '10.0.0.61/32|10.0.0.60/31'}]"
Bratislava,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,3,0.244,"[{'Next_Hop': 'bratislava_FastEthernet1/0', 'Networks': '10.0.0.0/32|10.0.0.0/31'}, {'Next_Hop': 'bratislava_FastEthernet0/1', 'Networks': '10.0.0.2/31|10.0.0.2/32'}, {'Next_Hop': 'bratislava_FastEthernet0/0', 'Networks': '10.0.0.4/32|10.0.0.4/31'}]"
Brussels,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,6,0.191,"[{'Next_Hop': 'brussels_FastEthernet2/1', 'Networks': '10.0.0.16/31|10.0.0.17/32'}, {'Next_Hop': 'brussels_FastEthernet1/1', 'Networks': '10.0.0.45/32|10.0.0.44/31'}, {'Next_Hop': 'brussels_FastEthernet0/1', 'Networks': '10.0.0.52/31|10.0.0.52/32'}, {'Next_Hop': 'brussels_FastEthernet0/0', 'Networks': '10.0.0.54/31|10.0.0.54/32'}, {'Next_Hop': 'brussels_FastEthernet1/0', 'Networks': '10.0.0.56/31|10.0.0.56/32'}, {'Next_Hop': 'brussels_FastEthernet2/0', 'Networks': '10.0.0.58/32|10.0.0.58/31'}]"
Bucharest,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0829,"[{'Next_Hop': 'bucharest_FastEthernet0/0', 'Networks': '10.0.0.22/31|10.0.0.23/32'}, {'Next_Hop': 'bucharest_FastEthernet1/0', 'Networks': '10.0.0.30/32|10.0.0.30/31'}, {'Next_Hop': 'bucharest_FastEthernet0/1', 'Networks': '10.0.0.32/32|10.0.0.32/31'}]"
Budapest,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,4,0.2328,"[{'Next_Hop': 'budapest_FastEthernet0/0', 'Networks': '10.0.0.5/32|10.0.0.4/31'}, {'Next_Hop': 'budapest_FastEthernet0/1', 'Networks': '10.0.0.22/31|10.0.0.22/32'}, {'Next_Hop': 'budapest_FastEthernet1/0', 'Networks': '10.0.0.24/31|10.0.0.24/32'}, {'Next_Hop': 'budapest_FastEthernet1/1', 'Networks': '10.0.0.26/31|10.0.0.26/32'}]"
Dublin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'dublin_FastEthernet0/0', 'Networks': '10.0.0.81/32|10.0.0.80/31'}]"
Frankfurt,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,8,8,0.4845,"[{'Next_Hop': 'frankfurt_FastEthernet2/1', 'Networks': '10.0.0.8/31|10.0.0.9/32'}, {'Next_Hop': 'frankfurt_FastEthernet1/0', 'Networks': '10.0.0.13/32|10.0.0.12/31'}, {'Next_Hop': 'frankfurt_FastEthernet2/0', 'Networks': '10.0.0.41/32|10.0.0.40/31'}, {'Next_Hop': 'frankfurt_FastEthernet3/1', 'Networks': '10.0.0.48/31|10.0.0.49/32'}, {'Next_Hop': 'frankfurt_FastEthernet0/1', 'Networks': '10.0.0.52/31|10.0.0.53/32'}, {'Next_Hop': 'frankfurt_FastEthernet0/0', 'Networks': '10.0.0.72/32|10.0.0.72/31'}, {'Next_Hop': 'frankfurt_FastEthernet1/1', 'Networks': '10.0.0.74/31|10.0.0.74/32'}, {'Next_Hop': 'frankfurt_FastEthernet3/0', 'Networks': '10.0.0.76/32|10.0.0.76/31'}]"
Geneva,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,5,0.1176,"[{'Next_Hop': 'geneva_FastEthernet2/0', 'Networks': '10.0.0.51/32|10.0.0.50/31'}, {'Next_Hop': 'geneva_FastEthernet0/0', 'Networks': '10.0.0.60/32|10.0.0.60/31'}, {'Next_Hop': 'geneva_FastEthernet1/0', 'Networks': '10.0.0.62/32|10.0.0.62/31'}, {'Next_Hop': 'geneva_FastEthernet0/1', 'Networks': '10.0.0.64/32|10.0.0.64/31'}, {'Next_Hop': 'geneva_FastEthernet1/1', 'Networks': '10.0.0.66/32|10.0.0.66/31'}]"
Istanbul,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0156,"[{'Next_Hop': 'istanbul_FastEthernet0/1', 'Networks': '10.0.0.33/32|10.0.0.32/31'}, {'Next_Hop': 'istanbul_FastEthernet0/0', 'Networks': '10.0.0.34/32|10.0.0.34/31'}]"
Kiev,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0.0901,"[{'Next_Hop': 'kiev_FastEthernet0/0', 'Networks': '10.0.0.31/32|10.0.0.30/31'}, {'Next_Hop': 'kiev_FastEthernet0/1', 'Networks': '10.0.0.91/32|10.0.0.90/31'}]"
Lisbon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'lisbon_FastEthernet0/0', 'Networks': '10.0.0.82/31|10.0.0.83/32'}]"
Ljubjana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0,"[{'Next_Hop': 'ljubjana_FastEthernet0/0', 'Networks': '10.0.0.28/31|10.0.0.28/32'}]"
London,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.1248,"[{'Next_Hop': 'london_FastEthernet0/1', 'Networks': '10.0.0.56/31|10.0.0.57/32'}, {'Next_Hop': 'london_FastEthernet0/0', 'Networks': '10.0.0.78/31|10.0.0.79/32'}, {'Next_Hop': 'london_FastEthernet1/0', 'Networks': '10.0.0.80/31|10.0.0.80/32'}, {'Next_Hop': 'london_FastEthernet1/1', 'Networks': '10.0.0.82/32|10.0.0.82/31'}, {'Next_Hop': 'london_FastEthernet2/0', 'Networks': '10.0.0.84/32|10.0.0.84/31'}]"
Luxembourg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0.0062,"[{'Next_Hop': 'luxembourg_FastEthernet0/1', 'Networks': '10.0.0.43/32|10.0.0.42/31'}, {'Next_Hop': 'luxembourg_FastEthernet0/0', 'Networks': '10.0.0.44/32|10.0.0.44/31'}]"
Lyon,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0256,"[{'Next_Hop': 'lyon_FastEthernet0/0', 'Networks': '10.0.0.65/32|10.0.0.64/31'}, {'Next_Hop': 'lyon_FastEthernet1/0', 'Networks': '10.0.0.86/31|10.0.0.87/32'}, {'Next_Hop': 'lyon_FastEthernet0/1', 'Networks': '10.0.0.96/31|10.0.0.97/32'}]"
Madrid,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0219,"[{'Next_Hop': 'madrid_FastEthernet0/1', 'Networks': '10.0.0.88/31|10.0.0.89/32'}, {'Next_Hop': 'madrid_FastEthernet0/0', 'Networks': '10.0.0.92/31|10.0.0.92/32'}]"
Marseille,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0634,"[{'Next_Hop': 'marseille_FastEthernet1/0', 'Networks': '10.0.0.68/31|10.0.0.69/32'}, {'Next_Hop': 'marseille_FastEthernet0/0', 'Networks': '10.0.0.94/31|10.0.0.95/32'}, {'Next_Hop': 'marseille_FastEthernet0/1', 'Networks': '10.0.0.96/31|10.0.0.96/32'}]"
Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4,4,0.1187,"[{'Next_Hop': 'milan_FastEthernet1/0', 'Networks': '10.0.0.6/31|10.0.0.7/32'}, {'Next_Hop': 'milan_FastEthernet0/1', 'Networks': '10.0.0.18/31|10.0.0.19/32'}, {'Next_Hop': 'milan_FastEthernet1/1', 'Networks': '10.0.0.46/31|10.0.0.47/32'}, {'Next_Hop': 'milan_FastEthernet0/0', 'Networks': '10.0.0.68/32|10.0.0.68/31'}]"
Paris,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.1387,"[{'Next_Hop': 'paris_FastEthernet0/0', 'Networks': '10.0.0.59/32|10.0.0.58/31'}, {'Next_Hop': 'paris_FastEthernet0/1', 'Networks': '10.0.0.63/32|10.0.0.62/31'}, {'Next_Hop': 'paris_FastEthernet1/0', 'Networks': '10.0.0.85/32|10.0.0.84/31'}, {'Next_Hop': 'paris_FastEthernet1/1', 'Networks': '10.0.0.86/31|10.0.0.86/32'}, {'Next_Hop': 'paris_FastEthernet2/0', 'Networks': '10.0.0.88/31|10.0.0.88/32'}]"
Peergeneva_0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,[]
Praha,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0.0892,"[{'Next_Hop': 'praha_FastEthernet0/0', 'Networks': '10.0.0.2/31|10.0.0.3/32'}, {'Next_Hop': 'praha_FastEthernet1/0', 'Networks': '10.0.0.10/31|10.0.0.10/32'}, {'Next_Hop': 'praha_FastEthernet0/1', 'Networks': '10.0.0.12/32|10.0.0.12/31'}]"
Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0.0,"[{'Next_Hop': 'roma_FastEthernet0/0', 'Networks': '10.0.0.18/32|10.0.0.18/31'}, {'Next_Hop': 'roma_FastEthernet0/1', 'Networks': '10.0.0.20/31|10.0.0.20/32'}]"
