Device,Interface,IP Address,Subnet Mask,Description
aarhus,FastEthernet0/0,10.0.0.149,/31,"""To Copenhagen"""
aarhus,FastEthernet0/1,10.0.0.153,/31,"""To Hamburg"""
aarhus,FastEthernet1/0,10.0.0.158,/31,"""To Kolding"""
almere,FastEthernet0/0,10.0.1.76,/31,"""To Amsterdam"""
amsterdam,FastEthernet0/0,10.0.1.77,/31,"""To Almere"""
amsterdam,FastEthernet0/1,10.0.0.63,/31,"""To Dusseldorf"""
amsterdam,FastEthernet1/0,10.0.1.79,/31,"""To Hilversum"""
amsterdam,FastEthernet1/1,10.0.1.81,/31,"""To Hoofddorp"""
anderlecht,FastEthernet0/0,10.0.0.124,/31,"""To Brussels"""
antwerp,FastEthernet0/0,10.0.0.68,/31,"""To Brussels"""
antwerp,FastEthernet0/1,10.0.0.51,/31,"""To TheTTHague"""
barcelona,FastEthernet0/0,10.0.0.239,/31,"""To NodeID79"""
barcelona,FastEthernet0/1,10.0.1.86,/31,"""To PeerBarcelona_0"""
barcelona,FastEthernet1/0,10.0.0.245,/31,"""To Valencia"""
bari,FastEthernet0/0,10.0.0.82,/31,"""To Rome"""
basel,FastEthernet0/0,10.0.0.217,/31,"""To NodeID73"""
basel,FastEthernet0/1,10.0.1.62,/31,"""To Strasbourg"""
basel,FastEthernet1/0,10.0.0.219,/31,"""To Zurich"""
bergamo,FastEthernet0/0,10.0.1.46,/31,"""To Brescia"""
bergamo,FastEthernet0/1,10.0.1.48,/31,"""To Milan"""
berlin,FastEthernet0/0,10.0.0.17,/31,"""To Dresden"""
berlin,FastEthernet0/1,10.0.0.177,/31,"""To NodeID60"""
berlin,FastEthernet1/0,10.0.0.11,/31,"""To Potsdam"""
berlin,FastEthernet1/1,10.0.0.7,/31,"""To Rostock"""
berlin,FastEthernet2/0,10.0.0.25,/31,"""To Warsaw"""
bern,FastEthernet0/0,10.0.0.215,/31,"""To NodeID73"""
biel_bienne,FastEthernet0/0,10.0.0.114,/31,"""To NodeID73"""
biella,FastEthernet0/0,10.0.1.16,/31,"""To Milan"""
birmingham,FastEthernet0/0,10.0.0.230,/31,"""To Bristol"""
birmingham,FastEthernet0/1,10.0.0.229,/31,"""To Manchester"""
boblingen,FastEthernet0/0,10.0.0.96,/31,"""To Stuttgart"""
bologna,FastEthernet0/0,10.0.0.205,/31,"""To Firenze"""
bologna,FastEthernet0/1,10.0.1.41,/31,"""To Modena"""
bordeaux,FastEthernet0/0,10.0.1.10,/31,"""To Madrid"""
bordeaux,FastEthernet0/1,10.0.1.6,/31,"""To Nantes"""
bordeaux,FastEthernet1/0,10.0.1.8,/31,"""To Toulouse"""
borgomanero,FastEthernet0/0,10.0.1.12,/31,"""To Milan"""
boston,FastEthernet0/0,10.0.0.90,/31,"""To Chicago"""
boston,FastEthernet0/1,10.0.0.88,/31,"""To London"""
bratislava,FastEthernet0/0,10.0.1.30,/31,"""To Budapest"""
bratislava,FastEthernet0/1,10.0.0.33,/31,"""To Vienna"""
breda,FastEthernet0/0,10.0.0.136,/31,"""To DenTTBosch"""
bremen,FastEthernet0/0,10.0.0.157,/31,"""To Hamburg"""
brescia,FastEthernet0/0,10.0.1.47,/31,"""To Bergamo"""
brescia,FastEthernet0/1,10.0.1.53,/31,"""To Verona"""
brindisi,FastEthernet0/0,10.0.0.178,/31,"""To Rome"""
bristol,FastEthernet0/0,10.0.0.231,/31,"""To Birmingham"""
bristol,FastEthernet0/1,10.0.0.225,/31,"""To Dublin"""
bristol,FastEthernet1/0,10.0.1.23,/31,"""To Reading"""
brussels,FastEthernet0/0,10.0.0.125,/31,"""To Anderlecht"""
