Node,Network,Next_Hop,Protocol
aarhus,10.0.0.148/31,FastEthernet0/0,connected
aarhus,10.0.0.149/32,FastEthernet0/0,local
aarhus,10.0.0.152/31,FastEthernet0/1,connected
aarhus,10.0.0.153/32,FastEthernet0/1,local
aarhus,10.0.0.158/31,FastEthernet1/0,connected
aarhus,10.0.0.158/32,FastEthernet1/0,local
almere,10.0.1.76/31,FastEthernet0/0,connected
almere,10.0.1.76/32,FastEthernet0/0,local
amsterdam,10.0.0.62/31,FastEthernet0/1,connected
amsterdam,10.0.0.63/32,FastEthernet0/1,local
amsterdam,10.0.1.76/31,FastEthernet0/0,connected
amsterdam,10.0.1.77/32,FastEthernet0/0,local
amsterdam,10.0.1.78/31,FastEthernet1/0,connected
amsterdam,10.0.1.79/32,FastEthernet1/0,local
amsterdam,10.0.1.80/31,FastEthernet1/1,connected
amsterdam,10.0.1.81/32,FastEthernet1/1,local
anderlecht,10.0.0.124/31,FastEthernet0/0,connected
anderlecht,10.0.0.124/32,FastEthernet0/0,local
antwerp,10.0.0.50/31,FastEthernet0/1,connected
antwerp,10.0.0.51/32,FastEthernet0/1,local
antwerp,10.0.0.68/31,FastEthernet0/0,connected
antwerp,10.0.0.68/32,FastEthernet0/0,local
barcelona,10.0.0.238/31,FastEthernet0/0,connected
barcelona,10.0.0.239/32,FastEthernet0/0,local
barcelona,10.0.0.244/31,FastEthernet1/0,connected
barcelona,10.0.0.245/32,FastEthernet1/0,local
barcelona,10.0.1.86/31,FastEthernet0/1,connected
barcelona,10.0.1.86/32,FastEthernet0/1,local
barcelona,128.0.0.0/24,ip,bgp
bari,10.0.0.82/31,FastEthernet0/0,connected
bari,10.0.0.82/32,FastEthernet0/0,local
basel,10.0.0.216/31,FastEthernet0/0,connected
basel,10.0.0.217/32,FastEthernet0/0,local
basel,10.0.0.218/31,FastEthernet1/0,connected
basel,10.0.0.219/32,FastEthernet1/0,local
basel,10.0.1.62/31,FastEthernet0/1,connected
basel,10.0.1.62/32,FastEthernet0/1,local
bergamo,10.0.1.46/31,FastEthernet0/0,connected
bergamo,10.0.1.46/32,FastEthernet0/0,local
bergamo,10.0.1.48/31,FastEthernet0/1,connected
bergamo,10.0.1.48/32,FastEthernet0/1,local
berlin,10.0.0.6/31,FastEthernet1/1,connected
berlin,10.0.0.7/32,FastEthernet1/1,local
berlin,10.0.0.10/31,FastEthernet1/0,connected
berlin,10.0.0.11/32,FastEthernet1/0,local
berlin,10.0.0.16/31,FastEthernet0/0,connected
berlin,10.0.0.17/32,FastEthernet0/0,local
berlin,10.0.0.24/31,FastEthernet2/0,connected
berlin,10.0.0.25/32,FastEthernet2/0,local
berlin,10.0.0.176/31,FastEthernet0/1,connected
berlin,10.0.0.177/32,FastEthernet0/1,local
bern,10.0.0.214/31,FastEthernet0/0,connected
bern,10.0.0.215/32,FastEthernet0/0,local
biel_bienne,10.0.0.114/31,FastEthernet0/0,connected
biel_bienne,10.0.0.114/32,FastEthernet0/0,local
biella,10.0.1.16/31,FastEthernet0/0,connected
biella,10.0.1.16/32,FastEthernet0/0,local
birmingham,10.0.0.228/31,FastEthernet0/1,connected
birmingham,10.0.0.229/32,FastEthernet0/1,local
birmingham,10.0.0.230/31,FastEthernet0/0,connected
birmingham,10.0.0.230/32,FastEthernet0/0,local
boblingen,10.0.0.96/31,FastEthernet0/0,connected
boblingen,10.0.0.96/32,FastEthernet0/0,local
bologna,10.0.0.204/31,FastEthernet0/0,connected
bologna,10.0.0.205/32,FastEthernet0/0,local
bologna,10.0.1.40/31,FastEthernet0/1,connected
bologna,10.0.1.41/32,FastEthernet0/1,local
bordeaux,10.0.1.6/31,FastEthernet0/1,connected
bordeaux,10.0.1.6/32,FastEthernet0/1,local
bordeaux,10.0.1.8/31,FastEthernet1/0,connected
bordeaux,10.0.1.8/32,FastEthernet1/0,local
bordeaux,10.0.1.10/31,FastEthernet0/0,connected
bordeaux,10.0.1.10/32,FastEthernet0/0,local
bordeaux,128.0.0.0/24,ip,bgp
borgomanero,10.0.1.12/31,FastEthernet0/0,connected
borgomanero,10.0.1.12/32,FastEthernet0/0,local
boston,10.0.0.88/31,FastEthernet0/1,connected
boston,10.0.0.88/32,FastEthernet0/1,local
boston,10.0.0.90/31,FastEthernet0/0,connected
boston,10.0.0.90/32,FastEthernet0/0,local
bratislava,10.0.0.32/31,FastEthernet0/1,connected
bratislava,10.0.0.33/32,FastEthernet0/1,local
bratislava,10.0.1.30/31,FastEthernet0/0,connected
bratislava,10.0.1.30/32,FastEthernet0/0,local
breda,10.0.0.136/31,FastEthernet0/0,connected
breda,10.0.0.136/32,FastEthernet0/0,local
bremen,10.0.0.156/31,FastEthernet0/0,connected
bremen,10.0.0.157/32,FastEthernet0/0,local
brescia,10.0.1.46/31,FastEthernet0/0,connected
brescia,10.0.1.47/32,FastEthernet0/0,local
brescia,10.0.1.52/31,FastEthernet0/1,connected
brescia,10.0.1.53/32,FastEthernet0/1,local
brindisi,10.0.0.178/31,FastEthernet0/0,connected
brindisi,10.0.0.178/32,FastEthernet0/0,local
bristol,10.0.0.224/31,FastEthernet0/1,connected
bristol,10.0.0.225/32,FastEthernet0/1,local
bristol,10.0.0.230/31,FastEthernet0/0,connected
bristol,10.0.0.231/32,FastEthernet0/0,local
bristol,10.0.1.22/31,FastEthernet1/0,connected
bristol,10.0.1.23/32,FastEthernet1/0,local
brussels,10.0.0.68/31,FastEthernet0/1,connected
brussels,10.0.0.69/32,FastEthernet0/1,local
brussels,10.0.0.120/31,FastEthernet1/0,connected
brussels,10.0.0.121/32,FastEthernet1/0,local
brussels,10.0.0.122/31,FastEthernet3/1,connected
brussels,10.0.0.123/32,FastEthernet3/1,local
brussels,10.0.0.124/31,FastEthernet0/0,connected
brussels,10.0.0.125/32,FastEthernet0/0,local
brussels,10.0.0.126/31,FastEthernet5/0,connected
brussels,10.0.0.127/32,FastEthernet5/0,local
brussels,10.0.0.128/31,FastEthernet3/0,connected
brussels,10.0.0.129/32,FastEthernet3/0,local
brussels,10.0.0.132/31,FastEthernet4/1,connected
brussels,10.0.0.133/32,FastEthernet4/1,local
brussels,10.0.0.134/31,FastEthernet1/1,connected
brussels,10.0.0.135/32,FastEthernet1/1,local
brussels,10.0.0.234/31,FastEthernet2/0,connected
brussels,10.0.0.235/32,FastEthernet2/0,local
brussels,10.0.1.60/31,FastEthernet2/1,connected
brussels,10.0.1.61/32,FastEthernet2/1,local
brussels,10.0.1.94/31,FastEthernet4/0,connected
brussels,10.0.1.95/32,FastEthernet4/0,local
bucharest,10.0.1.34/31,FastEthernet0/0,connected
bucharest,10.0.1.35/32,FastEthernet0/0,local
budapest,10.0.0.34/31,FastEthernet1/0,connected
budapest,10.0.0.35/32,FastEthernet1/0,local
budapest,10.0.1.30/31,FastEthernet0/0,connected
budapest,10.0.1.31/32,FastEthernet0/0,local
budapest,10.0.1.34/31,FastEthernet0/1,connected
budapest,10.0.1.34/32,FastEthernet0/1,local
cagliari,10.0.0.86/31,FastEthernet0/0,connected
cagliari,10.0.0.86/32,FastEthernet0/0,local
catania,10.0.0.74/31,FastEthernet0/0,connected
catania,10.0.0.74/32,FastEthernet0/0,local
charleroi,10.0.0.120/31,FastEthernet0/0,connected
charleroi,10.0.0.120/32,FastEthernet0/0,local
chiasso,10.0.0.190/31,FastEthernet0/0,connected
chiasso,10.0.0.190/32,FastEthernet0/0,local
chiasso,10.0.0.192/31,FastEthernet0/1,connected
chiasso,10.0.0.192/32,FastEthernet0/1,local
chicago,10.0.0.90/31,FastEthernet0/0,connected
chicago,10.0.0.91/32,FastEthernet0/0,local
