Interface,Access_VLAN,Active,Admin_Up,All_Prefixes,Allowed_VLANs,Auto_State_VLAN,Bandwidth,Blacklisted,Channel_Group,Channel_Group_Members,DHCP_Relay_Addresses,Declared_Names,Description,Encapsulation_VLAN,HSRP_Groups,HSRP_Version,Inactive_Reason,Incoming_Filter_Name,MLAG_ID,MTU,Native_VLAN,Outgoing_Filter_Name,PBR_Policy_Name,Primary_Address,Primary_Network,Proxy_ARP,Rip_Enabled,Rip_Passive,Spanning_Tree_Portfast,Speed,Switchport,Switchport_Mode,Switchport_Trunk_Encapsulation,VRF,VRRP_Groups,Zone_Name
aarhus[FastEthernet0/0],,True,True,['10.0.0.149/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Copenhagen""",,[],,,,,1500,,,,10.0.0.149/31,10.0.0.148/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
aarhus[FastEthernet0/1],,True,True,['10.0.0.153/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Hamburg""",,[],,,,,1500,,,,10.0.0.153/31,10.0.0.152/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
aarhus[FastEthernet1/0],,True,True,['10.0.0.158/31'],,True,100000000.0,False,,[],[],['Fa1/0'],"""To Kolding""",,[],,,,,1500,,,,10.0.0.158/31,10.0.0.158/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
almere[FastEthernet0/0],,True,True,['10.0.1.76/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Amsterdam""",,[],,,,,1500,,,,10.0.1.76/31,10.0.1.76/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
amsterdam[FastEthernet0/0],,True,True,['10.0.1.77/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Almere""",,[],,,,,1500,,,,10.0.1.77/31,10.0.1.76/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
amsterdam[FastEthernet0/1],,True,True,['10.0.0.63/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Dusseldorf""",,[],,,,,1500,,,,10.0.0.63/31,10.0.0.62/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
amsterdam[FastEthernet1/0],,True,True,['10.0.1.79/31'],,True,100000000.0,False,,[],[],['Fa1/0'],"""To Hilversum""",,[],,,,,1500,,,,10.0.1.79/31,10.0.1.78/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
amsterdam[FastEthernet1/1],,True,True,['10.0.1.81/31'],,True,100000000.0,False,,[],[],['Fa1/1'],"""To Hoofddorp""",,[],,,,,1500,,,,10.0.1.81/31,10.0.1.80/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
anderlecht[FastEthernet0/0],,True,True,['10.0.0.124/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Brussels""",,[],,,,,1500,,,,10.0.0.124/31,10.0.0.124/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
antwerp[FastEthernet0/0],,True,True,['10.0.0.68/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Brussels""",,[],,,,,1500,,,,10.0.0.68/31,10.0.0.68/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
antwerp[FastEthernet0/1],,True,True,['10.0.0.51/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To TheTTHague""",,[],,,,,1500,,,,10.0.0.51/31,10.0.0.50/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
barcelona[FastEthernet0/0],,True,True,['10.0.0.239/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To NodeID79""",,[],,,,,1500,,,,10.0.0.239/31,10.0.0.238/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
barcelona[FastEthernet0/1],,True,True,['10.0.1.86/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To PeerBarcelona_0""",,[],,,,,1500,,,,10.0.1.86/31,10.0.1.86/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
barcelona[FastEthernet1/0],,True,True,['10.0.0.245/31'],,True,100000000.0,False,,[],[],['Fa1/0'],"""To Valencia""",,[],,,,,1500,,,,10.0.0.245/31,10.0.0.244/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
