Node,VRF,Network,Next_Hop,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
aarhus,default,10.0.0.148/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
aarhus,default,10.0.0.149/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
aarhus,default,10.0.0.152/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
aarhus,default,10.0.0.153/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
aarhus,default,10.0.0.158/31,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
aarhus,default,10.0.0.158/32,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,local,0,0,
almere,default,10.0.1.76/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
almere,default,10.0.1.76/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
amsterdam,default,10.0.0.62/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
amsterdam,default,10.0.0.63/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
amsterdam,default,10.0.1.76/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
amsterdam,default,10.0.1.77/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
amsterdam,default,10.0.1.78/31,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
amsterdam,default,10.0.1.79/32,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,local,0,0,
amsterdam,default,10.0.1.80/31,interface FastEthernet1/1,AUTO/NONE(-1l),FastEthernet1/1,connected,0,0,
amsterdam,default,10.0.1.81/32,interface FastEthernet1/1,AUTO/NONE(-1l),FastEthernet1/1,local,0,0,
anderlecht,default,10.0.0.124/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
anderlecht,default,10.0.0.124/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
antwerp,default,10.0.0.50/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
antwerp,default,10.0.0.51/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
antwerp,default,10.0.0.68/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
antwerp,default,10.0.0.68/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
barcelona,default,10.0.0.238/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
barcelona,default,10.0.0.239/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
barcelona,default,10.0.0.244/31,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
barcelona,default,10.0.0.245/32,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,local,0,0,
barcelona,default,10.0.1.86/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
barcelona,default,10.0.1.86/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
barcelona,default,128.0.0.0/24,ip 10.0.1.87,10.0.1.87,dynamic,bgp,0,20,
bari,default,10.0.0.82/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
bari,default,10.0.0.82/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
basel,default,10.0.0.216/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
basel,default,10.0.0.217/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
basel,default,10.0.0.218/31,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
basel,default,10.0.0.219/32,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,local,0,0,
basel,default,10.0.1.62/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
basel,default,10.0.1.62/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
bergamo,default,10.0.1.46/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
bergamo,default,10.0.1.46/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
bergamo,default,10.0.1.48/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
bergamo,default,10.0.1.48/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
berlin,default,10.0.0.6/31,interface FastEthernet1/1,AUTO/NONE(-1l),FastEthernet1/1,connected,0,0,
berlin,default,10.0.0.7/32,interface FastEthernet1/1,AUTO/NONE(-1l),FastEthernet1/1,local,0,0,
berlin,default,10.0.0.10/31,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
berlin,default,10.0.0.11/32,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,local,0,0,
berlin,default,10.0.0.16/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
berlin,default,10.0.0.17/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
berlin,default,10.0.0.24/31,interface FastEthernet2/0,AUTO/NONE(-1l),FastEthernet2/0,connected,0,0,
berlin,default,10.0.0.25/32,interface FastEthernet2/0,AUTO/NONE(-1l),FastEthernet2/0,local,0,0,
berlin,default,10.0.0.176/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
berlin,default,10.0.0.177/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
bern,default,10.0.0.214/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
bern,default,10.0.0.215/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
biel_bienne,default,10.0.0.114/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
biel_bienne,default,10.0.0.114/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
biella,default,10.0.1.16/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
biella,default,10.0.1.16/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
birmingham,default,10.0.0.228/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
birmingham,default,10.0.0.229/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
birmingham,default,10.0.0.230/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
birmingham,default,10.0.0.230/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
boblingen,default,10.0.0.96/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
boblingen,default,10.0.0.96/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
bologna,default,10.0.0.204/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
bologna,default,10.0.0.205/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
