节点介数中心性：
设备: Aarhus, 介数中心性: 0.0003
设备: Copenhagen, 介数中心性: 0.0641
设备: Hamburg, 介数中心性: 0.1562
设备: Kolding, 介数中心性: 0.0000
设备: Almere, 介数中心性: 0.0000
设备: Amsterdam, 介数中心性: 0.0957
设备: Dusseldorf, 介数中心性: 0.2007
设备: Hilversum, 介数中心性: 0.0178
设备: Hoofddorp, 介数中心性: 0.0653
设备: Anderlecht, 介数中心性: 0.0000
设备: Brussels, 介数中心性: 0.2007
设备: Antwerp, 介数中心性: 0.1144
设备: Thetthague, 介数中心性: 0.1120
设备: Barcelona, 介数中心性: 0.0290
设备: Nodeid79, 介数中心性: 0.0616
设备: Peerbarcelona_0, 介数中心性: 0.0000
设备: Valencia, 介数中心性: 0.0087
设备: Bari, 介数中心性: 0.0000
设备: Rome, 介数中心性: 0.1025
设备: Basel, 介数中心性: 0.1164
设备: Nodeid73, 介数中心性: 0.0362
设备: Strasbourg, 介数中心性: 0.4134
设备: Zurich, 介数中心性: 0.0827
设备: Bergamo, 介数中心性: 0.0357
设备: Brescia, 介数中心性: 0.0242
设备: Milan, 介数中心性: 0.3708
设备: Berlin, 介数中心性: 0.0719
设备: Dresden, 介数中心性: 0.0681
设备: Nodeid60, 介数中心性: 0.0150
设备: Potsdam, 介数中心性: 0.0000
设备: Rostock, 介数中心性: 0.0403
设备: Warsaw, 介数中心性: 0.0028
设备: Bern, 介数中心性: 0.0000
设备: Biel_bienne, 介数中心性: 0.0000
设备: Biella, 介数中心性: 0.0000
设备: Birmingham, 介数中心性: 0.0001
设备: Bristol, 介数中心性: 0.0002
设备: Manchester, 介数中心性: 0.0128
设备: Boblingen, 介数中心性: 0.0000
设备: Stuttgart, 介数中心性: 0.2238
设备: Bologna, 介数中心性: 0.0015
设备: Firenze, 介数中心性: 0.1152
设备: Modena, 介数中心性: 0.0064
设备: Bordeaux, 介数中心性: 0.0535
设备: Madrid, 介数中心性: 0.0434
设备: Nantes, 介数中心性: 0.0515
设备: Toulouse, 介数中心性: 0.0138
设备: Borgomanero, 介数中心性: 0.0000
设备: Boston, 介数中心性: 0.0131
设备: Chicago, 介数中心性: 0.0000
设备: London, 介数中心性: 0.1671
设备: Bratislava, 介数中心性: 0.0000
设备: Budapest, 介数中心性: 0.0131
设备: Vienna, 介数中心性: 0.1640
设备: Breda, 介数中心性: 0.0000
设备: Denttbosch, 介数中心性: 0.0335
设备: Bremen, 介数中心性: 0.0000
设备: Verona, 介数中心性: 0.0132
设备: Brindisi, 介数中心性: 0.0000
设备: Dublin, 介数中心性: 0.0064
设备: Reading, 介数中心性: 0.0064
设备: Charleroi, 介数中心性: 0.0000
设备: Evere, 介数中心性: 0.0000
设备: Ghent, 介数中心性: 0.0789
设备: Kortnijk, 介数中心性: 0.0000
设备: Leuven, 介数中心性: 0.0000
设备: Liege, 介数中心性: 0.0000
设备: Luxembourg, 介数中心性: 0.0000
设备: Mons, 介数中心性: 0.0000
设备: Bucharest, 介数中心性: 0.0000
设备: Cagliari, 介数中心性: 0.0000
设备: Catania, 介数中心性: 0.0000
设备: Chiasso, 介数中心性: 0.0257
设备: Como, 介数中心性: 0.0323
设备: Lugano, 介数中心性: 0.0266
设备: Cologne, 介数中心性: 0.1359
设备: Frankfurt, 介数中心性: 0.1415
设备: Gothenburg, 介数中心性: 0.0064
设备: Malmo, 介数中心性: 0.0000
设备: Stockholm, 介数中心性: 0.0195
设备: Cuneo, 介数中心性: 0.0000
设备: Turin, 介数中心性: 0.3318
设备: Eindhoven, 介数中心性: 0.0000
