Next_Hop,Networks
aarhus_FastEthernet0/0,10.0.0.148/31|10.0.0.149/32
aarhus_FastEthernet0/1,10.0.0.152/31|10.0.0.153/32
aarhus_FastEthernet1/0,10.0.0.158/32|10.0.0.158/31
almere_FastEthernet0/0,10.0.1.76/32|10.0.1.76/31
amsterdam_FastEthernet0/1,10.0.0.63/32|10.0.0.62/31
amsterdam_FastEthernet0/0,10.0.1.77/32|10.0.1.76/31
amsterdam_FastEthernet1/0,10.0.1.78/31|10.0.1.79/32
amsterdam_FastEthernet1/1,10.0.1.81/32|10.0.1.80/31
anderlecht_FastEthernet0/0,10.0.0.124/31|10.0.0.124/32
antwerp_FastEthernet0/1,10.0.0.50/31|10.0.0.51/32
antwerp_FastEthernet0/0,10.0.0.68/32|10.0.0.68/31
barcelona_FastEthernet0/0,10.0.0.239/32|10.0.0.238/31
barcelona_FastEthernet1/0,10.0.0.245/32|10.0.0.244/31
barcelona_FastEthernet0/1,10.0.1.86/32|10.0.1.86/31
ip 10.0.1.87,128.0.0.0/24
bari_FastEthernet0/0,10.0.0.82/32|10.0.0.82/31
basel_FastEthernet0/0,10.0.0.217/32|10.0.0.216/31
basel_FastEthernet1/0,10.0.0.219/32|10.0.0.218/31
basel_FastEthernet0/1,10.0.1.62/31|10.0.1.62/32
bergamo_FastEthernet0/0,10.0.1.46/31|10.0.1.46/32
bergamo_FastEthernet0/1,10.0.1.48/31|10.0.1.48/32
berlin_FastEthernet1/1,10.0.0.6/31|10.0.0.7/32
berlin_FastEthernet1/0,10.0.0.10/31|10.0.0.11/32
berlin_FastEthernet0/0,10.0.0.17/32|10.0.0.16/31
berlin_FastEthernet2/0,10.0.0.24/31|10.0.0.25/32
berlin_FastEthernet0/1,10.0.0.177/32|10.0.0.176/31
bern_FastEthernet0/0,10.0.0.215/32|10.0.0.214/31
biel_bienne_FastEthernet0/0,10.0.0.114/31|10.0.0.114/32
biella_FastEthernet0/0,10.0.1.16/31|10.0.1.16/32
birmingham_FastEthernet0/1,10.0.0.229/32|10.0.0.228/31
birmingham_FastEthernet0/0,10.0.0.230/31|10.0.0.230/32
boblingen_FastEthernet0/0,10.0.0.96/31|10.0.0.96/32
bologna_FastEthernet0/0,10.0.0.204/31|10.0.0.205/32
bologna_FastEthernet0/1,10.0.1.41/32|10.0.1.40/31
bordeaux_FastEthernet0/1,10.0.1.6/32|10.0.1.6/31
bordeaux_FastEthernet1/0,10.0.1.8/32|10.0.1.8/31
bordeaux_FastEthernet0/0,10.0.1.10/31|10.0.1.10/32
ip 10.0.1.9,128.0.0.0/24
borgomanero_FastEthernet0/0,10.0.1.12/31|10.0.1.12/32
boston_FastEthernet0/1,10.0.0.88/31|10.0.0.88/32
boston_FastEthernet0/0,10.0.0.90/32|10.0.0.90/31
bratislava_FastEthernet0/1,10.0.0.33/32|10.0.0.32/31
bratislava_FastEthernet0/0,10.0.1.30/31|10.0.1.30/32
breda_FastEthernet0/0,10.0.0.136/32|10.0.0.136/31
bremen_FastEthernet0/0,10.0.0.157/32|10.0.0.156/31
brescia_FastEthernet0/0,10.0.1.46/31|10.0.1.47/32
brescia_FastEthernet0/1,10.0.1.53/32|10.0.1.52/31
brindisi_FastEthernet0/0,10.0.0.178/32|10.0.0.178/31
bristol_FastEthernet0/1,10.0.0.225/32|10.0.0.224/31
bristol_FastEthernet0/0,10.0.0.231/32|10.0.0.230/31
bristol_FastEthernet1/0,10.0.1.22/31|10.0.1.23/32
brussels_FastEthernet0/1,10.0.0.68/31|10.0.0.69/32
brussels_FastEthernet1/0,10.0.0.121/32|10.0.0.120/31
brussels_FastEthernet3/1,10.0.0.123/32|10.0.0.122/31
brussels_FastEthernet0/0,10.0.0.124/31|10.0.0.125/32
brussels_FastEthernet5/0,10.0.0.126/31|10.0.0.127/32
brussels_FastEthernet3/0,10.0.0.129/32|10.0.0.128/31
brussels_FastEthernet4/1,10.0.0.133/32|10.0.0.132/31
brussels_FastEthernet1/1,10.0.0.135/32|10.0.0.134/31
brussels_FastEthernet2/0,10.0.0.235/32|10.0.0.234/31
brussels_FastEthernet2/1,10.0.1.60/31|10.0.1.61/32
brussels_FastEthernet4/0,10.0.1.95/32|10.0.1.94/31
bucharest_FastEthernet0/0,10.0.1.34/31|10.0.1.35/32
budapest_FastEthernet1/0,10.0.0.34/31|10.0.0.35/32
budapest_FastEthernet0/0,10.0.1.30/31|10.0.1.31/32
budapest_FastEthernet0/1,10.0.1.34/31|10.0.1.34/32
cagliari_FastEthernet0/0,10.0.0.86/31|10.0.0.86/32
