Equivalence_Class,Source,Destination
aarhus_FastEthernet0/0,aarhus,Copenhagen
aarhus_FastEthernet0/1,aarhus,Hamburg
aarhus_FastEthernet1/0,aarhus,Kolding
almere_FastEthernet0/0,almere,Amsterdam
amsterdam_FastEthernet0/1,amsterdam,Dusseldorf
amsterdam_FastEthernet0/0,amsterdam,Almere
amsterdam_FastEthernet1/0,amsterdam,Hilversum
amsterdam_FastEthernet1/1,amsterdam,Hoofddorp
anderlecht_FastEthernet0/0,anderlecht,Brussels
antwerp_FastEthernet0/0,antwerp,Brussels
barcelona_FastEthernet1/0,barcelona,Valencia
bari_FastEthernet0/0,bari,Rome
basel_FastEthernet1/0,basel,Zurich
basel_FastEthernet0/1,basel,Strasbourg
bergamo_FastEthernet0/0,bergamo,Brescia
bergamo_FastEthernet0/1,bergamo,Milan
berlin_FastEthernet1/1,berlin,Rostock
berlin_FastEthernet1/0,berlin,Potsdam
berlin_FastEthernet0/0,berlin,Dresden
berlin_FastEthernet2/0,berlin,Warsaw
biella_FastEthernet0/0,biella,Milan
birmingham_FastEthernet0/1,birmingham,Manchester
birmingham_FastEthernet0/0,birmingham,Bristol
boblingen_FastEthernet0/0,boblingen,Stuttgart
bologna_FastEthernet0/0,bologna,Firenze
bologna_FastEthernet0/1,bologna,Modena
bordeaux_FastEthernet0/1,bordeaux,Nantes
bordeaux_FastEthernet1/0,bordeaux,Toulouse
bordeaux_FastEthernet0/0,bordeaux,Madrid
borgomanero_FastEthernet0/0,borgomanero,Milan
boston_FastEthernet0/1,boston,London
boston_FastEthernet0/0,boston,Chicago
bratislava_FastEthernet0/1,bratislava,Vienna
bratislava_FastEthernet0/0,bratislava,Budapest
bremen_FastEthernet0/0,bremen,Hamburg
brescia_FastEthernet0/0,brescia,Bergamo
brescia_FastEthernet0/1,brescia,Verona
brindisi_FastEthernet0/0,brindisi,Rome
bristol_FastEthernet0/1,bristol,Dublin
bristol_FastEthernet0/0,bristol,Birmingham
bristol_FastEthernet1/0,bristol,Reading
brussels_FastEthernet0/1,brussels,Antwerp
brussels_FastEthernet1/0,brussels,Charleroi
brussels_FastEthernet3/1,brussels,Liege
brussels_FastEthernet0/0,brussels,Anderlecht
brussels_FastEthernet5/0,brussels,Mons
brussels_FastEthernet3/0,brussels,Leuven
brussels_FastEthernet4/1,brussels,Luxembourg
brussels_FastEthernet1/1,brussels,Evere
brussels_FastEthernet2/0,brussels,Ghent
brussels_FastEthernet2/1,brussels,Kortnijk
brussels_FastEthernet4/0,brussels,London
bucharest_FastEthernet0/0,bucharest,Budapest
budapest_FastEthernet1/0,budapest,Vienna
budapest_FastEthernet0/0,budapest,Bratislava
budapest_FastEthernet0/1,budapest,Bucharest
cagliari_FastEthernet0/0,cagliari,Rome
catania_FastEthernet0/0,catania,Rome
charleroi_FastEthernet0/0,charleroi,Brussels
chiasso_FastEthernet0/0,chiasso,Como
chiasso_FastEthernet0/1,chiasso,Lugano
chicago_FastEthernet0/0,chicago,Boston
cologne_FastEthernet0/0,cologne,Dusseldorf
cologne_FastEthernet0/1,cologne,Frankfurt
como_FastEthernet0/0,como,Chiasso
como_FastEthernet0/1,como,Milan
copenhagen_FastEthernet2/0,copenhagen,Stockholm
copenhagen_FastEthernet0/1,copenhagen,Gothenburg
copenhagen_FastEthernet1/0,copenhagen,Hamburg
copenhagen_FastEthernet1/1,copenhagen,Malmo
copenhagen_FastEthernet0/0,copenhagen,Aarhus
cuneo_FastEthernet0/0,cuneo,Turin
denttbosch_FastEthernet1/0,denttbosch,Rotterdam
denttbosch_FastEthernet0/1,denttbosch,Eindhoven
denttbosch_FastEthernet0/0,denttbosch,Breda
denttbosch_FastEthernet1/1,denttbosch,Utrecht
dijon_FastEthernet0/0,dijon,Lyon
dortmund_FastEthernet0/1,dortmund,Wuppertal
dortmund_FastEthernet0/0,dortmund,Essen
dresden_FastEthernet0/1,dresden,Leipzig
dresden_FastEthernet0/0,dresden,Berlin
dresden_FastEthernet1/0,dresden,Prague
dublin_FastEthernet0/1,dublin,London
dublin_FastEthernet0/0,dublin,Bristol
dusseldorf_FastEthernet0/1,dusseldorf,Cologne
dusseldorf_FastEthernet1/0,dusseldorf,Essen
dusseldorf_FastEthernet0/0,dusseldorf,Amsterdam
dusseldorf_FastEthernet1/1,dusseldorf,Neuss
dusseldorf_FastEthernet2/0,dusseldorf,Wuppertal
erding_FastEthernet0/0,erding,Munich
essen_FastEthernet0/1,essen,Dusseldorf
essen_FastEthernet1/0,essen,Hamburg
essen_FastEthernet0/0,essen,Dortmund
esslingen_FastEthernet0/0,esslingen,Stuttgart
evere_FastEthernet0/0,evere,Brussels
firenze_FastEthernet0/1,firenze,Genova
firenze_FastEthernet1/0,firenze,Rome
firenze_FastEthernet0/0,firenze,Bologna
frankfurt_FastEthernet0/1,frankfurt,Mannheim
frankfurt_FastEthernet0/0,frankfurt,Cologne
geneve_FastEthernet0/1,geneve,Nyon
geneve_FastEthernet0/0,geneve,Lyon
genova_FastEthernet0/1,genova,Milan
genova_FastEthernet0/0,genova,Firenze
ghent_FastEthernet0/1,ghent,Lille
ghent_FastEthernet0/0,ghent,Brussels
ghent_FastEthernet1/0,ghent,Ostend
gothenburg_FastEthernet0/0,gothenburg,Copenhagen
gothenburg_FastEthernet0/1,gothenburg,Oslo
graz_FastEthernet0/1,graz,Vienna
graz_FastEthernet0/0,graz,Klagenfurt
grenoble_FastEthernet0/0,grenoble,Lyon
hamburg_FastEthernet3/0,hamburg,Rostock
hamburg_FastEthernet2/0,hamburg,Hannover
hamburg_FastEthernet1/0,hamburg,Copenhagen
hamburg_FastEthernet1/1,hamburg,Essen
hamburg_FastEthernet0/0,hamburg,Aarhus
hamburg_FastEthernet2/1,hamburg,Kolding
hamburg_FastEthernet0/1,hamburg,Bremen
hannover_FastEthernet0/0,hannover,Hamburg
helsinki_FastEthernet0/0,helsinki,Stockholm
hilversum_FastEthernet0/1,hilversum,Utrecht
hilversum_FastEthernet0/0,hilversum,Amsterdam
hoofddorp_FastEthernet0/0,hoofddorp,Amsterdam
innsbruck_FastEthernet0/0,innsbruck,Salzburg
karlsruhe_FastEthernet0/0,karlsruhe,Mannheim
karlsruhe_FastEthernet0/1,karlsruhe,Strasbourg
karlsruhe_FastEthernet1/0,karlsruhe,Stuttgart
klagenfurt_FastEthernet0/0,klagenfurt,Graz
kolding_FastEthernet0/1,kolding,Hamburg
kolding_FastEthernet0/0,kolding,Aarhus
kortnijk_FastEthernet0/0,kortnijk,Brussels
krakov_FastEthernet0/0,krakov,Prague
krakov_FastEthernet0/1,krakov,Warsaw
lausanne_FastEthernet0/1,lausanne,Nyon
leipzig_FastEthernet0/1,leipzig,Nuremberg
leipzig_FastEthernet0/0,leipzig,Dresden
leuven_FastEthernet0/0,leuven,Brussels
liege_FastEthernet0/0,liege,Brussels
lille_FastEthernet0/0,lille,Ghent
lille_FastEthernet1/0,lille,Paris
linz_FastEthernet1/0,linz,Vienna
linz_FastEthernet0/0,linz,Salzburg
lisbon_FastEthernet1/0,lisbon,Sintra
lisbon_FastEthernet0/1,lisbon,Porto
lisbon_FastEthernet0/0,lisbon,Madrid
livorno_FastEthernet0/0,livorno,Milan
london_FastEthernet0/0,london,Boston
london_FastEthernet2/1,london,Newark
london_FastEthernet1/0,london,Dublin
london_FastEthernet1/1,london,Manchester
london_FastEthernet3/1,london,Reading
london_FastEthernet0/1,london,Brussels
lucerne_FastEthernet0/1,lucerne,Zug
lucerne_FastEthernet0/0,lucerne,Lugano
lugano_FastEthernet0/1,lugano,Lucerne
lugano_FastEthernet0/0,lugano,Chiasso
luxembourg_FastEthernet0/0,luxembourg,Brussels
lyon_FastEthernet1/1,lyon,Marseille
lyon_FastEthernet1/0,lyon,Grenoble
lyon_FastEthernet0/0,lyon,Dijon
lyon_FastEthernet2/0,lyon,Paris
lyon_FastEthernet0/1,lyon,Geneve
