Device,Interface,IP Address,Subnet Mask,Description
antigua,FastEthernet0/0,10.0.0.64,/31,"""To Guadeloupe"""
antigua,FastEthernet0/1,10.0.0.66,/31,"""To StTTKittsTT&TTNevis"""
bahamas,FastEthernet0/0,10.0.0.102,/31,"""To NodeID45"""
bahamas,FastEthernet0/1,10.0.0.100,/31,"""To NodeID59"""
barbados,FastEthernet0/0,10.0.0.83,/31,"""To NodeID22"""
belize,FastEthernet0/0,10.0.0.47,/31,"""To Mexico"""
belize,FastEthernet0/1,10.0.0.93,/31,"""To NodeID28"""
bonaire,FastEthernet0/0,10.0.0.29,/31,"""To Curacao"""
caymanttislands,FastEthernet0/0,10.0.0.136,/31,"""To NodeID46"""
columbia,FastEthernet0/0,10.0.0.9,/31,"""To NodeID1"""
columbia,FastEthernet0/1,10.0.0.32,/31,"""To NodeID38"""
costattrica,FastEthernet0/0,10.0.0.16,/31,"""To Nicaragua"""
costattrica,FastEthernet0/1,10.0.0.12,/31,"""To NodeID9"""
costattrica,FastEthernet1/0,10.0.0.14,/31,"""To Panama"""
curacao,FastEthernet0/0,10.0.0.28,/31,"""To Bonaire"""
curacao,FastEthernet0/1,10.0.0.26,/31,"""To PuertoTTRico"""
curacao,FastEthernet1/0,10.0.0.30,/31,"""To StTTVincent"""
curacao,FastEthernet1/1,10.0.0.23,/31,"""To Venezuela"""
dominica,FastEthernet0/0,10.0.0.69,/31,"""To Guadeloupe"""
dominica,FastEthernet0/1,10.0.0.70,/31,"""To Martinique"""
dominica,FastEthernet1/0,10.0.0.72,/31,"""To StTTKittsTT&TTNevis"""
dominicanttrepublic,FastEthernet0/0,10.0.0.133,/31,"""To NodeID39"""
dominicanttrepublic,FastEthernet0/1,10.0.0.152,/31,"""To NodeID56"""
dominicanttrepublic,FastEthernet1/0,10.0.0.61,/31,"""To TurksTTandTTCaicos"""
ecuador,FastEthernet0/0,10.0.0.124,/31,"""To NodeID37"""
elttsalvador,FastEthernet0/0,10.0.0.167,/31,"""To NodeID63"""
grenada,FastEthernet0/0,10.0.0.85,/31,"""To NodeID24"""
grenada,FastEthernet0/1,10.0.0.86,/31,"""To TrinidadTTandTTTobago"""
guadeloupe,FastEthernet0/0,10.0.0.65,/31,"""To Antigua"""
guadeloupe,FastEthernet0/1,10.0.0.68,/31,"""To Dominica"""
guatemala,FastEthernet0/0,10.0.0.91,/31,"""To NodeID28"""
guatemala,FastEthernet0/1,10.0.0.169,/31,"""To NodeID63"""
