Node,Network,Next_Hop,Protocol
antigua,10.0.0.64/31,FastEthernet0/0,connected
antigua,10.0.0.64/32,FastEthernet0/0,local
antigua,10.0.0.66/31,FastEthernet0/1,connected
antigua,10.0.0.66/32,FastEthernet0/1,local
bahamas,10.0.0.100/31,FastEthernet0/1,connected
bahamas,10.0.0.100/32,FastEthernet0/1,local
bahamas,10.0.0.102/31,FastEthernet0/0,connected
bahamas,10.0.0.102/32,FastEthernet0/0,local
barbados,10.0.0.82/31,FastEthernet0/0,connected
barbados,10.0.0.83/32,FastEthernet0/0,local
belize,10.0.0.46/31,FastEthernet0/0,connected
belize,10.0.0.47/32,FastEthernet0/0,local
belize,10.0.0.92/31,FastEthernet0/1,connected
belize,10.0.0.93/32,FastEthernet0/1,local
bonaire,10.0.0.28/31,FastEthernet0/0,connected
bonaire,10.0.0.29/32,FastEthernet0/0,local
caymanttislands,10.0.0.136/31,FastEthernet0/0,connected
caymanttislands,10.0.0.136/32,FastEthernet0/0,local
columbia,10.0.0.8/31,FastEthernet0/0,connected
columbia,10.0.0.9/32,FastEthernet0/0,local
columbia,10.0.0.32/31,FastEthernet0/1,connected
columbia,10.0.0.32/32,FastEthernet0/1,local
costattrica,10.0.0.12/31,FastEthernet0/1,connected
costattrica,10.0.0.12/32,FastEthernet0/1,local
costattrica,10.0.0.14/31,FastEthernet1/0,connected
costattrica,10.0.0.14/32,FastEthernet1/0,local
costattrica,10.0.0.16/31,FastEthernet0/0,connected
costattrica,10.0.0.16/32,FastEthernet0/0,local
curacao,10.0.0.22/31,FastEthernet1/1,connected
curacao,10.0.0.23/32,FastEthernet1/1,local
curacao,10.0.0.26/31,FastEthernet0/1,connected
curacao,10.0.0.26/32,FastEthernet0/1,local
curacao,10.0.0.28/31,FastEthernet0/0,connected
curacao,10.0.0.28/32,FastEthernet0/0,local
curacao,10.0.0.30/31,FastEthernet1/0,connected
curacao,10.0.0.30/32,FastEthernet1/0,local
dominica,10.0.0.68/31,FastEthernet0/0,connected
dominica,10.0.0.69/32,FastEthernet0/0,local
dominica,10.0.0.70/31,FastEthernet0/1,connected
dominica,10.0.0.70/32,FastEthernet0/1,local
dominica,10.0.0.72/31,FastEthernet1/0,connected
dominica,10.0.0.72/32,FastEthernet1/0,local
dominica,128.0.0.0/24,ip,bgp
dominicanttrepublic,10.0.0.60/31,FastEthernet1/0,connected
dominicanttrepublic,10.0.0.61/32,FastEthernet1/0,local
dominicanttrepublic,10.0.0.132/31,FastEthernet0/0,connected
dominicanttrepublic,10.0.0.133/32,FastEthernet0/0,local
dominicanttrepublic,10.0.0.152/31,FastEthernet0/1,connected
dominicanttrepublic,10.0.0.152/32,FastEthernet0/1,local
ecuador,10.0.0.124/31,FastEthernet0/0,connected
ecuador,10.0.0.124/32,FastEthernet0/0,local
elttsalvador,10.0.0.166/31,FastEthernet0/0,connected
elttsalvador,10.0.0.167/32,FastEthernet0/0,local
grenada,10.0.0.84/31,FastEthernet0/0,connected
grenada,10.0.0.85/32,FastEthernet0/0,local
grenada,10.0.0.86/31,FastEthernet0/1,connected
grenada,10.0.0.86/32,FastEthernet0/1,local
guadeloupe,10.0.0.64/31,FastEthernet0/0,connected
guadeloupe,10.0.0.65/32,FastEthernet0/0,local
guadeloupe,10.0.0.68/31,FastEthernet0/1,connected
guadeloupe,10.0.0.68/32,FastEthernet0/1,local
guatemala,10.0.0.90/31,FastEthernet0/0,connected
guatemala,10.0.0.91/32,FastEthernet0/0,local
guatemala,10.0.0.168/31,FastEthernet0/1,connected
guatemala,10.0.0.169/32,FastEthernet0/1,local
guyana,10.0.0.120/31,FastEthernet0/0,connected
guyana,10.0.0.121/32,FastEthernet0/0,local
honduras,10.0.0.158/31,FastEthernet0/0,connected
honduras,10.0.0.159/32,FastEthernet0/0,local
honduras,10.0.0.170/31,FastEthernet0/1,connected
honduras,10.0.0.171/32,FastEthernet0/1,local
jamaica,10.0.0.130/31,FastEthernet0/0,connected
jamaica,10.0.0.131/32,FastEthernet0/0,local
jamaica,10.0.0.134/31,FastEthernet0/1,connected
jamaica,10.0.0.134/32,FastEthernet0/1,local
martinique,10.0.0.70/31,FastEthernet0/0,connected
martinique,10.0.0.71/32,FastEthernet0/0,local
martinique,10.0.0.74/31,FastEthernet0/1,connected
martinique,10.0.0.74/32,FastEthernet0/1,local
martinique,10.0.0.76/31,FastEthernet1/0,connected
martinique,10.0.0.76/32,FastEthernet1/0,local
martinique,128.0.0.0/24,ip,bgp
mexico,10.0.0.46/31,FastEthernet0/0,connected
mexico,10.0.0.46/32,FastEthernet0/0,local
mexico,10.0.0.48/31,FastEthernet0/1,connected
mexico,10.0.0.48/32,FastEthernet0/1,local
nicaragua,10.0.0.16/31,FastEthernet0/0,connected
nicaragua,10.0.0.17/32,FastEthernet0/0,local
nicaragua,10.0.0.162/31,FastEthernet0/1,connected
nicaragua,10.0.0.162/32,FastEthernet0/1,local
nodeid0,10.0.0.0/31,FastEthernet0/0,connected
nodeid0,10.0.0.0/32,FastEthernet0/0,local
nodeid0,10.0.0.2/31,FastEthernet0/1,connected
nodeid0,10.0.0.2/32,FastEthernet0/1,local
nodeid1,10.0.0.0/31,FastEthernet0/1,connected
nodeid1,10.0.0.1/32,FastEthernet0/1,local
nodeid1,10.0.0.4/31,FastEthernet1/0,connected
nodeid1,10.0.0.4/32,FastEthernet1/0,local
nodeid1,10.0.0.6/31,FastEthernet1/1,connected
nodeid1,10.0.0.6/32,FastEthernet1/1,local
nodeid1,10.0.0.8/31,FastEthernet0/0,connected
nodeid1,10.0.0.8/32,FastEthernet0/0,local
nodeid1,10.0.0.10/31,FastEthernet2/0,connected
nodeid1,10.0.0.10/32,FastEthernet2/0,local
nodeid13,10.0.0.50/31,FastEthernet0/1,connected
nodeid13,10.0.0.50/32,FastEthernet0/1,local
nodeid13,10.0.0.52/31,FastEthernet0/0,connected
nodeid13,10.0.0.52/32,FastEthernet0/0,local
nodeid13,10.0.0.54/31,FastEthernet1/0,connected
nodeid13,10.0.0.54/32,FastEthernet1/0,local
nodeid14,10.0.0.52/31,FastEthernet0/0,connected
nodeid14,10.0.0.53/32,FastEthernet0/0,local
nodeid15,10.0.0.48/31,FastEthernet0/0,connected
nodeid15,10.0.0.49/32,FastEthernet0/0,local
nodeid15,10.0.0.56/31,FastEthernet0/1,connected
nodeid15,10.0.0.56/32,FastEthernet0/1,local
nodeid17,10.0.0.58/31,FastEthernet0/1,connected
nodeid17,10.0.0.59/32,FastEthernet0/1,local
nodeid17,10.0.0.62/31,FastEthernet0/0,connected
nodeid17,10.0.0.62/32,FastEthernet0/0,local
nodeid22,10.0.0.74/31,FastEthernet0/1,connected
nodeid22,10.0.0.75/32,FastEthernet0/1,local
nodeid22,10.0.0.78/31,FastEthernet1/0,connected
nodeid22,10.0.0.78/32,FastEthernet1/0,local
nodeid22,10.0.0.80/31,FastEthernet1/1,connected
nodeid22,10.0.0.80/32,FastEthernet1/1,local
nodeid22,10.0.0.82/31,FastEthernet0/0,connected
nodeid22,10.0.0.82/32,FastEthernet0/0,local
nodeid22,128.0.0.0/24,ip,bgp
nodeid24,10.0.0.78/31,FastEthernet0/1,connected
nodeid24,10.0.0.79/32,FastEthernet0/1,local
nodeid24,10.0.0.84/31,FastEthernet0/0,connected
nodeid24,10.0.0.84/32,FastEthernet0/0,local
nodeid26,10.0.0.56/31,FastEthernet0/0,connected
nodeid26,10.0.0.57/32,FastEthernet0/0,local
nodeid26,10.0.0.88/31,FastEthernet0/1,connected
nodeid26,10.0.0.88/32,FastEthernet0/1,local
nodeid27,10.0.0.2/31,FastEthernet0/0,connected
nodeid27,10.0.0.3/32,FastEthernet0/0,local
nodeid27,10.0.0.18/31,FastEthernet1/0,connected
nodeid27,10.0.0.19/32,FastEthernet1/0,local
nodeid27,10.0.0.40/31,FastEthernet0/1,connected
nodeid27,10.0.0.41/32,FastEthernet0/1,local
nodeid28,10.0.0.90/31,FastEthernet0/1,connected
nodeid28,10.0.0.90/32,FastEthernet0/1,local
nodeid28,10.0.0.92/31,FastEthernet0/0,connected
nodeid28,10.0.0.92/32,FastEthernet0/0,local
nodeid28,10.0.0.94/31,FastEthernet1/0,connected
nodeid28,10.0.0.94/32,FastEthernet1/0,local
nodeid29,10.0.0.50/31,FastEthernet0/0,connected
nodeid29,10.0.0.51/32,FastEthernet0/0,local
nodeid29,10.0.0.96/31,FastEthernet1/0,connected
nodeid29,10.0.0.96/32,FastEthernet1/0,local
nodeid29,10.0.0.98/31,FastEthernet0/1,connected
nodeid29,10.0.0.98/32,FastEthernet0/1,local
nodeid31,10.0.0.54/31,FastEthernet0/0,connected
nodeid31,10.0.0.55/32,FastEthernet0/0,local
nodeid31,10.0.0.88/31,FastEthernet0/1,connected
nodeid31,10.0.0.89/32,FastEthernet0/1,local
nodeid31,10.0.0.104/31,FastEthernet1/1,connected
nodeid31,10.0.0.104/32,FastEthernet1/1,local
nodeid31,10.0.0.106/31,FastEthernet1/0,connected
nodeid31,10.0.0.106/32,FastEthernet1/0,local
nodeid32,10.0.0.108/31,FastEthernet0/1,connected
nodeid32,10.0.0.108/32,FastEthernet0/1,local
nodeid32,10.0.0.110/31,FastEthernet0/0,connected
nodeid32,10.0.0.110/32,FastEthernet0/0,local
