Interface,Access_VLAN,Active,Admin_Up,All_Prefixes,Allowed_VLANs,Auto_State_VLAN,Bandwidth,Blacklisted,Channel_Group,Channel_Group_Members,DHCP_Relay_Addresses,Declared_Names,Description,Encapsulation_VLAN,HSRP_Groups,HSRP_Version,Inactive_Reason,Incoming_Filter_Name,MLAG_ID,MTU,Native_VLAN,Outgoing_Filter_Name,PBR_Policy_Name,Primary_Address,Primary_Network,Proxy_ARP,Rip_Enabled,Rip_Passive,Spanning_Tree_Portfast,Speed,Switchport,Switchport_Mode,Switchport_Trunk_Encapsulation,VRF,VRRP_Groups,Zone_Name
antigua[FastEthernet0/0],,True,True,['10.0.0.64/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Guadeloupe""",,[],,,,,1500,,,,10.0.0.64/31,10.0.0.64/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
antigua[FastEthernet0/1],,True,True,['10.0.0.66/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To StTTKittsTT&TTNevis""",,[],,,,,1500,,,,10.0.0.66/31,10.0.0.66/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
bahamas[FastEthernet0/0],,True,True,['10.0.0.102/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To NodeID45""",,[],,,,,1500,,,,10.0.0.102/31,10.0.0.102/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
bahamas[FastEthernet0/1],,True,True,['10.0.0.100/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To NodeID59""",,[],,,,,1500,,,,10.0.0.100/31,10.0.0.100/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
barbados[FastEthernet0/0],,True,True,['10.0.0.83/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To NodeID22""",,[],,,,,1500,,,,10.0.0.83/31,10.0.0.82/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
belize[FastEthernet0/0],,True,True,['10.0.0.47/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Mexico""",,[],,,,,1500,,,,10.0.0.47/31,10.0.0.46/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
belize[FastEthernet0/1],,True,True,['10.0.0.93/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To NodeID28""",,[],,,,,1500,,,,10.0.0.93/31,10.0.0.92/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
bonaire[FastEthernet0/0],,True,True,['10.0.0.29/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Curacao""",,[],,,,,1500,,,,10.0.0.29/31,10.0.0.28/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
caymanttislands[FastEthernet0/0],,True,True,['10.0.0.136/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To NodeID46""",,[],,,,,1500,,,,10.0.0.136/31,10.0.0.136/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
columbia[FastEthernet0/0],,True,True,['10.0.0.9/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To NodeID1""",,[],,,,,1500,,,,10.0.0.9/31,10.0.0.8/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
columbia[FastEthernet0/1],,True,True,['10.0.0.32/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To NodeID38""",,[],,,,,1500,,,,10.0.0.32/31,10.0.0.32/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
costattrica[FastEthernet0/0],,True,True,['10.0.0.16/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Nicaragua""",,[],,,,,1500,,,,10.0.0.16/31,10.0.0.16/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
costattrica[FastEthernet0/1],,True,True,['10.0.0.12/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To NodeID9""",,[],,,,,1500,,,,10.0.0.12/31,10.0.0.12/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
costattrica[FastEthernet1/0],,True,True,['10.0.0.14/31'],,True,100000000.0,False,,[],[],['Fa1/0'],"""To Panama""",,[],,,,,1500,,,,10.0.0.14/31,10.0.0.14/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
curacao[FastEthernet0/0],,True,True,['10.0.0.28/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Bonaire""",,[],,,,,1500,,,,10.0.0.28/31,10.0.0.28/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
curacao[FastEthernet0/1],,True,True,['10.0.0.26/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To PuertoTTRico""",,[],,,,,1500,,,,10.0.0.26/31,10.0.0.26/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
curacao[FastEthernet1/0],,True,True,['10.0.0.30/31'],,True,100000000.0,False,,[],[],['Fa1/0'],"""To StTTVincent""",,[],,,,,1500,,,,10.0.0.30/31,10.0.0.30/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
curacao[FastEthernet1/1],,True,True,['10.0.0.23/31'],,True,100000000.0,False,,[],[],['Fa1/1'],"""To Venezuela""",,[],,,,,1500,,,,10.0.0.23/31,10.0.0.22/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
dominica[FastEthernet0/0],,True,True,['10.0.0.69/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Guadeloupe""",,[],,,,,1500,,,,10.0.0.69/31,10.0.0.68/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
dominica[FastEthernet0/1],,True,True,['10.0.0.70/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Martinique""",,[],,,,,1500,,,,10.0.0.70/31,10.0.0.70/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
dominica[FastEthernet1/0],,True,True,['10.0.0.72/31'],,True,100000000.0,False,,[],[],['Fa1/0'],"""To StTTKittsTT&TTNevis""",,[],,,,,1500,,,,10.0.0.72/31,10.0.0.72/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
dominicanttrepublic[FastEthernet0/0],,True,True,['10.0.0.133/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To NodeID39""",,[],,,,,1500,,,,10.0.0.133/31,10.0.0.132/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
dominicanttrepublic[FastEthernet0/1],,True,True,['10.0.0.152/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To NodeID56""",,[],,,,,1500,,,,10.0.0.152/31,10.0.0.152/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
dominicanttrepublic[FastEthernet1/0],,True,True,['10.0.0.61/31'],,True,100000000.0,False,,[],[],['Fa1/0'],"""To TurksTTandTTCaicos""",,[],,,,,1500,,,,10.0.0.61/31,10.0.0.60/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
ecuador[FastEthernet0/0],,True,True,['10.0.0.124/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To NodeID37""",,[],,,,,1500,,,,10.0.0.124/31,10.0.0.124/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
elttsalvador[FastEthernet0/0],,True,True,['10.0.0.167/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To NodeID63""",,[],,,,,1500,,,,10.0.0.167/31,10.0.0.166/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
grenada[FastEthernet0/0],,True,True,['10.0.0.85/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To NodeID24""",,[],,,,,1500,,,,10.0.0.85/31,10.0.0.84/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
grenada[FastEthernet0/1],,True,True,['10.0.0.86/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To TrinidadTTandTTTobago""",,[],,,,,1500,,,,10.0.0.86/31,10.0.0.86/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
guadeloupe[FastEthernet0/0],,True,True,['10.0.0.65/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Antigua""",,[],,,,,1500,,,,10.0.0.65/31,10.0.0.64/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
guadeloupe[FastEthernet0/1],,True,True,['10.0.0.68/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Dominica""",,[],,,,,1500,,,,10.0.0.68/31,10.0.0.68/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
guatemala[FastEthernet0/0],,True,True,['10.0.0.91/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To NodeID28""",,[],,,,,1500,,,,10.0.0.91/31,10.0.0.90/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
guatemala[FastEthernet0/1],,True,True,['10.0.0.169/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To NodeID63""",,[],,,,,1500,,,,10.0.0.169/31,10.0.0.168/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
guyana[FastEthernet0/0],,True,True,['10.0.0.121/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To NodeID35""",,[],,,,,1500,,,,10.0.0.121/31,10.0.0.120/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
honduras[FastEthernet0/0],,True,True,['10.0.0.159/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To NodeID60""",,[],,,,,1500,,,,10.0.0.159/31,10.0.0.158/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
honduras[FastEthernet0/1],,True,True,['10.0.0.171/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To NodeID67""",,[],,,,,1500,,,,10.0.0.171/31,10.0.0.170/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
jamaica[FastEthernet0/0],,True,True,['10.0.0.131/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To NodeID39""",,[],,,,,1500,,,,10.0.0.131/31,10.0.0.130/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
jamaica[FastEthernet0/1],,True,True,['10.0.0.134/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To NodeID41""",,[],,,,,1500,,,,10.0.0.134/31,10.0.0.134/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
martinique[FastEthernet0/0],,True,True,['10.0.0.71/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Dominica""",,[],,,,,1500,,,,10.0.0.71/31,10.0.0.70/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
martinique[FastEthernet0/1],,True,True,['10.0.0.74/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To NodeID22""",,[],,,,,1500,,,,10.0.0.74/31,10.0.0.74/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
martinique[FastEthernet1/0],,True,True,['10.0.0.76/31'],,True,100000000.0,False,,[],[],['Fa1/0'],"""To PeerMartinique_0""",,[],,,,,1500,,,,10.0.0.76/31,10.0.0.76/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
mexico[FastEthernet0/0],,True,True,['10.0.0.46/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Belize""",,[],,,,,1500,,,,10.0.0.46/31,10.0.0.46/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
mexico[FastEthernet0/1],,True,True,['10.0.0.48/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To NodeID15""",,[],,,,,1500,,,,10.0.0.48/31,10.0.0.48/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
nicaragua[FastEthernet0/0],,True,True,['10.0.0.17/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To CostaTTRica""",,[],,,,,1500,,,,10.0.0.17/31,10.0.0.16/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
nicaragua[FastEthernet0/1],,True,True,['10.0.0.162/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To NodeID69""",,[],,,,,1500,,,,10.0.0.162/31,10.0.0.162/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
nodeid0[FastEthernet0/0],,True,True,['10.0.0.0/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To NodeID1""",,[],,,,,1500,,,,10.0.0.0/31,10.0.0.0/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
