Next_Hop,Networks
antigua_FastEthernet0/0,10.0.0.64/32|10.0.0.64/31
antigua_FastEthernet0/1,10.0.0.66/32|10.0.0.66/31
bahamas_FastEthernet0/1,10.0.0.100/32|10.0.0.100/31
bahamas_FastEthernet0/0,10.0.0.102/32|10.0.0.102/31
barbados_FastEthernet0/0,10.0.0.83/32|10.0.0.82/31
belize_FastEthernet0/0,10.0.0.46/31|10.0.0.47/32
belize_FastEthernet0/1,10.0.0.93/32|10.0.0.92/31
bonaire_FastEthernet0/0,10.0.0.29/32|10.0.0.28/31
caymanttislands_FastEthernet0/0,10.0.0.136/32|10.0.0.136/31
columbia_FastEthernet0/0,10.0.0.8/31|10.0.0.9/32
columbia_FastEthernet0/1,10.0.0.32/31|10.0.0.32/32
costattrica_FastEthernet0/1,10.0.0.12/31|10.0.0.12/32
costattrica_FastEthernet1/0,10.0.0.14/32|10.0.0.14/31
costattrica_FastEthernet0/0,10.0.0.16/31|10.0.0.16/32
curacao_FastEthernet1/1,10.0.0.23/32|10.0.0.22/31
curacao_FastEthernet0/1,10.0.0.26/31|10.0.0.26/32
curacao_FastEthernet0/0,10.0.0.28/32|10.0.0.28/31
curacao_FastEthernet1/0,10.0.0.30/32|10.0.0.30/31
dominica_FastEthernet0/0,10.0.0.68/31|10.0.0.69/32
dominica_FastEthernet0/1,10.0.0.70/32|10.0.0.70/31
dominica_FastEthernet1/0,10.0.0.72/32|10.0.0.72/31
ip 10.0.0.71,128.0.0.0/24
dominicanttrepublic_FastEthernet1/0,10.0.0.60/31|10.0.0.61/32
dominicanttrepublic_FastEthernet0/0,10.0.0.132/31|10.0.0.133/32
dominicanttrepublic_FastEthernet0/1,10.0.0.152/31|10.0.0.152/32
ecuador_FastEthernet0/0,10.0.0.124/31|10.0.0.124/32
elttsalvador_FastEthernet0/0,10.0.0.167/32|10.0.0.166/31
grenada_FastEthernet0/0,10.0.0.85/32|10.0.0.84/31
grenada_FastEthernet0/1,10.0.0.86/31|10.0.0.86/32
guadeloupe_FastEthernet0/0,10.0.0.65/32|10.0.0.64/31
guadeloupe_FastEthernet0/1,10.0.0.68/31|10.0.0.68/32
guatemala_FastEthernet0/0,10.0.0.90/31|10.0.0.91/32
guatemala_FastEthernet0/1,10.0.0.168/31|10.0.0.169/32
guyana_FastEthernet0/0,10.0.0.120/31|10.0.0.121/32
honduras_FastEthernet0/0,10.0.0.158/31|10.0.0.159/32
honduras_FastEthernet0/1,10.0.0.170/31|10.0.0.171/32
jamaica_FastEthernet0/0,10.0.0.130/31|10.0.0.131/32
jamaica_FastEthernet0/1,10.0.0.134/32|10.0.0.134/31
martinique_FastEthernet0/0,10.0.0.71/32|10.0.0.70/31
martinique_FastEthernet0/1,10.0.0.74/31|10.0.0.74/32
martinique_FastEthernet1/0,10.0.0.76/31|10.0.0.76/32
ip 10.0.0.77,128.0.0.0/24
mexico_FastEthernet0/0,10.0.0.46/31|10.0.0.46/32
mexico_FastEthernet0/1,10.0.0.48/31|10.0.0.48/32
nicaragua_FastEthernet0/0,10.0.0.16/31|10.0.0.17/32
nicaragua_FastEthernet0/1,10.0.0.162/31|10.0.0.162/32
nodeid0_FastEthernet0/0,10.0.0.0/32|10.0.0.0/31
nodeid0_FastEthernet0/1,10.0.0.2/31|10.0.0.2/32
nodeid1_FastEthernet0/1,10.0.0.1/32|10.0.0.0/31
nodeid1_FastEthernet1/0,10.0.0.4/31|10.0.0.4/32
nodeid1_FastEthernet1/1,10.0.0.6/32|10.0.0.6/31
nodeid1_FastEthernet0/0,10.0.0.8/31|10.0.0.8/32
nodeid1_FastEthernet2/0,10.0.0.10/32|10.0.0.10/31
nodeid13_FastEthernet0/1,10.0.0.50/32|10.0.0.50/31
nodeid13_FastEthernet0/0,10.0.0.52/32|10.0.0.52/31
nodeid13_FastEthernet1/0,10.0.0.54/31|10.0.0.54/32
nodeid14_FastEthernet0/0,10.0.0.53/32|10.0.0.52/31
nodeid15_FastEthernet0/0,10.0.0.49/32|10.0.0.48/31
nodeid15_FastEthernet0/1,10.0.0.56/32|10.0.0.56/31
nodeid17_FastEthernet0/1,10.0.0.59/32|10.0.0.58/31
nodeid17_FastEthernet0/0,10.0.0.62/32|10.0.0.62/31
nodeid22_FastEthernet0/1,10.0.0.74/31|10.0.0.75/32
nodeid22_FastEthernet1/0,10.0.0.78/31|10.0.0.78/32
nodeid22_FastEthernet1/1,10.0.0.80/32|10.0.0.80/31
nodeid22_FastEthernet0/0,10.0.0.82/32|10.0.0.82/31
ip 10.0.0.74,128.0.0.0/24
nodeid24_FastEthernet0/1,10.0.0.79/32|10.0.0.78/31
nodeid24_FastEthernet0/0,10.0.0.84/31|10.0.0.84/32
nodeid26_FastEthernet0/0,10.0.0.57/32|10.0.0.56/31
nodeid26_FastEthernet0/1,10.0.0.88/32|10.0.0.88/31
nodeid27_FastEthernet0/0,10.0.0.3/32|10.0.0.2/31
nodeid27_FastEthernet1/0,10.0.0.19/32|10.0.0.18/31
nodeid27_FastEthernet0/1,10.0.0.40/31|10.0.0.41/32
nodeid28_FastEthernet0/1,10.0.0.90/32|10.0.0.90/31
nodeid28_FastEthernet0/0,10.0.0.92/32|10.0.0.92/31
nodeid28_FastEthernet1/0,10.0.0.94/32|10.0.0.94/31
nodeid29_FastEthernet0/0,10.0.0.51/32|10.0.0.50/31
nodeid29_FastEthernet1/0,10.0.0.96/31|10.0.0.96/32
nodeid29_FastEthernet0/1,10.0.0.98/32|10.0.0.98/31
nodeid31_FastEthernet0/0,10.0.0.55/32|10.0.0.54/31
nodeid31_FastEthernet0/1,10.0.0.89/32|10.0.0.88/31
