Equivalence_Class,Source,Destination
antigua_FastEthernet0/0,antigua,Guadeloupe
belize_FastEthernet0/0,belize,Mexico
bonaire_FastEthernet0/0,bonaire,Curacao
costattrica_FastEthernet1/0,costattrica,Panama
costattrica_FastEthernet0/0,costattrica,Nicaragua
curacao_FastEthernet1/1,curacao,Venezuela
curacao_FastEthernet0/0,curacao,Bonaire
dominica_FastEthernet0/0,dominica,Guadeloupe
dominica_FastEthernet0/1,dominica,Martinique
guadeloupe_FastEthernet0/0,guadeloupe,Antigua
guadeloupe_FastEthernet0/1,guadeloupe,Dominica
martinique_FastEthernet0/0,martinique,Dominica
mexico_FastEthernet0/0,mexico,Belize
nodeid1_FastEthernet0/0,nodeid1,Columbia
nodeid15_FastEthernet0/0,nodeid15,Mexico
nodeid22_FastEthernet0/1,nodeid22,Martinique
nodeid22_FastEthernet0/0,nodeid22,Barbados
nodeid24_FastEthernet0/0,nodeid24,Grenada
nodeid27_FastEthernet1/0,nodeid27,Panama
nodeid28_FastEthernet0/1,nodeid28,Guatemala
nodeid28_FastEthernet0/0,nodeid28,Belize
nodeid34_FastEthernet0/1,nodeid34,Panama
nodeid35_FastEthernet0/1,nodeid35,Suriname
nodeid35_FastEthernet0/0,nodeid35,Guyana
nodeid37_FastEthernet0/0,nodeid37,Ecuador
nodeid38_FastEthernet0/0,nodeid38,Columbia
nodeid39_FastEthernet0/1,nodeid39,Jamaica
nodeid41_FastEthernet0/0,nodeid41,Jamaica
nodeid45_FastEthernet0/0,nodeid45,Bahamas
nodeid59_FastEthernet0/0,nodeid59,Bahamas
nodeid60_FastEthernet0/0,nodeid60,Honduras
nodeid63_FastEthernet0/1,nodeid63,Guatemala
nodeid67_FastEthernet0/0,nodeid67,Honduras
nodeid69_FastEthernet0/0,nodeid69,Nicaragua
nodeid7_FastEthernet0/1,nodeid7,Venezuela
peermartinique_0_FastEthernet0/0,peermartinique,Martinique
puertottrico_FastEthernet0/0,puertottrico,Curacao
stttvincent_FastEthernet0/0,stttvincent,Curacao
trinidadttandtttobago_FastEthernet0/0,trinidadttandtttobago,Grenada
venezuela_FastEthernet0/0,venezuela,Curacao
