,"""stttkittstt&ttnevis""",Antigua,Bahamas,Barbados,Belize,Bonaire,Caymanttislands,Columbia,Costattrica,Curacao,Dominica,Dominicanttrepublic,Ecuador,Elttsalvador,Grenada,Guadeloupe,Guatemala,Guyana,Honduras,Jamaica,Martinique,Mexico,Nicaragua,Nodeid0,Nodeid1,Nodeid13,Nodeid14,Nodeid15,Nodeid17,Nodeid22,Nodeid24,Nodeid26,Nodeid27,Nodeid28,Nodeid29,Nodeid31,Nodeid32,Nodeid33,Nodeid34,Nodeid35,Nodeid37,Nodeid38,Nodeid39,Nodeid41,Nodeid44,Nodeid45,Nodeid46,Nodeid49,Nodeid50,Nodeid56,Nodeid58,Nodeid59,Nodeid60,Nodeid62,Nodeid63,Nodeid67,Nodeid69,Nodeid7,Nodeid8,Nodeid9,Panama,Peermartinique_0,Puertottrico,Stttcroix,Stttkittstt&ttnevis,Stttmartin,Stttvincent,Suriname,Trinidadttandtttobago,Turksttandttcaicos,Usa,Venezuela,d_in,d_out,CB,EC
"""stttkittstt&ttnevis""",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,[]
Antigua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0.0003,"[{'Next_Hop': 'antigua_FastEthernet0/0', 'Networks': '10.0.0.64/32|10.0.0.64/31'}, {'Next_Hop': 'antigua_FastEthernet0/1', 'Networks': '10.0.0.66/32|10.0.0.66/31'}]"
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0102,"[{'Next_Hop': 'bahamas_FastEthernet0/1', 'Networks': '10.0.0.100/32|10.0.0.100/31'}, {'Next_Hop': 'bahamas_FastEthernet0/0', 'Networks': '10.0.0.102/32|10.0.0.102/31'}]"
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'barbados_FastEthernet0/0', 'Networks': '10.0.0.83/32|10.0.0.82/31'}]"
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0156,"[{'Next_Hop': 'belize_FastEthernet0/0', 'Networks': '10.0.0.46/31|10.0.0.47/32'}, {'Next_Hop': 'belize_FastEthernet0/1', 'Networks': '10.0.0.93/32|10.0.0.92/31'}]"
Bonaire,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'bonaire_FastEthernet0/0', 'Networks': '10.0.0.29/32|10.0.0.28/31'}]"
Caymanttislands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'caymanttislands_FastEthernet0/0', 'Networks': '10.0.0.136/32|10.0.0.136/31'}]"
Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0997,"[{'Next_Hop': 'columbia_FastEthernet0/0', 'Networks': '10.0.0.8/31|10.0.0.9/32'}, {'Next_Hop': 'columbia_FastEthernet0/1', 'Networks': '10.0.0.32/31|10.0.0.32/32'}]"
Costattrica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0695,"[{'Next_Hop': 'costattrica_FastEthernet0/1', 'Networks': '10.0.0.12/31|10.0.0.12/32'}, {'Next_Hop': 'costattrica_FastEthernet1/0', 'Networks': '10.0.0.14/32|10.0.0.14/31'}, {'Next_Hop': 'costattrica_FastEthernet0/0', 'Networks': '10.0.0.16/31|10.0.0.16/32'}]"
Curacao,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4,4,0.3278,"[{'Next_Hop': 'curacao_FastEthernet1/1', 'Networks': '10.0.0.23/32|10.0.0.22/31'}, {'Next_Hop': 'curacao_FastEthernet0/1', 'Networks': '10.0.0.26/31|10.0.0.26/32'}, {'Next_Hop': 'curacao_FastEthernet0/0', 'Networks': '10.0.0.28/32|10.0.0.28/31'}, {'Next_Hop': 'curacao_FastEthernet1/0', 'Networks': '10.0.0.30/32|10.0.0.30/31'}]"
