Device,Interface,IP Address,Subnet Mask,Description
hbottbodo,FastEthernet0/0,10.0.0.83,/31,"""To HiHTTHarstad"""
hbottbodo,FastEthernet0/1,10.0.0.75,/31,"""To HiNTTNarvik"""
hbottbodo,FastEthernet1/0,10.0.0.127,/31,"""To HiNeTTSandnesjoen"""
hbottbodo,FastEthernet1/1,10.0.0.59,/31,"""To NBTTMoTTiTTRana"""
hbottmottittrana,FastEthernet0/0,10.0.0.51,/31,"""To NBTTMoTTiTTRana"""
hhttelverum,FastEthernet0/0,10.0.0.179,/31,"""To HHTTHamar"""
hhttelverum,FastEthernet0/1,10.0.0.192,/31,"""To HHTTKongsvinger"""
hhttelverum,FastEthernet1/0,10.0.0.191,/31,"""To HHTTRena"""
hhttevenstad,FastEthernet0/0,10.0.0.176,/31,"""To HHTTRena"""
hhttevenstad,FastEthernet0/1,10.0.0.174,/31,"""To HHTTTynset"""
hhtthamar,FastEthernet0/0,10.0.0.178,/31,"""To HHTTElverum"""
hhtthamar,FastEthernet0/1,10.0.0.180,/31,"""To HiLTTLillehammer"""
hhttkongsvinger,FastEthernet0/0,10.0.0.193,/31,"""To HHTTElverum"""
hhttkongsvinger,FastEthernet0/1,10.0.0.5,/31,"""To UiO"""
hhttrena,FastEthernet0/0,10.0.0.190,/31,"""To HHTTElverum"""
hhttrena,FastEthernet0/1,10.0.0.177,/31,"""To HHTTEvenstad"""
hhtttynset,FastEthernet0/0,10.0.0.175,/31,"""To HHTTEvenstad"""
hhtttynset,FastEthernet0/1,10.0.0.189,/31,"""To UNINETTTTTeknobyen"""
hiakttkjeller,FastEthernet0/0,10.0.0.49,/31,"""To HiBuTTHonefoss"""
hiakttkjeller,FastEthernet0/1,10.0.0.47,/31,"""To UNIKTTKjeller"""
hiattalesund,FastEthernet0/0,10.0.0.98,/31,"""To HSMTTMolde"""
hiattalesund,FastEthernet0/1,10.0.0.92,/31,"""To HVOTTVolda"""
hiattalesund,FastEthernet1/0,10.0.0.94,/31,"""To NTNUTTHovedbygget"""
hiattalesund,FastEthernet1/1,10.0.0.96,/31,"""To UiBTTHoyteklogibygget"""
hibuttdrammen,FastEthernet0/0,10.0.0.42,/31,"""To HVETTBorre"""
hibuttdrammen,FastEthernet0/1,10.0.0.39,/31,"""To HiBUTTKongsberg"""
hibuttdrammen,FastEthernet1/0,10.0.0.44,/31,"""To HiTTTBo"""
hibuttdrammen,FastEthernet1/1,10.0.0.29,/31,"""To UiOTTStTTOlavsplassTT5"""
hibutthonefoss,FastEthernet0/0,10.0.0.48,/31,"""To HiAKTTKjeller"""
hibutthonefoss,FastEthernet0/1,10.0.0.41,/31,"""To HiBUTTKongsberg"""
hibuttkongsberg,FastEthernet0/0,10.0.0.38,/31,"""To HiBUTTDrammen"""
hibuttkongsberg,FastEthernet0/1,10.0.0.40,/31,"""To HiBuTTHonefoss"""
hifttalta,FastEthernet0/0,10.0.0.153,/31,"""To HiFTTHammerfest"""
hifttalta,FastEthernet0/1,10.0.0.137,/31,"""To SA_SHTTKautokeino"""
hifttalta,FastEthernet1/0,10.0.0.157,/31,"""To UiToID43"""
hiftthammerfest,FastEthernet0/0,10.0.0.152,/31,"""To HiFTTAlta"""
hiftthammerfest,FastEthernet0/1,10.0.0.154,/31,"""To HiFTTVadso"""
hiftthammerfest,FastEthernet1/0,10.0.0.89,/31,"""To UiTo"""
hifttkirkenes,FastEthernet0/0,10.0.0.138,/31,"""To HiFTTVadso"""
hifttkirkenes,FastEthernet0/1,10.0.0.87,/31,"""To UiToTTKarasjok"""
hifttvadso,FastEthernet0/0,10.0.0.155,/31,"""To HiFTTHammerfest"""
hifttvadso,FastEthernet0/1,10.0.0.139,/31,"""To HiFTTKirkenes"""
higttgjovik,FastEthernet0/0,10.0.0.26,/31,"""To HiLTTLillehammer"""
higttgjovik,FastEthernet0/1,10.0.0.24,/31,"""To UiOTTStTTOlavsplassTT5"""
hihttharstad,FastEthernet0/0,10.0.0.82,/31,"""To HBOTTBodo"""
hihttharstad,FastEthernet0/1,10.0.0.73,/31,"""To HiNTTNarvik"""
hihttharstad,FastEthernet1/0,10.0.0.78,/31,"""To UNISTTSvalbard"""
hihttharstad,FastEthernet1/1,10.0.0.80,/31,"""To UiToID43"""
hilttlillehammer,FastEthernet0/0,10.0.0.181,/31,"""To HHTTHamar"""
hilttlillehammer,FastEthernet0/1,10.0.0.27,/31,"""To HiGTTGjovik"""
hinettmottittrana,FastEthernet0/0,10.0.0.55,/31,"""To NBTTMoTTiTTRana"""
