Node,Network,Next_Hop,Protocol
hbottbodo,10.0.0.58/31,FastEthernet1/1,connected
hbottbodo,10.0.0.59/32,FastEthernet1/1,local
hbottbodo,10.0.0.74/31,FastEthernet0/1,connected
hbottbodo,10.0.0.75/32,FastEthernet0/1,local
hbottbodo,10.0.0.82/31,FastEthernet0/0,connected
hbottbodo,10.0.0.83/32,FastEthernet0/0,local
hbottbodo,10.0.0.126/31,FastEthernet1/0,connected
hbottbodo,10.0.0.127/32,FastEthernet1/0,local
hbottmottittrana,10.0.0.50/31,FastEthernet0/0,connected
hbottmottittrana,10.0.0.51/32,FastEthernet0/0,local
hhttelverum,10.0.0.178/31,FastEthernet0/0,connected
hhttelverum,10.0.0.179/32,FastEthernet0/0,local
hhttelverum,10.0.0.190/31,FastEthernet1/0,connected
hhttelverum,10.0.0.191/32,FastEthernet1/0,local
hhttelverum,10.0.0.192/31,FastEthernet0/1,connected
hhttelverum,10.0.0.192/32,FastEthernet0/1,local
hhttevenstad,10.0.0.174/31,FastEthernet0/1,connected
hhttevenstad,10.0.0.174/32,FastEthernet0/1,local
hhttevenstad,10.0.0.176/31,FastEthernet0/0,connected
hhttevenstad,10.0.0.176/32,FastEthernet0/0,local
hhtthamar,10.0.0.178/31,FastEthernet0/0,connected
hhtthamar,10.0.0.178/32,FastEthernet0/0,local
hhtthamar,10.0.0.180/31,FastEthernet0/1,connected
hhtthamar,10.0.0.180/32,FastEthernet0/1,local
hhttkongsvinger,10.0.0.4/31,FastEthernet0/1,connected
hhttkongsvinger,10.0.0.5/32,FastEthernet0/1,local
hhttkongsvinger,10.0.0.192/31,FastEthernet0/0,connected
hhttkongsvinger,10.0.0.193/32,FastEthernet0/0,local
hhttrena,10.0.0.176/31,FastEthernet0/1,connected
hhttrena,10.0.0.177/32,FastEthernet0/1,local
hhttrena,10.0.0.190/31,FastEthernet0/0,connected
hhttrena,10.0.0.190/32,FastEthernet0/0,local
hhtttynset,10.0.0.174/31,FastEthernet0/0,connected
hhtttynset,10.0.0.175/32,FastEthernet0/0,local
hhtttynset,10.0.0.188/31,FastEthernet0/1,connected
hhtttynset,10.0.0.189/32,FastEthernet0/1,local
hiakttkjeller,10.0.0.46/31,FastEthernet0/1,connected
hiakttkjeller,10.0.0.47/32,FastEthernet0/1,local
hiakttkjeller,10.0.0.48/31,FastEthernet0/0,connected
hiakttkjeller,10.0.0.49/32,FastEthernet0/0,local
hiattalesund,10.0.0.92/31,FastEthernet0/1,connected
hiattalesund,10.0.0.92/32,FastEthernet0/1,local
hiattalesund,10.0.0.94/31,FastEthernet1/0,connected
hiattalesund,10.0.0.94/32,FastEthernet1/0,local
hiattalesund,10.0.0.96/31,FastEthernet1/1,connected
hiattalesund,10.0.0.96/32,FastEthernet1/1,local
hiattalesund,10.0.0.98/31,FastEthernet0/0,connected
hiattalesund,10.0.0.98/32,FastEthernet0/0,local
hibuttdrammen,10.0.0.28/31,FastEthernet1/1,connected
hibuttdrammen,10.0.0.29/32,FastEthernet1/1,local
hibuttdrammen,10.0.0.38/31,FastEthernet0/1,connected
hibuttdrammen,10.0.0.39/32,FastEthernet0/1,local
hibuttdrammen,10.0.0.42/31,FastEthernet0/0,connected
hibuttdrammen,10.0.0.42/32,FastEthernet0/0,local
hibuttdrammen,10.0.0.44/31,FastEthernet1/0,connected
hibuttdrammen,10.0.0.44/32,FastEthernet1/0,local
hibutthonefoss,10.0.0.40/31,FastEthernet0/1,connected
hibutthonefoss,10.0.0.41/32,FastEthernet0/1,local
hibutthonefoss,10.0.0.48/31,FastEthernet0/0,connected
hibutthonefoss,10.0.0.48/32,FastEthernet0/0,local
hibuttkongsberg,10.0.0.38/31,FastEthernet0/0,connected
hibuttkongsberg,10.0.0.38/32,FastEthernet0/0,local
hibuttkongsberg,10.0.0.40/31,FastEthernet0/1,connected
hibuttkongsberg,10.0.0.40/32,FastEthernet0/1,local
hifttalta,10.0.0.136/31,FastEthernet0/1,connected
hifttalta,10.0.0.137/32,FastEthernet0/1,local
hifttalta,10.0.0.152/31,FastEthernet0/0,connected
hifttalta,10.0.0.153/32,FastEthernet0/0,local
hifttalta,10.0.0.156/31,FastEthernet1/0,connected
hifttalta,10.0.0.157/32,FastEthernet1/0,local
hiftthammerfest,10.0.0.88/31,FastEthernet1/0,connected
hiftthammerfest,10.0.0.89/32,FastEthernet1/0,local
hiftthammerfest,10.0.0.152/31,FastEthernet0/0,connected
hiftthammerfest,10.0.0.152/32,FastEthernet0/0,local
hiftthammerfest,10.0.0.154/31,FastEthernet0/1,connected
hiftthammerfest,10.0.0.154/32,FastEthernet0/1,local
hifttkirkenes,10.0.0.86/31,FastEthernet0/1,connected
hifttkirkenes,10.0.0.87/32,FastEthernet0/1,local
hifttkirkenes,10.0.0.138/31,FastEthernet0/0,connected
hifttkirkenes,10.0.0.138/32,FastEthernet0/0,local
hifttvadso,10.0.0.138/31,FastEthernet0/1,connected
hifttvadso,10.0.0.139/32,FastEthernet0/1,local
hifttvadso,10.0.0.154/31,FastEthernet0/0,connected
hifttvadso,10.0.0.155/32,FastEthernet0/0,local
higttgjovik,10.0.0.24/31,FastEthernet0/1,connected
higttgjovik,10.0.0.24/32,FastEthernet0/1,local
higttgjovik,10.0.0.26/31,FastEthernet0/0,connected
higttgjovik,10.0.0.26/32,FastEthernet0/0,local
hihttharstad,10.0.0.72/31,FastEthernet0/1,connected
hihttharstad,10.0.0.73/32,FastEthernet0/1,local
hihttharstad,10.0.0.78/31,FastEthernet1/0,connected
hihttharstad,10.0.0.78/32,FastEthernet1/0,local
hihttharstad,10.0.0.80/31,FastEthernet1/1,connected
hihttharstad,10.0.0.80/32,FastEthernet1/1,local
hihttharstad,10.0.0.82/31,FastEthernet0/0,connected
hihttharstad,10.0.0.82/32,FastEthernet0/0,local
hilttlillehammer,10.0.0.26/31,FastEthernet0/1,connected
hilttlillehammer,10.0.0.27/32,FastEthernet0/1,local
hilttlillehammer,10.0.0.180/31,FastEthernet0/0,connected
hilttlillehammer,10.0.0.181/32,FastEthernet0/0,local
hinettmottittrana,10.0.0.54/31,FastEthernet0/0,connected
hinettmottittrana,10.0.0.55/32,FastEthernet0/0,local
hinettnesna,10.0.0.56/31,FastEthernet0/1,connected
hinettnesna,10.0.0.57/32,FastEthernet0/1,local
hinettnesna,10.0.0.62/31,FastEthernet0/0,connected
hinettnesna,10.0.0.62/32,FastEthernet0/0,local
