Interface,Access_VLAN,Active,Admin_Up,All_Prefixes,Allowed_VLANs,Auto_State_VLAN,Bandwidth,Blacklisted,Channel_Group,Channel_Group_Members,DHCP_Relay_Addresses,Declared_Names,Description,Encapsulation_VLAN,HSRP_Groups,HSRP_Version,Inactive_Reason,Incoming_Filter_Name,MLAG_ID,MTU,Native_VLAN,Outgoing_Filter_Name,PBR_Policy_Name,Primary_Address,Primary_Network,Proxy_ARP,Rip_Enabled,Rip_Passive,Spanning_Tree_Portfast,Speed,Switchport,Switchport_Mode,Switchport_Trunk_Encapsulation,VRF,VRRP_Groups,Zone_Name
hbottbodo[FastEthernet0/0],,True,True,['10.0.0.83/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To HiHTTHarstad""",,[],,,,,1500,,,,10.0.0.83/31,10.0.0.82/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hbottbodo[FastEthernet0/1],,True,True,['10.0.0.75/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To HiNTTNarvik""",,[],,,,,1500,,,,10.0.0.75/31,10.0.0.74/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hbottbodo[FastEthernet1/0],,True,True,['10.0.0.127/31'],,True,100000000.0,False,,[],[],['Fa1/0'],"""To HiNeTTSandnesjoen""",,[],,,,,1500,,,,10.0.0.127/31,10.0.0.126/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hbottbodo[FastEthernet1/1],,True,True,['10.0.0.59/31'],,True,100000000.0,False,,[],[],['Fa1/1'],"""To NBTTMoTTiTTRana""",,[],,,,,1500,,,,10.0.0.59/31,10.0.0.58/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hbottmottittrana[FastEthernet0/0],,True,True,['10.0.0.51/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To NBTTMoTTiTTRana""",,[],,,,,1500,,,,10.0.0.51/31,10.0.0.50/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hhttelverum[FastEthernet0/0],,True,True,['10.0.0.179/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To HHTTHamar""",,[],,,,,1500,,,,10.0.0.179/31,10.0.0.178/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hhttelverum[FastEthernet0/1],,True,True,['10.0.0.192/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To HHTTKongsvinger""",,[],,,,,1500,,,,10.0.0.192/31,10.0.0.192/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hhttelverum[FastEthernet1/0],,True,True,['10.0.0.191/31'],,True,100000000.0,False,,[],[],['Fa1/0'],"""To HHTTRena""",,[],,,,,1500,,,,10.0.0.191/31,10.0.0.190/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hhttevenstad[FastEthernet0/0],,True,True,['10.0.0.176/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To HHTTRena""",,[],,,,,1500,,,,10.0.0.176/31,10.0.0.176/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hhttevenstad[FastEthernet0/1],,True,True,['10.0.0.174/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To HHTTTynset""",,[],,,,,1500,,,,10.0.0.174/31,10.0.0.174/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hhtthamar[FastEthernet0/0],,True,True,['10.0.0.178/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To HHTTElverum""",,[],,,,,1500,,,,10.0.0.178/31,10.0.0.178/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hhtthamar[FastEthernet0/1],,True,True,['10.0.0.180/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To HiLTTLillehammer""",,[],,,,,1500,,,,10.0.0.180/31,10.0.0.180/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hhttkongsvinger[FastEthernet0/0],,True,True,['10.0.0.193/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To HHTTElverum""",,[],,,,,1500,,,,10.0.0.193/31,10.0.0.192/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hhttkongsvinger[FastEthernet0/1],,True,True,['10.0.0.5/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To UiO""",,[],,,,,1500,,,,10.0.0.5/31,10.0.0.4/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hhttrena[FastEthernet0/0],,True,True,['10.0.0.190/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To HHTTElverum""",,[],,,,,1500,,,,10.0.0.190/31,10.0.0.190/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hhttrena[FastEthernet0/1],,True,True,['10.0.0.177/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To HHTTEvenstad""",,[],,,,,1500,,,,10.0.0.177/31,10.0.0.176/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hhtttynset[FastEthernet0/0],,True,True,['10.0.0.175/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To HHTTEvenstad""",,[],,,,,1500,,,,10.0.0.175/31,10.0.0.174/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hhtttynset[FastEthernet0/1],,True,True,['10.0.0.189/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To UNINETTTTTeknobyen""",,[],,,,,1500,,,,10.0.0.189/31,10.0.0.188/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hiakttkjeller[FastEthernet0/0],,True,True,['10.0.0.49/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To HiBuTTHonefoss""",,[],,,,,1500,,,,10.0.0.49/31,10.0.0.48/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hiakttkjeller[FastEthernet0/1],,True,True,['10.0.0.47/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To UNIKTTKjeller""",,[],,,,,1500,,,,10.0.0.47/31,10.0.0.46/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hiattalesund[FastEthernet0/0],,True,True,['10.0.0.98/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To HSMTTMolde""",,[],,,,,1500,,,,10.0.0.98/31,10.0.0.98/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hiattalesund[FastEthernet0/1],,True,True,['10.0.0.92/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To HVOTTVolda""",,[],,,,,1500,,,,10.0.0.92/31,10.0.0.92/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hiattalesund[FastEthernet1/0],,True,True,['10.0.0.94/31'],,True,100000000.0,False,,[],[],['Fa1/0'],"""To NTNUTTHovedbygget""",,[],,,,,1500,,,,10.0.0.94/31,10.0.0.94/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hiattalesund[FastEthernet1/1],,True,True,['10.0.0.96/31'],,True,100000000.0,False,,[],[],['Fa1/1'],"""To UiBTTHoyteklogibygget""",,[],,,,,1500,,,,10.0.0.96/31,10.0.0.96/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
hibuttdrammen[FastEthernet0/0],,True,True,['10.0.0.42/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To HVETTBorre""",,[],,,,,1500,,,,10.0.0.42/31,10.0.0.42/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
