Next_Hop,Networks
hbottbodo_FastEthernet1/1,10.0.0.59/32|10.0.0.58/31
hbottbodo_FastEthernet0/1,10.0.0.75/32|10.0.0.74/31
hbottbodo_FastEthernet0/0,10.0.0.83/32|10.0.0.82/31
hbottbodo_FastEthernet1/0,10.0.0.126/31|10.0.0.127/32
hbottmottittrana_FastEthernet0/0,10.0.0.51/32|10.0.0.50/31
hhttelverum_FastEthernet0/0,10.0.0.178/31|10.0.0.179/32
hhttelverum_FastEthernet1/0,10.0.0.190/31|10.0.0.191/32
hhttelverum_FastEthernet0/1,10.0.0.192/31|10.0.0.192/32
hhttevenstad_FastEthernet0/1,10.0.0.174/31|10.0.0.174/32
hhttevenstad_FastEthernet0/0,10.0.0.176/31|10.0.0.176/32
hhtthamar_FastEthernet0/0,10.0.0.178/31|10.0.0.178/32
hhtthamar_FastEthernet0/1,10.0.0.180/31|10.0.0.180/32
hhttkongsvinger_FastEthernet0/1,10.0.0.5/32|10.0.0.4/31
hhttkongsvinger_FastEthernet0/0,10.0.0.192/31|10.0.0.193/32
hhttrena_FastEthernet0/1,10.0.0.176/31|10.0.0.177/32
hhttrena_FastEthernet0/0,10.0.0.190/32|10.0.0.190/31
hhtttynset_FastEthernet0/0,10.0.0.174/31|10.0.0.175/32
hhtttynset_FastEthernet0/1,10.0.0.188/31|10.0.0.189/32
hiakttkjeller_FastEthernet0/1,10.0.0.46/31|10.0.0.47/32
hiakttkjeller_FastEthernet0/0,10.0.0.49/32|10.0.0.48/31
hiattalesund_FastEthernet0/1,10.0.0.92/32|10.0.0.92/31
hiattalesund_FastEthernet1/0,10.0.0.94/31|10.0.0.94/32
hiattalesund_FastEthernet1/1,10.0.0.96/32|10.0.0.96/31
hiattalesund_FastEthernet0/0,10.0.0.98/32|10.0.0.98/31
hibuttdrammen_FastEthernet1/1,10.0.0.29/32|10.0.0.28/31
hibuttdrammen_FastEthernet0/1,10.0.0.39/32|10.0.0.38/31
hibuttdrammen_FastEthernet0/0,10.0.0.42/31|10.0.0.42/32
hibuttdrammen_FastEthernet1/0,10.0.0.44/32|10.0.0.44/31
hibutthonefoss_FastEthernet0/1,10.0.0.40/31|10.0.0.41/32
hibutthonefoss_FastEthernet0/0,10.0.0.48/32|10.0.0.48/31
hibuttkongsberg_FastEthernet0/0,10.0.0.38/32|10.0.0.38/31
hibuttkongsberg_FastEthernet0/1,10.0.0.40/31|10.0.0.40/32
hifttalta_FastEthernet0/1,10.0.0.136/31|10.0.0.137/32
hifttalta_FastEthernet0/0,10.0.0.153/32|10.0.0.152/31
hifttalta_FastEthernet1/0,10.0.0.156/31|10.0.0.157/32
hiftthammerfest_FastEthernet1/0,10.0.0.89/32|10.0.0.88/31
hiftthammerfest_FastEthernet0/0,10.0.0.152/31|10.0.0.152/32
hiftthammerfest_FastEthernet0/1,10.0.0.154/31|10.0.0.154/32
hifttkirkenes_FastEthernet0/1,10.0.0.87/32|10.0.0.86/31
hifttkirkenes_FastEthernet0/0,10.0.0.138/32|10.0.0.138/31
hifttvadso_FastEthernet0/1,10.0.0.138/31|10.0.0.139/32
hifttvadso_FastEthernet0/0,10.0.0.155/32|10.0.0.154/31
higttgjovik_FastEthernet0/1,10.0.0.24/31|10.0.0.24/32
higttgjovik_FastEthernet0/0,10.0.0.26/31|10.0.0.26/32
hihttharstad_FastEthernet0/1,10.0.0.72/31|10.0.0.73/32
hihttharstad_FastEthernet1/0,10.0.0.78/31|10.0.0.78/32
hihttharstad_FastEthernet1/1,10.0.0.80/32|10.0.0.80/31
hihttharstad_FastEthernet0/0,10.0.0.82/31|10.0.0.82/32
hilttlillehammer_FastEthernet0/1,10.0.0.26/31|10.0.0.27/32
hilttlillehammer_FastEthernet0/0,10.0.0.181/32|10.0.0.180/31
hinettmottittrana_FastEthernet0/0,10.0.0.54/31|10.0.0.55/32
hinettnesna_FastEthernet0/1,10.0.0.57/32|10.0.0.56/31
hinettnesna_FastEthernet0/0,10.0.0.62/31|10.0.0.62/32
hinettsandnesjoen_FastEthernet0/1,10.0.0.62/31|10.0.0.63/32
hinettsandnesjoen_FastEthernet1/0,10.0.0.124/32|10.0.0.124/31
hinettsandnesjoen_FastEthernet0/0,10.0.0.126/31|10.0.0.126/32
hingttstjordal_FastEthernet0/0,10.0.0.142/31|10.0.0.142/32
hingttstjordal_FastEthernet0/1,10.0.0.144/32|10.0.0.144/31
hingttstjordal_FastEthernet1/0,10.0.0.146/32|10.0.0.146/31
ip 10.0.0.147,128.0.0.0/24
hinttnarvik_FastEthernet1/1,10.0.0.68/32|10.0.0.68/31
hinttnarvik_FastEthernet1/0,10.0.0.70/31|10.0.0.70/32
hinttnarvik_FastEthernet0/1,10.0.0.72/31|10.0.0.72/32
hinttnarvik_FastEthernet0/0,10.0.0.74/32|10.0.0.74/31
hinttnarvik_FastEthernet2/0,10.0.0.76/32|10.0.0.76/31
hintttlevanger_FastEthernet0/0,10.0.0.128/31|10.0.0.129/32
hintttlevanger_FastEthernet0/1,10.0.0.142/31|10.0.0.143/32
ip 10.0.0.142,128.0.0.0/24
hintttnamsos_FastEthernet0/1,10.0.0.52/31|10.0.0.53/32
hintttnamsos_FastEthernet0/0,10.0.0.131/32|10.0.0.130/31
hintttsteinkjer_FastEthernet0/0,10.0.0.128/32|10.0.0.128/31
hintttsteinkjer_FastEthernet0/1,10.0.0.130/32|10.0.0.130/31
hintttsteinkjer_FastEthernet1/0,10.0.0.132/31|10.0.0.132/32
ip 10.0.0.133,128.0.0.0/24
hiottfredrikstad_FastEthernet0/0,10.0.0.65/32|10.0.0.64/31
hiottfredrikstad_FastEthernet0/1,10.0.0.164/31|10.0.0.165/32
hiottfredrikstad_FastEthernet1/0,10.0.0.166/31|10.0.0.167/32
hiotthalden_FastEthernet0/1,10.0.0.18/31|10.0.0.19/32
hiotthalden_FastEthernet0/0,10.0.0.164/31|10.0.0.164/32
hitttbo_FastEthernet2/0,10.0.0.8/31|10.0.0.9/32
hitttbo_FastEthernet0/0,10.0.0.45/32|10.0.0.44/31
hitttbo_FastEthernet1/1,10.0.0.169/32|10.0.0.168/31
hitttbo_FastEthernet1/0,10.0.0.171/32|10.0.0.170/31
hitttbo_FastEthernet0/1,10.0.0.172/32|10.0.0.172/31
hitttnotodden_FastEthernet0/0,10.0.0.172/31|10.0.0.173/32
hitttporsgrunn_FastEthernet0/1,10.0.0.163/32|10.0.0.162/31
hitttporsgrunn_FastEthernet0/0,10.0.0.170/32|10.0.0.170/31
hitttrauland_FastEthernet0/0,10.0.0.168/32|10.0.0.168/31
hsfttforde_FastEthernet1/0,10.0.0.100/31|10.0.0.101/32
hsfttforde_FastEthernet0/1,10.0.0.121/32|10.0.0.120/31
hsfttforde_FastEthernet0/0,10.0.0.122/31|10.0.0.122/32
hsfttsandane_FastEthernet0/0,10.0.0.123/32|10.0.0.122/31
hsfttsongdal_FastEthernet0/1,10.0.0.117/32|10.0.0.116/31
hsfttsongdal_FastEthernet0/0,10.0.0.120/32|10.0.0.120/31
hshtthaugesund_FastEthernet0/1,10.0.0.104/31|10.0.0.105/32
hshtthaugesund_FastEthernet0/0,10.0.0.110/32|10.0.0.110/31
hshttstord_FastEthernet0/0,10.0.0.111/32|10.0.0.110/31
hshttstord_FastEthernet0/1,10.0.0.112/31|10.0.0.112/32
hsmttkristiansun_FastEthernet0/0,10.0.0.149/32|10.0.0.148/31
hsmttkristiansun_FastEthernet0/1,10.0.0.150/32|10.0.0.150/31
hsmttmolde_FastEthernet0/1,10.0.0.98/31|10.0.0.99/32
hsmttmolde_FastEthernet0/0,10.0.0.148/32|10.0.0.148/31
hvettborre_FastEthernet0/1,10.0.0.42/31|10.0.0.43/32
hvettborre_FastEthernet1/0,10.0.0.64/32|10.0.0.64/31
hvettborre_FastEthernet0/0,10.0.0.66/31|10.0.0.66/32
hvettlarvik_FastEthernet0/0,10.0.0.66/31|10.0.0.67/32
hvottvolda_FastEthernet0/1,10.0.0.92/31|10.0.0.93/32
hvottvolda_FastEthernet0/0,10.0.0.100/31|10.0.0.100/32
nbttmottittrana_FastEthernet0/1,10.0.0.50/32|10.0.0.50/31
nbttmottittrana_FastEthernet1/0,10.0.0.52/31|10.0.0.52/32
nbttmottittrana_FastEthernet1/1,10.0.0.54/31|10.0.0.54/32
nbttmottittrana_FastEthernet2/0,10.0.0.56/32|10.0.0.56/31
nbttmottittrana_FastEthernet0/0,10.0.0.58/31|10.0.0.58/32
nbttmottittrana_FastEthernet2/1,10.0.0.60/32|10.0.0.60/31
nordunetttkobenhavn_FastEthernet0/0,10.0.0.31/32|10.0.0.30/31
nordunetttstockholm_FastEthernet0/0,10.0.0.134/32|10.0.0.134/31
nordunetttstockholmid58_FastEthernet0/0,10.0.0.20/31|10.0.0.21/32
ntnutthovedbygget_FastEthernet3/1,10.0.0.37/32|10.0.0.36/31
ntnutthovedbygget_FastEthernet0/1,10.0.0.70/31|10.0.0.71/32
ntnutthovedbygget_FastEthernet0/0,10.0.0.94/31|10.0.0.95/32
ntnutthovedbygget_FastEthernet3/0,10.0.0.119/32|10.0.0.118/31
ntnutthovedbygget_FastEthernet1/1,10.0.0.125/32|10.0.0.124/31
ntnutthovedbygget_FastEthernet1/0,10.0.0.133/32|10.0.0.132/31
ntnutthovedbygget_FastEthernet2/0,10.0.0.182/32|10.0.0.182/31
ntnutthovedbygget_FastEthernet2/1,10.0.0.184/32|10.0.0.184/31
ip 10.0.0.183,128.0.0.0/24
ntnuttrealfagbygget_FastEthernet2/0,10.0.0.22/31|10.0.0.23/32
ntnuttrealfagbygget_FastEthernet0/1,10.0.0.61/32|10.0.0.60/31
ntnuttrealfagbygget_FastEthernet0/0,10.0.0.145/32|10.0.0.144/31
ntnuttrealfagbygget_FastEthernet2/1,10.0.0.158/31|10.0.0.159/32
ntnuttrealfagbygget_FastEthernet1/0,10.0.0.183/32|10.0.0.182/31
ntnuttrealfagbygget_FastEthernet1/1,10.0.0.186/31|10.0.0.186/32
ip 10.0.0.144,128.0.0.0/24
nyalesund_FastEthernet0/0,10.0.0.140/31|10.0.0.140/32
peerhingttstjordal_0_FastEthernet0/0,10.0.0.146/31|10.0.0.147/32
peerhingttstjordal_0_Loopback0,128.0.0.1/32|128.0.0.0/24
sa_shttkautokeino_FastEthernet0/1,10.0.0.85/32|10.0.0.84/31
sa_shttkautokeino_FastEthernet0/0,10.0.0.136/31|10.0.0.136/32
stockholm_FastEthernet1/0,10.0.0.13/32|10.0.0.12/31
stockholm_FastEthernet0/0,10.0.0.69/32|10.0.0.68/31
stockholm_FastEthernet0/1,10.0.0.135/32|10.0.0.134/31
uiattgrimstad_FastEthernet0/1,10.0.0.161/32|10.0.0.160/31
uiattgrimstad_FastEthernet0/0,10.0.0.162/32|10.0.0.162/31
uiattkristiansand_FastEthernet0/1,10.0.0.33/32|10.0.0.32/31
uiattkristiansand_FastEthernet1/0,10.0.0.106/31|10.0.0.107/32
uiattkristiansand_FastEthernet0/0,10.0.0.160/32|10.0.0.160/31
uibttbt_FastEthernet0/1,10.0.0.10/31|10.0.0.11/32
uibttbt_FastEthernet1/0,10.0.0.108/31|10.0.0.109/32
uibttbt_FastEthernet0/0,10.0.0.114/31|10.0.0.115/32
uibtthoyteklogibygget_FastEthernet2/1,10.0.0.35/32|10.0.0.34/31
uibtthoyteklogibygget_FastEthernet1/0,10.0.0.97/32|10.0.0.96/31
uibtthoyteklogibygget_FastEthernet0/1,10.0.0.112/31|10.0.0.113/32
uibtthoyteklogibygget_FastEthernet2/0,10.0.0.114/31|10.0.0.114/32
uibtthoyteklogibygget_FastEthernet0/0,10.0.0.116/32|10.0.0.116/31
uibtthoyteklogibygget_FastEthernet1/1,10.0.0.118/32|10.0.0.118/31
uio_FastEthernet2/0,10.0.0.0/32|10.0.0.0/31
uio_FastEthernet2/1,10.0.0.2/31|10.0.0.2/32
uio_FastEthernet0/0,10.0.0.4/31|10.0.0.4/32
uio_FastEthernet1/0,10.0.0.6/31|10.0.0.6/32
uio_FastEthernet0/1,10.0.0.8/32|10.0.0.8/31
uio_FastEthernet1/1,10.0.0.10/31|10.0.0.10/32
uioid1_FastEthernet2/1,10.0.0.0/31|10.0.0.1/32
uioid1_FastEthernet1/1,10.0.0.12/32|10.0.0.12/31
uioid1_FastEthernet3/0,10.0.0.14/32|10.0.0.14/31
uioid1_FastEthernet2/0,10.0.0.16/32|10.0.0.16/31
uioid1_FastEthernet0/0,10.0.0.18/32|10.0.0.18/31
uioid1_FastEthernet0/1,10.0.0.20/32|10.0.0.20/31
uioid1_FastEthernet1/0,10.0.0.22/32|10.0.0.22/31
uiottstttolavsplasstt5_FastEthernet3/0,10.0.0.3/32|10.0.0.2/31
