,Hbottbodo,Hbottmottittrana,Hhttelverum,Hhttevenstad,Hhtthamar,Hhttkongsvinger,Hhttrena,Hhtttynset,Hiakttkjeller,Hiattalesund,Hibuttdrammen,Hibutthonefoss,Hibuttkongsberg,Hifttalta,Hiftthammerfest,Hifttkirkenes,Hifttvadso,Higttgjovik,Hihttharstad,Hilttlillehammer,Hinettmottittrana,Hinettnesna,Hinettsandnesjoen,Hingttstjordal,Hinttnarvik,Hintttlevanger,Hintttnamsos,Hintttsteinkjer,Hiottfredrikstad,Hiotthalden,Hitttbo,Hitttnotodden,Hitttporsgrunn,Hitttrauland,Hsfttforde,Hsfttsandane,Hsfttsongdal,Hshtthaugesund,Hshttstord,Hsmttkristiansun,Hsmttmolde,Hvettborre,Hvettlarvik,Hvottvolda,Nbttmottittrana,Nordunetttkobenhavn,Nordunetttstockholm,Nordunetttstockholmid58,Ntnutthovedbygget,Ntnuttrealfagbygget,Nyalesund,Peerhingttstjordal_0,Sa_shttkautokeino,Stockholm,Uiattgrimstad,Uiattkristiansand,Uibttbt,Uibtthoyteklogibygget,Uio,Uioid1,Uiottstttolavsplasstt5,Uisttstavanger,Uito,Uitoid43,Uitottkarasjok,Umbttas,Unikttkjeller,Uninettttteknobyen,Unisttsvalbard,Vethsttsandnes,d_in,d_out,CB,EC
Hbottbodo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0175,"[{'Next_Hop': 'hbottbodo_FastEthernet1/1', 'Networks': '10.0.0.59/32|10.0.0.58/31'}, {'Next_Hop': 'hbottbodo_FastEthernet0/1', 'Networks': '10.0.0.74/31|10.0.0.75/32'}, {'Next_Hop': 'hbottbodo_FastEthernet0/0', 'Networks': '10.0.0.82/31|10.0.0.83/32'}, {'Next_Hop': 'hbottbodo_FastEthernet1/0', 'Networks': '10.0.0.127/32|10.0.0.126/31'}]"
Hbottmottittrana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'hbottmottittrana_FastEthernet0/0', 'Networks': '10.0.0.50/31|10.0.0.51/32'}]"
Hhttelverum,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0285,"[{'Next_Hop': 'hhttelverum_FastEthernet0/0', 'Networks': '10.0.0.178/31|10.0.0.179/32'}, {'Next_Hop': 'hhttelverum_FastEthernet1/0', 'Networks': '10.0.0.190/31|10.0.0.191/32'}, {'Next_Hop': 'hhttelverum_FastEthernet0/1', 'Networks': '10.0.0.192/31|10.0.0.192/32'}]"
Hhttevenstad,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0169,"[{'Next_Hop': 'hhttevenstad_FastEthernet0/1', 'Networks': '10.0.0.174/31|10.0.0.174/32'}, {'Next_Hop': 'hhttevenstad_FastEthernet0/0', 'Networks': '10.0.0.176/32|10.0.0.176/31'}]"
Hhtthamar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.003,"[{'Next_Hop': 'hhtthamar_FastEthernet0/0', 'Networks': '10.0.0.178/32|10.0.0.178/31'}, {'Next_Hop': 'hhtthamar_FastEthernet0/1', 'Networks': '10.0.0.180/32|10.0.0.180/31'}]"
Hhttkongsvinger,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0484,"[{'Next_Hop': 'hhttkongsvinger_FastEthernet0/1', 'Networks': '10.0.0.5/32|10.0.0.4/31'}, {'Next_Hop': 'hhttkongsvinger_FastEthernet0/0', 'Networks': '10.0.0.192/31|10.0.0.193/32'}]"
Hhttrena,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0081,"[{'Next_Hop': 'hhttrena_FastEthernet0/1', 'Networks': '10.0.0.177/32|10.0.0.176/31'}, {'Next_Hop': 'hhttrena_FastEthernet0/0', 'Networks': '10.0.0.190/32|10.0.0.190/31'}]"
Hhtttynset,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0.0384,"[{'Next_Hop': 'hhtttynset_FastEthernet0/0', 'Networks': '10.0.0.175/32|10.0.0.174/31'}, {'Next_Hop': 'hhtttynset_FastEthernet0/1', 'Networks': '10.0.0.189/32|10.0.0.188/31'}]"
Hiakttkjeller,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0.0121,"[{'Next_Hop': 'hiakttkjeller_FastEthernet0/1', 'Networks': '10.0.0.46/31|10.0.0.47/32'}, {'Next_Hop': 'hiakttkjeller_FastEthernet0/0', 'Networks': '10.0.0.48/31|10.0.0.49/32'}]"
Hiattalesund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0662,"[{'Next_Hop': 'hiattalesund_FastEthernet0/1', 'Networks': '10.0.0.92/31|10.0.0.92/32'}, {'Next_Hop': 'hiattalesund_FastEthernet1/0', 'Networks': '10.0.0.94/32|10.0.0.94/31'}, {'Next_Hop': 'hiattalesund_FastEthernet1/1', 'Networks': '10.0.0.96/31|10.0.0.96/32'}, {'Next_Hop': 'hiattalesund_FastEthernet0/0', 'Networks': '10.0.0.98/31|10.0.0.98/32'}]"
Hibuttdrammen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,0.1117,"[{'Next_Hop': 'hibuttdrammen_FastEthernet1/1', 'Networks': '10.0.0.29/32|10.0.0.28/31'}, {'Next_Hop': 'hibuttdrammen_FastEthernet0/1', 'Networks': '10.0.0.39/32|10.0.0.38/31'}, {'Next_Hop': 'hibuttdrammen_FastEthernet0/0', 'Networks': '10.0.0.42/32|10.0.0.42/31'}, {'Next_Hop': 'hibuttdrammen_FastEthernet1/0', 'Networks': '10.0.0.44/31|10.0.0.44/32'}]"
Hibutthonefoss,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.003,"[{'Next_Hop': 'hibutthonefoss_FastEthernet0/1', 'Networks': '10.0.0.40/31|10.0.0.41/32'}, {'Next_Hop': 'hibutthonefoss_FastEthernet0/0', 'Networks': '10.0.0.48/31|10.0.0.48/32'}]"
Hibuttkongsberg,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0191,"[{'Next_Hop': 'hibuttkongsberg_FastEthernet0/0', 'Networks': '10.0.0.38/32|10.0.0.38/31'}, {'Next_Hop': 'hibuttkongsberg_FastEthernet0/1', 'Networks': '10.0.0.40/31|10.0.0.40/32'}]"
