Device,Interface,IP Address,Subnet Mask,Description
abbeville,FastEthernet0/0,10.0.0.80,/31,"""To Chester"""
abbeville,FastEthernet0/1,10.0.0.78,/31,"""To Greenwood"""
abbeville,FastEthernet1/0,10.0.0.76,/31,"""To HickoryTTTavern"""
abingdon,FastEthernet0/0,10.0.0.69,/31,"""To Bristol"""
abingdon,FastEthernet0/1,10.0.0.86,/31,"""To Marion"""
adel,FastEthernet0/0,10.0.0.121,/31,"""To Tifton"""
adel,FastEthernet0/1,10.0.0.128,/31,"""To Vadosta"""
aiken,FastEthernet0/0,10.0.0.30,/31,"""To Augusta"""
aiken,FastEthernet0/1,10.0.0.21,/31,"""To Columbia"""
albany,FastEthernet0/0,10.0.0.142,/31,"""To Macon"""
albany,FastEthernet0/1,10.0.0.140,/31,"""To Tallahassee"""
anderson,FastEthernet0/0,10.0.0.82,/31,"""To Clemson"""
andrews,FastEthernet0/0,10.0.1.48,/31,"""To BrysonTTCity"""
andrews,FastEthernet0/1,10.0.1.19,/31,"""To Hayesville"""
andrews,FastEthernet1/0,10.0.1.50,/31,"""To Murphy"""
ashburn,FastEthernet0/0,10.0.0.194,/31,"""To Herndon"""
ashburn,FastEthernet0/1,10.0.0.193,/31,"""To Warrenton"""
asheville,FastEthernet0/0,10.0.0.198,/31,"""To GreenvilleID91"""
asheville,FastEthernet0/1,10.0.0.196,/31,"""To Hickory"""
ashland,FastEthernet0/0,10.0.1.112,/31,"""To Huntington"""
athens,FastEthernet0/0,10.0.0.66,/31,"""To Atlanta"""
athens,FastEthernet0/1,10.0.0.64,/31,"""To Hartwell"""
atlanta,FastEthernet0/0,10.0.0.67,/31,"""To Athens"""
atlanta,FastEthernet0/1,10.0.0.228,/31,"""To Birmingham"""
atlanta,FastEthernet1/0,10.0.0.205,/31,"""To Canton"""
atlanta,FastEthernet1/1,10.0.0.230,/31,"""To Columbus"""
atlanta,FastEthernet2/0,10.0.0.226,/31,"""To Macon"""
atlanta,FastEthernet2/1,10.0.0.207,/31,"""To Maretta"""
augusta,FastEthernet0/0,10.0.0.31,/31,"""To Aiken"""
augusta,FastEthernet0/1,10.0.0.23,/31,"""To Columbia"""
augusta,FastEthernet1/0,10.0.0.32,/31,"""To Hartwell"""
augusta,FastEthernet1/1,10.0.0.34,/31,"""To NodeID86"""
