Node,Network,Next_Hop,Protocol
abbeville,10.0.0.76/31,FastEthernet1/0,connected
abbeville,10.0.0.76/32,FastEthernet1/0,local
abbeville,10.0.0.78/31,FastEthernet0/1,connected
abbeville,10.0.0.78/32,FastEthernet0/1,local
abbeville,10.0.0.80/31,FastEthernet0/0,connected
abbeville,10.0.0.80/32,FastEthernet0/0,local
abingdon,10.0.0.68/31,FastEthernet0/0,connected
abingdon,10.0.0.69/32,FastEthernet0/0,local
abingdon,10.0.0.86/31,FastEthernet0/1,connected
abingdon,10.0.0.86/32,FastEthernet0/1,local
adel,10.0.0.120/31,FastEthernet0/0,connected
adel,10.0.0.121/32,FastEthernet0/0,local
adel,10.0.0.128/31,FastEthernet0/1,connected
adel,10.0.0.128/32,FastEthernet0/1,local
aiken,10.0.0.20/31,FastEthernet0/1,connected
aiken,10.0.0.21/32,FastEthernet0/1,local
aiken,10.0.0.30/31,FastEthernet0/0,connected
aiken,10.0.0.30/32,FastEthernet0/0,local
albany,10.0.0.140/31,FastEthernet0/1,connected
albany,10.0.0.140/32,FastEthernet0/1,local
albany,10.0.0.142/31,FastEthernet0/0,connected
albany,10.0.0.142/32,FastEthernet0/0,local
albany,128.0.1.0/24,ip,bgp
anderson,10.0.0.82/31,FastEthernet0/0,connected
anderson,10.0.0.82/32,FastEthernet0/0,local
andrews,10.0.1.18/31,FastEthernet0/1,connected
andrews,10.0.1.19/32,FastEthernet0/1,local
andrews,10.0.1.48/31,FastEthernet0/0,connected
andrews,10.0.1.48/32,FastEthernet0/0,local
andrews,10.0.1.50/31,FastEthernet1/0,connected
andrews,10.0.1.50/32,FastEthernet1/0,local
ashburn,10.0.0.192/31,FastEthernet0/1,connected
ashburn,10.0.0.193/32,FastEthernet0/1,local
ashburn,10.0.0.194/31,FastEthernet0/0,connected
ashburn,10.0.0.194/32,FastEthernet0/0,local
asheville,10.0.0.196/31,FastEthernet0/1,connected
asheville,10.0.0.196/32,FastEthernet0/1,local
asheville,10.0.0.198/31,FastEthernet0/0,connected
asheville,10.0.0.198/32,FastEthernet0/0,local
ashland,10.0.1.112/31,FastEthernet0/0,connected
ashland,10.0.1.112/32,FastEthernet0/0,local
athens,10.0.0.64/31,FastEthernet0/1,connected
athens,10.0.0.64/32,FastEthernet0/1,local
athens,10.0.0.66/31,FastEthernet0/0,connected
athens,10.0.0.66/32,FastEthernet0/0,local
atlanta,10.0.0.66/31,FastEthernet0/0,connected
atlanta,10.0.0.67/32,FastEthernet0/0,local
atlanta,10.0.0.204/31,FastEthernet1/0,connected
atlanta,10.0.0.205/32,FastEthernet1/0,local
atlanta,10.0.0.206/31,FastEthernet2/1,connected
atlanta,10.0.0.207/32,FastEthernet2/1,local
atlanta,10.0.0.226/31,FastEthernet2/0,connected
atlanta,10.0.0.226/32,FastEthernet2/0,local
