Interface,Access_VLAN,Active,Admin_Up,All_Prefixes,Allowed_VLANs,Auto_State_VLAN,Bandwidth,Blacklisted,Channel_Group,Channel_Group_Members,DHCP_Relay_Addresses,Declared_Names,Description,Encapsulation_VLAN,HSRP_Groups,HSRP_Version,Inactive_Reason,Incoming_Filter_Name,MLAG_ID,MTU,Native_VLAN,Outgoing_Filter_Name,PBR_Policy_Name,Primary_Address,Primary_Network,Proxy_ARP,Rip_Enabled,Rip_Passive,Spanning_Tree_Portfast,Speed,Switchport,Switchport_Mode,Switchport_Trunk_Encapsulation,VRF,VRRP_Groups,Zone_Name
abbeville[FastEthernet0/0],,True,True,['10.0.0.80/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Chester""",,[],,,,,1500,,,,10.0.0.80/31,10.0.0.80/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
abbeville[FastEthernet0/1],,True,True,['10.0.0.78/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Greenwood""",,[],,,,,1500,,,,10.0.0.78/31,10.0.0.78/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
abbeville[FastEthernet1/0],,True,True,['10.0.0.76/31'],,True,100000000.0,False,,[],[],['Fa1/0'],"""To HickoryTTTavern""",,[],,,,,1500,,,,10.0.0.76/31,10.0.0.76/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
abingdon[FastEthernet0/0],,True,True,['10.0.0.69/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Bristol""",,[],,,,,1500,,,,10.0.0.69/31,10.0.0.68/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
abingdon[FastEthernet0/1],,True,True,['10.0.0.86/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Marion""",,[],,,,,1500,,,,10.0.0.86/31,10.0.0.86/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
adel[FastEthernet0/0],,True,True,['10.0.0.121/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Tifton""",,[],,,,,1500,,,,10.0.0.121/31,10.0.0.120/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
adel[FastEthernet0/1],,True,True,['10.0.0.128/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Vadosta""",,[],,,,,1500,,,,10.0.0.128/31,10.0.0.128/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
aiken[FastEthernet0/0],,True,True,['10.0.0.30/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Augusta""",,[],,,,,1500,,,,10.0.0.30/31,10.0.0.30/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
aiken[FastEthernet0/1],,True,True,['10.0.0.21/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Columbia""",,[],,,,,1500,,,,10.0.0.21/31,10.0.0.20/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
albany[FastEthernet0/0],,True,True,['10.0.0.142/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Macon""",,[],,,,,1500,,,,10.0.0.142/31,10.0.0.142/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
albany[FastEthernet0/1],,True,True,['10.0.0.140/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Tallahassee""",,[],,,,,1500,,,,10.0.0.140/31,10.0.0.140/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
