节点介数中心性：
设备: Abbeville, 介数中心性: 0.0549
设备: Chester, 介数中心性: 0.2460
设备: Greenwood, 介数中心性: 0.0000
设备: Hickorytttavern, 介数中心性: 0.0337
设备: Abingdon, 介数中心性: 0.0373
设备: Bristol, 介数中心性: 0.0250
设备: Marion, 介数中心性: 0.0494
设备: Adel, 介数中心性: 0.0001
设备: Tifton, 介数中心性: 0.0062
设备: Vadosta, 介数中心性: 0.0188
设备: Aiken, 介数中心性: 0.0000
设备: Augusta, 介数中心性: 0.4845
设备: Columbia, 介数中心性: 0.5178
设备: Albany, 介数中心性: 0.0965
设备: Macon, 介数中心性: 0.1927
设备: Tallahassee, 介数中心性: 0.1053
设备: Anderson, 介数中心性: 0.0000
设备: Clemson, 介数中心性: 0.0361
设备: Andrews, 介数中心性: 0.0251
设备: Brysonttcity, 介数中心性: 0.0126
设备: Hayesville, 介数中心性: 0.0008
设备: Murphy, 介数中心性: 0.0360
设备: Ashburn, 介数中心性: 0.0010
设备: Herndon, 介数中心性: 0.0120
设备: Warrenton, 介数中心性: 0.0014
设备: Asheville, 介数中心性: 0.0003
设备: Greenvilleid91, 介数中心性: 0.0339
设备: Hickory, 介数中心性: 0.0048
设备: Ashland, 介数中心性: 0.0000
设备: Huntington, 介数中心性: 0.0126
设备: Athens, 介数中心性: 0.3758
设备: Atlanta, 介数中心性: 0.4438
设备: Hartwell, 介数中心性: 0.3799
设备: Birmingham, 介数中心性: 0.0364
设备: Canton, 介数中心性: 0.1822
设备: Columbus, 介数中心性: 0.0364
设备: Maretta, 介数中心性: 0.0250
设备: Nodeid86, 介数中心性: 0.1159
设备: Avonttpark, 介数中心性: 0.0126
设备: Fortttmyers, 介数中心性: 0.0000
设备: Winterttpark, 介数中心性: 0.0250
设备: Baldwin, 介数中心性: 0.0537
设备: Boone, 介数中心性: 0.0614
设备: Sparta, 介数中心性: 0.1037
设备: Beaufort, 介数中心性: 0.0005
设备: Hiltontthead, 介数中心性: 0.0054
设备: Yemassee, 介数中心性: 0.0259
设备: Bethune, 介数中心性: 0.0122
设备: Florence, 介数中心性: 0.2835
设备: Kershaw, 介数中心性: 0.0079
设备: Montgomery, 介数中心性: 0.0637
设备: Blacksburg, 介数中心性: 0.0335
设备: Christiansburg, 介数中心性: 0.0361
设备: Troutville, 介数中心性: 0.0559
设备: Blairsville, 介数中心性: 0.0595
设备: Blueridge, 介数中心性: 0.1300
设备: Youngttharris, 介数中心性: 0.0486
设备: Bland, 介数中心性: 0.0126
设备: Bluefield, 介数中心性: 0.0000
设备: Wytheville, 介数中心性: 0.1156
设备: Blitchton, 介数中心性: 0.0290
设备: Pembroke, 介数中心性: 0.0215
设备: Savannah, 介数中心性: 0.1137
设备: Blountstown, 介数中心性: 0.0109
设备: Panamattcity, 介数中心性: 0.0139
设备: Copperhill, 介数中心性: 0.0475
设备: Ellijay, 介数中心性: 0.1748
设备: Lexington, 介数中心性: 0.2080
设备: Johnsonttcity, 介数中心性: 0.0000
设备: Kingsport, 介数中心性: 0.0000
设备: Cherokee, 介数中心性: 0.0006
设备: Burlington, 介数中心性: 0.2419
设备: Durham, 介数中心性: 0.2449
设备: Greensboro, 介数中心性: 0.2920
设备: Calhoun, 介数中心性: 0.0000
设备: Cartersville, 介数中心性: 0.0126
设备: Carlisle, 介数中心性: 0.0000
设备: Gettysburg, 介数中心性: 0.0126
设备: Chamersburg, 介数中心性: 0.0250
设备: Hagerstown, 介数中心性: 0.0373
设备: Charleston, 介数中心性: 0.0250
设备: Roanoke, 介数中心性: 0.0690
设备: Charlestonid102, 介数中心性: 0.0113
设备: Monksttcorner, 介数中心性: 0.0140
设备: Charlotte, 介数中心性: 0.2262
设备: Concord, 介数中心性: 0.1945
设备: Rocktthill, 介数中心性: 0.2028
设备: Spartanburg, 介数中心性: 0.0530
设备: Charlottesville, 介数中心性: 0.1699
设备: Lynchburg, 介数中心性: 0.2422
设备: Waynesboro, 介数中心性: 0.1637
设备: Chattanooga, 介数中心性: 0.0000
设备: Dalton, 介数中心性: 0.0250
设备: Ringgold, 介数中心性: 0.0000
设备: Sylva, 介数中心性: 0.0004
设备: Radford, 介数中心性: 0.0414
设备: Toccoa, 介数中心性: 0.0025
设备: Nodeid85, 介数中心性: 0.0303
设备: Sumter, 介数中心性: 0.2964
设备: Salisbury, 介数中心性: 0.1910
设备: Courtney, 介数中心性: 0.0614
设备: Levelttcross, 介数中心性: 0.0537
设备: Crestview, 介数中心性: 0.0020
设备: Pensacola, 介数中心性: 0.0054
设备: Danville, 介数中心性: 0.2669
设备: Martinsville, 介数中心性: 0.0095
设备: Darien, 介数中心性: 0.0550
设备: Hinesville, 介数中心性: 0.0621
设备: Nahunta, 介数中心性: 0.0566
设备: Dothan, 介数中心性: 0.0287
设备: Peerdothan_0, 介数中心性: 0.0000
设备: Douglas, 介数中心性: 0.0145
设备: Waycross, 介数中心性: 0.0232
设备: Willacoochee, 介数中心性: 0.0082
设备: Raleigh, 介数中心性: 0.2486
设备: Easley, 介数中心性: 0.0024
设备: Edinburg, 介数中心性: 0.1058
设备: Nodeid78, 介数中心性: 0.1630
设备: Nodeid79, 介数中心性: 0.0966
设备: Fayetteville, 介数中心性: 0.2796
设备: Jacksonvilleid15, 介数中心性: 0.0164
设备: Rockyttmount, 介数中心性: 0.0207
设备: Tarttheel, 介数中心性: 0.2550
设备: Wilmington, 介数中心性: 0.0143
设备: Myrtlettbeach, 介数中心性: 0.0186
设备: Franklin, 介数中心性: 0.0123
设备: Hiawassee, 介数中心性: 0.0244
设备: Frontttroyal, 介数中心性: 0.0135
设备: Georgetown, 介数中心性: 0.0087
设备: Nodeid82, 介数中心性: 0.0288
设备: Nodeid84, 介数中心性: 0.0701
设备: Greenville, 介数中心性: 0.0084
设备: Kinston, 介数中心性: 0.0002
设备: Martinsburg, 介数中心性: 0.0494
设备: Harrisonburg, 介数中心性: 0.1720
设备: Staunton, 介数中心性: 0.0285
设备: Hawkinsville, 介数中心性: 0.0836
设备: Leslie, 介数中心性: 0.0872
设备: Rentz, 介数中心性: 0.0133
设备: Warwick, 介数中心性: 0.0618
设备: Leesburg, 介数中心性: 0.0236
设备: Highttpoint, 介数中心性: 0.0798
设备: Kernersville, 介数中心性: 0.0000
设备: Jacksonville, 介数中心性: 0.0235
设备: Lakettcity, 介数中心性: 0.0216
设备: Newttbern, 介数中心性: 0.0041
设备: Lancaster, 介数中心性: 0.0123
设备: Winchester, 介数中心性: 0.0356
设备: Leesburgid143, 介数中心性: 0.0494
设备: Maitland, 介数中心性: 0.0373
设备: Ocala, 介数中心性: 0.0613
设备: Lexingtonid123, 介数中心性: 0.0011
设备: Stephensttcity, 介数中心性: 0.0613
设备: Rockyttmountid125, 介数中心性: 0.0021
设备: Metter, 介数中心性: 0.0172
设备: Mobile, 介数中心性: 0.0158
设备: Orangeburg, 介数中心性: 0.0000
设备: Walterboro, 介数中心性: 0.0115
设备: Omega, 介数中心性: 0.0557
设备: Peervadosta_1, 介数中心性: 0.0000
