Next_Hop,Networks
abbeville_FastEthernet1/0,10.0.0.76/32|10.0.0.76/31
abbeville_FastEthernet0/1,10.0.0.78/32|10.0.0.78/31
abbeville_FastEthernet0/0,10.0.0.80/31|10.0.0.80/32
abingdon_FastEthernet0/0,10.0.0.69/32|10.0.0.68/31
abingdon_FastEthernet0/1,10.0.0.86/32|10.0.0.86/31
adel_FastEthernet0/0,10.0.0.120/31|10.0.0.121/32
adel_FastEthernet0/1,10.0.0.128/31|10.0.0.128/32
aiken_FastEthernet0/1,10.0.0.21/32|10.0.0.20/31
aiken_FastEthernet0/0,10.0.0.30/32|10.0.0.30/31
albany_FastEthernet0/1,10.0.0.140/31|10.0.0.140/32
albany_FastEthernet0/0,10.0.0.142/32|10.0.0.142/31
ip 10.0.0.143,128.0.1.0/24
anderson_FastEthernet0/0,10.0.0.82/32|10.0.0.82/31
andrews_FastEthernet0/1,10.0.1.19/32|10.0.1.18/31
andrews_FastEthernet0/0,10.0.1.48/31|10.0.1.48/32
andrews_FastEthernet1/0,10.0.1.50/32|10.0.1.50/31
ashburn_FastEthernet0/1,10.0.0.193/32|10.0.0.192/31
ashburn_FastEthernet0/0,10.0.0.194/31|10.0.0.194/32
asheville_FastEthernet0/1,10.0.0.196/32|10.0.0.196/31
asheville_FastEthernet0/0,10.0.0.198/31|10.0.0.198/32
ashland_FastEthernet0/0,10.0.1.112/32|10.0.1.112/31
athens_FastEthernet0/1,10.0.0.64/31|10.0.0.64/32
athens_FastEthernet0/0,10.0.0.66/31|10.0.0.66/32
atlanta_FastEthernet0/0,10.0.0.66/31|10.0.0.67/32
atlanta_FastEthernet1/0,10.0.0.205/32|10.0.0.204/31
atlanta_FastEthernet2/1,10.0.0.207/32|10.0.0.206/31
atlanta_FastEthernet2/0,10.0.0.226/32|10.0.0.226/31
atlanta_FastEthernet0/1,10.0.0.228/32|10.0.0.228/31
atlanta_FastEthernet1/1,10.0.0.230/31|10.0.0.230/32
augusta_FastEthernet0/1,10.0.0.22/31|10.0.0.23/32
augusta_FastEthernet0/0,10.0.0.31/32|10.0.0.30/31
augusta_FastEthernet1/0,10.0.0.32/32|10.0.0.32/31
augusta_FastEthernet1/1,10.0.0.34/31|10.0.0.34/32
avonttpark_FastEthernet0/0,10.0.0.119/32|10.0.0.118/31
avonttpark_FastEthernet0/1,10.0.0.125/32|10.0.0.124/31
baldwin_FastEthernet0/0,10.0.0.111/32|10.0.0.110/31
baldwin_FastEthernet0/1,10.0.0.112/31|10.0.0.112/32
beaufort_FastEthernet0/0,10.0.0.238/31|10.0.0.239/32
beaufort_FastEthernet0/1,10.0.0.242/31|10.0.0.242/32
bethune_FastEthernet0/1,10.0.1.32/31|10.0.1.33/32
bethune_FastEthernet0/0,10.0.1.44/31|10.0.1.45/32
birmingham_FastEthernet0/0,10.0.0.229/32|10.0.0.228/31
birmingham_FastEthernet0/1,10.0.1.118/31|10.0.1.119/32
blacksburg_FastEthernet0/1,10.0.0.164/32|10.0.0.164/31
blacksburg_FastEthernet0/0,10.0.0.166/31|10.0.0.166/32
blairsville_FastEthernet0/0,10.0.1.13/32|10.0.1.12/31
blairsville_FastEthernet0/1,10.0.1.14/32|10.0.1.14/31
bland_FastEthernet0/1,10.0.0.160/31|10.0.0.161/32
bland_FastEthernet0/0,10.0.0.162/31|10.0.0.162/32
blitchton_FastEthernet0/1,10.0.1.87/32|10.0.1.86/31
blitchton_FastEthernet0/0,10.0.1.96/31|10.0.1.96/32
blountstown_FastEthernet0/0,10.0.1.123/32|10.0.1.122/31
blountstown_FastEthernet0/1,10.0.1.124/31|10.0.1.124/32
ip 10.0.1.122,128.0.0.0/24
bluefield_FastEthernet0/0,10.0.0.163/32|10.0.0.162/31
blueridge_FastEthernet0/1,10.0.0.221/32|10.0.0.220/31
blueridge_FastEthernet1/0,10.0.0.225/32|10.0.0.224/31
blueridge_FastEthernet0/0,10.0.1.12/32|10.0.1.12/31
boone_FastEthernet0/1,10.0.0.103/32|10.0.0.102/31
boone_FastEthernet0/0,10.0.0.110/32|10.0.0.110/31
bristol_FastEthernet0/0,10.0.0.68/32|10.0.0.68/31
bristol_FastEthernet0/1,10.0.0.70/31|10.0.0.70/32
bristol_FastEthernet1/0,10.0.0.72/32|10.0.0.72/31
brysonttcity_FastEthernet0/0,10.0.1.48/31|10.0.1.49/32
brysonttcity_FastEthernet0/1,10.0.1.53/32|10.0.1.52/31
burlington_FastEthernet0/0,10.0.0.46/31|10.0.0.46/32
burlington_FastEthernet0/1,10.0.0.48/31|10.0.0.48/32
calhoun_FastEthernet0/0,10.0.0.211/32|10.0.0.210/31
canton_FastEthernet0/1,10.0.0.202/31|10.0.0.202/32
canton_FastEthernet0/0,10.0.0.204/31|10.0.0.204/32
carlisle_FastEthernet0/0,10.0.1.111/32|10.0.1.110/31
cartersville_FastEthernet0/1,10.0.0.209/32|10.0.0.208/31
cartersville_FastEthernet0/0,10.0.0.210/31|10.0.0.210/32
chamersburg_FastEthernet0/1,10.0.1.107/32|10.0.1.106/31
chamersburg_FastEthernet0/0,10.0.1.108/32|10.0.1.108/31
charleston_FastEthernet0/1,10.0.0.147/32|10.0.0.146/31
charleston_FastEthernet0/0,10.0.0.152/31|10.0.0.152/32
charlestonid102_FastEthernet0/0,10.0.1.34/31|10.0.1.34/32
charlestonid102_FastEthernet0/1,10.0.1.36/31|10.0.1.36/32
charlotte_FastEthernet0/0,10.0.0.109/32|10.0.0.108/31
charlotte_FastEthernet1/0,10.0.1.58/32|10.0.1.58/31
charlotte_FastEthernet0/1,10.0.1.60/31|10.0.1.60/32
charlottesville_FastEthernet0/1,10.0.1.66/31|10.0.1.66/32
charlottesville_FastEthernet0/0,10.0.1.68/32|10.0.1.68/31
chattanooga_FastEthernet0/0,10.0.0.215/32|10.0.0.214/31
chattanooga_FastEthernet0/1,10.0.0.219/32|10.0.0.218/31
cherokee_FastEthernet0/0,10.0.1.52/32|10.0.1.52/31
cherokee_FastEthernet0/1,10.0.1.54/31|10.0.1.54/32
chester_FastEthernet0/1,10.0.0.28/31|10.0.0.29/32
chester_FastEthernet0/0,10.0.0.80/31|10.0.0.81/32
chester_FastEthernet1/0,10.0.1.63/32|10.0.1.62/31
christiansburg_FastEthernet0/0,10.0.0.167/32|10.0.0.166/31
christiansburg_FastEthernet0/1,10.0.0.173/32|10.0.0.172/31
clemson_FastEthernet0/0,10.0.0.82/31|10.0.0.83/32
clemson_FastEthernet1/0,10.0.0.84/31|10.0.0.85/32
clemson_FastEthernet0/1,10.0.1.9/32|10.0.1.8/31
clemson_FastEthernet1/1,10.0.1.24/32|10.0.1.24/31
columbia_FastEthernet0/0,10.0.0.20/32|10.0.0.20/31
columbia_FastEthernet0/1,10.0.0.22/31|10.0.0.22/32
columbia_FastEthernet2/0,10.0.0.24/31|10.0.0.24/32
columbia_FastEthernet1/1,10.0.0.26/32|10.0.0.26/31
columbia_FastEthernet1/0,10.0.0.28/32|10.0.0.28/31
columbus_FastEthernet0/0,10.0.0.231/32|10.0.0.230/31
columbus_FastEthernet0/1,10.0.1.115/32|10.0.1.114/31
