Equivalence_Class,Source,Destination
abbeville_FastEthernet0/1,abbeville,Greenwood
abbeville_FastEthernet0/0,abbeville,Chester
abingdon_FastEthernet0/0,abingdon,Bristol
abingdon_FastEthernet0/1,abingdon,Marion
adel_FastEthernet0/0,adel,Tifton
adel_FastEthernet0/1,adel,Vadosta
aiken_FastEthernet0/1,aiken,Columbia
aiken_FastEthernet0/0,aiken,Augusta
albany_FastEthernet0/1,albany,Tallahassee
albany_FastEthernet0/0,albany,Macon
anderson_FastEthernet0/0,anderson,Clemson
andrews_FastEthernet0/1,andrews,Hayesville
andrews_FastEthernet1/0,andrews,Murphy
ashburn_FastEthernet0/1,ashburn,Warrenton
ashburn_FastEthernet0/0,ashburn,Herndon
asheville_FastEthernet0/1,asheville,Hickory
ashland_FastEthernet0/0,ashland,Huntington
athens_FastEthernet0/1,athens,Hartwell
athens_FastEthernet0/0,athens,Atlanta
atlanta_FastEthernet0/0,atlanta,Athens
atlanta_FastEthernet1/0,atlanta,Canton
atlanta_FastEthernet2/1,atlanta,Maretta
atlanta_FastEthernet2/0,atlanta,Macon
atlanta_FastEthernet0/1,atlanta,Birmingham
atlanta_FastEthernet1/1,atlanta,Columbus
augusta_FastEthernet0/1,augusta,Columbia
augusta_FastEthernet0/0,augusta,Aiken
augusta_FastEthernet1/0,augusta,Hartwell
baldwin_FastEthernet0/0,baldwin,Boone
baldwin_FastEthernet0/1,baldwin,Sparta
beaufort_FastEthernet0/1,beaufort,Yemassee
bethune_FastEthernet0/1,bethune,Kershaw
bethune_FastEthernet0/0,bethune,Florence
birmingham_FastEthernet0/0,birmingham,Atlanta
birmingham_FastEthernet0/1,birmingham,Montgomery
blacksburg_FastEthernet0/1,blacksburg,Troutville
blacksburg_FastEthernet0/0,blacksburg,Christiansburg
blairsville_FastEthernet0/0,blairsville,Blueridge
bland_FastEthernet0/1,bland,Wytheville
bland_FastEthernet0/0,bland,Bluefield
blitchton_FastEthernet0/1,blitchton,Savannah
blitchton_FastEthernet0/0,blitchton,Pembroke
blountstown_FastEthernet0/1,blountstown,Tallahassee
bluefield_FastEthernet0/0,bluefield,Bland
blueridge_FastEthernet0/1,blueridge,Copperhill
blueridge_FastEthernet1/0,blueridge,Ellijay
blueridge_FastEthernet0/0,blueridge,Blairsville
boone_FastEthernet0/1,boone,Lexington
boone_FastEthernet0/0,boone,Baldwin
bristol_FastEthernet0/0,bristol,Abingdon
bristol_FastEthernet1/0,bristol,Kingsport
brysonttcity_FastEthernet0/0,brysonttcity,Andrews
brysonttcity_FastEthernet0/1,brysonttcity,Cherokee
burlington_FastEthernet0/0,burlington,Durham
burlington_FastEthernet0/1,burlington,Greensboro
calhoun_FastEthernet0/0,calhoun,Cartersville
canton_FastEthernet0/1,canton,Ellijay
canton_FastEthernet0/0,canton,Atlanta
carlisle_FastEthernet0/0,carlisle,Gettysburg
cartersville_FastEthernet0/1,cartersville,Maretta
cartersville_FastEthernet0/0,cartersville,Calhoun
chamersburg_FastEthernet0/1,chamersburg,Hagerstown
chamersburg_FastEthernet0/0,chamersburg,Gettysburg
charleston_FastEthernet0/1,charleston,Roanoke
charleston_FastEthernet0/0,charleston,Huntington
charlestonid102_FastEthernet0/1,charlestonid102,Yemassee
charlotte_FastEthernet0/0,charlotte,Concord
charlotte_FastEthernet1/0,charlotte,Spartanburg
charlottesville_FastEthernet0/1,charlottesville,Waynesboro
charlottesville_FastEthernet0/0,charlottesville,Lynchburg
chattanooga_FastEthernet0/0,chattanooga,Dalton
chattanooga_FastEthernet0/1,chattanooga,Ringgold
cherokee_FastEthernet0/1,cherokee,Sylva
chester_FastEthernet0/1,chester,Columbia
chester_FastEthernet0/0,chester,Abbeville
christiansburg_FastEthernet0/0,christiansburg,Blacksburg
christiansburg_FastEthernet0/1,christiansburg,Radford
clemson_FastEthernet0/0,clemson,Anderson
clemson_FastEthernet1/1,clemson,Toccoa
columbia_FastEthernet0/0,columbia,Aiken
columbia_FastEthernet0/1,columbia,Augusta
columbia_FastEthernet2/0,columbia,Sumter
columbia_FastEthernet1/0,columbia,Chester
columbus_FastEthernet0/0,columbus,Atlanta
columbus_FastEthernet0/1,columbus,Montgomery
concord_FastEthernet0/1,concord,Salisbury
concord_FastEthernet0/0,concord,Charlotte
copperhill_FastEthernet0/0,copperhill,Blueridge
copperhill_FastEthernet0/1,copperhill,Murphy
courtney_FastEthernet0/1,courtney,Lexington
crestview_FastEthernet0/1,crestview,Pensacola
dalton_FastEthernet1/0,dalton,Ringgold
dalton_FastEthernet0/0,dalton,Chattanooga
dalton_FastEthernet0/1,dalton,Ellijay
danville_FastEthernet0/0,danville,Greensboro
danville_FastEthernet0/1,danville,Lynchburg
danville_FastEthernet1/0,danville,Martinsville
darien_FastEthernet0/1,darien,Nahunta
darien_FastEthernet0/0,darien,Hinesville
dothan_FastEthernet0/0,dothan,Montgomery
douglas_FastEthernet0/0,douglas,Waycross
douglas_FastEthernet0/1,douglas,Willacoochee
durham_FastEthernet0/1,durham,Raleigh
durham_FastEthernet0/0,durham,Burlington
easley_FastEthernet0/1,easley,Toccoa
ellijay_FastEthernet0/1,ellijay,Canton
ellijay_FastEthernet1/0,ellijay,Dalton
ellijay_FastEthernet0/0,ellijay,Blueridge
fayetteville_FastEthernet0/1,fayetteville,Raleigh
