sample_id,source,destination,sla,satisfied,min_bw_top_paths,max_bw_top_paths,unsatisfied_links
summary,,,,57.69%,,,
0,Catania,Bari,104.0,False,[],[],
1,Boston,Lille,162.0,False,[125.5],[255.2],London-NodeID62(125.5)
2,NewTTYork,Brussels,128.0,False,[],[],
3,Winterthur,Bordeaux,166.0,False,[131.6],[293.6],Zurich-Basel(131.6)
4,Anderlecht,Birmingham,60.0,True,[66.0],[222.0],
5,Kortnijk,Paris,96.0,False,[],[],
6,Bern,Zurich,104.0,True,[114.4],[239.4],
7,Stuttgart,Bologna,80.0,True,[84.8],[245.0],
8,Brindisi,Chiasso,126.0,False,[98.0],[255.8],Rome-Firenze(98.0)
9,Rome,Rimini,88.0,False,[44.0],[157.0],Milan-Rimini(44.0)
10,NodeID73,Esslingen,94.0,False,[],[],
11,Zug,Bristol,66.0,True,[81.6],[273.6],
12,Biel_Bienne,NodeID79,136.0,False,[131.2],[296.4],Basel-Strasbourg(131.2)
13,Kortnijk,Lyon,116.0,False,[],[],
14,Ostend,Paris,98.0,True,[112.8],[204.1],
15,Boston,Novara,136.0,True,[149.6],[346.7],
16,Cagliari,Trieste,146.0,True,[160.6],[287.6],
17,Toulouse,Valencia,64.0,True,[87.3],[203.6],
18,Mons,Paris,66.0,False,[],[],
19,Barcelona,Novara,116.0,False,[58.0],[190.0],Barcelona-NodeID79(67.6); NodeID79-Montpellier(94.0); Montpellier-Marseille(94.0); Milan-Novara(58.0)
20,Dijon,Brescia,90.0,False,[],[],
21,Brussels,Munich,86.0,False,[],[],
22,Biella,Chicago,98.0,False,[],[],
23,NewTTYork,PeerBarcelona_0,76.0,False,[],[],
24,NewTTYork,Ostend,142.0,False,[],[],
25,Catania,Rennes,196.0,False,[194.6],[327.8],Rome-Firenze(194.6)
26,Newark,Charleroi,168.0,True,[184.8],[287.8],
27,Nyon,Biel_Bienne,124.0,False,[45.0],[62.0],Nyon-Lausanne(59.4); Lausanne-NodeID73(62.0); NodeID73-Biel_Bienne(45.0)
28,Milan,Nyon,70.0,False,[],[],
29,Brindisi,Livorno,64.0,False,[],[],
30,Leuven,Mannheim,102.0,False,[],[],
31,Dijon,Sintra,64.0,True,[70.4],[238.4],
32,Trento,Verona,82.0,False,[],[],
33,Catania,Bologna,116.0,False,[],[],
34,Schaffhausen,Rouen,118.0,True,[129.8],[286.0],
35,Trieste,Winterthur,60.0,False,[],[],
36,Anderlecht,NodeID62,62.0,True,[68.2],[179.4],
37,NewTTYork,Mons,138.0,True,[185.8],[284.0],
38,Lyon,Parma,158.0,True,[247.8],[300.4],
39,Grenoble,NodeID79,178.0,True,[195.8],[254.7],
40,Ostend,Livorno,118.0,False,[],[],
41,Rimini,Esslingen,98.0,False,[],[],
42,Antwerp,Biella,70.0,True,[103.0],[256.6],
43,Porto,Dijon,64.0,False,[],[],
44,Grenoble,Chiasso,166.0,True,[182.6],[287.6],
45,Trieste,Cagliari,86.0,False,[],[],
46,StTTGallen,Firenze,96.0,True,[105.6],[243.6],
47,Luxembourg,StTTGallen,160.0,False,[],[],
48,NodeID62,Bergamo,84.0,True,[108.4],[271.8],
49,Barcelona,Ostend,194.0,False,[],[],
50,Evere,Reading,120.0,False,[],[],
51,Biel_Bienne,Zug,124.0,True,[136.4],[280.7],
52,Varese,StTTGallen,104.0,False,[],[],
53,Schaffhausen,Bristol,62.0,True,[112.2],[228.2],
54,Karlsruhe,Marseille,124.0,True,[268.4],[339.9],
55,Boston,Nantes,62.0,True,[124.2],[213.4],
56,Livorno,Zug,152.0,False,[131.4],[265.4],Milan-Como(131.4)
57,Novara,Turin,158.0,False,[81.0],[187.0],Novara-Milan(81.0)
58,Luxembourg,Lucerne,190.0,False,[],[],
59,Bordeaux,Trento,88.0,False,[44.0],[220.2],Toulouse-NodeID79(64.4); Milan-Trento(44.0)
60,Genova,NodeID62,60.0,True,[60.4],[207.2],
61,Toulouse,PeerBarcelona_0,192.0,False,[90.0],[150.0],Toulouse-NodeID79(90.0); NodeID79-Barcelona(150.0); Barcelona-PeerBarcelona_0(96.0)
62,Newark,Esslingen,146.0,False,[],[],
63,Milan,Bari,158.0,False,[],[],
64,NewTTYork,Mons,176.0,True,[193.6],[262.0],
65,Schaffhausen,Chiasso,186.0,False,[171.5],[252.6],Lucerne-Lugano(171.5)
66,Catania,Biella,126.0,True,[161.6],[257.6],
67,Dijon,Leuven,72.0,True,[79.2],[244.0],
68,Toulouse,Reading,200.0,True,[205.0],[246.6],
69,Bologna,Borgomanero,68.0,False,[],[],
70,Luxembourg,Paris,64.0,True,[88.4],[174.2],
71,Toulouse,Valencia,94.0,False,[32.9],[42.0],Toulouse-NodeID79(42.0); NodeID79-Barcelona(36.0); Barcelona-Valencia(32.9)
72,Madrid,Esslingen,90.0,False,[],[],
73,Schaffhausen,Munich,122.0,False,[],[],
74,Borgomanero,Bari,62.0,False,[],[],
75,Treviso,Montpellier,64.0,False,[],[],
76,Vicenza,Bordeaux,128.0,False,[],[],
77,Strasbourg,Liege,170.0,False,[85.0],[221.6],Brussels-Liege(85.0)
78,Paris,Anderlecht,68.0,False,[],[],
79,Toulouse,Munich,98.0,False,[],[],
80,Biella,Toulouse,68.0,False,[18.7],[186.0],Marseille-Montpellier(18.7); Montpellier-NodeID79(18.7); NodeID79-Toulouse(18.7)
81,Kortnijk,Dublin,108.0,False,[31.0],[99.0],Kortnijk-Brussels(99.0); Brussels-London(82.0); London-Dublin(31.0)
82,Leuven,NodeID73,68.0,False,[],[],
83,Catania,Zug,80.0,False,[70.0],[274.7],Catania-Rome(70.0)
84,Catania,Nice,68.0,True,[148.8],[216.4],
85,Varese,Verona,140.0,False,[],[],
86,Montpellier,Liege,136.0,True,[149.6],[328.0],
87,Rome,Novara,60.0,True,[66.0],[209.9],
88,Rouen,Lucerne,108.0,False,[103.8],[285.1],Rouen-Paris(103.8)
89,Rimini,Lugano,74.0,False,[],[],
90,Barcelona,Zug,134.0,False,[86.2],[196.0],Barcelona-NodeID79(86.2); NodeID79-Montpellier(89.0); Montpellier-Marseille(89.0)
91,Bologna,Dijon,90.0,False,[],[],
92,Lisbon,Genova,132.0,False,[85.0],[279.6],Milan-Genova(85.0)
93,StTTGallen,NodeID79,90.0,True,[92.4],[259.5],
94,Grenoble,Tours,76.0,True,[83.6],[191.8],
95,Liege,Firenze,68.0,True,[173.8],[229.9],
96,Leuven,Bristol,88.0,False,[],[],
97,Chiasso,Lisbon,94.0,False,[85.0],[249.4],Toulouse-Bordeaux(85.0)
98,Bern,Stuttgart,182.0,True,[200.2],[306.2],
99,Brussels,Biella,98.0,False,[75.9],[276.8],Ghent-Lille(75.9)
100,Como,Leuven,124.0,True,[141.0],[281.1],
101,Karlsruhe,Ghent,132.0,True,[242.5],[272.2],
102,Reading,Toulouse,98.0,False,[],[],
103,NodeID62,Birmingham,174.0,False,[],[],
104,Bergamo,Cagliari,184.0,False,[50.0],[163.0],Bergamo-Milan(163.0); Milan-Genova(149.0); Genova-Firenze(149.0); Firenze-Rome(92.0); Rome-Cagliari(50.0)
105,Dijon,Lisbon,66.0,False,[],[],
106,Cagliari,Winterthur,146.0,False,[120.6],[254.1],Rome-Firenze(120.6)
107,Genova,Chiasso,64.0,True,[181.0],[246.1],
108,Rome,Manchester,200.0,False,[286.0],[396.2],
109,Biel_Bienne,Chiasso,68.0,False,[57.8],[224.8],Basel-Zurich(57.8)
110,Treviso,Winterthur,90.0,False,[],[],
111,Newark,Padova,68.0,False,[14.0],[197.0],Bergamo-Brescia(14.0); Brescia-Verona(14.0); Verona-Padova(17.2)
112,Tours,NodeID62,200.0,False,[155.0],[274.0],Tours-Paris(155.0); Lille-NodeID62(160.0)
113,Nice,Dijon,82.0,False,[],[],
114,Antwerp,Zug,156.0,True,[220.6],[333.9],
115,Lisbon,Paris,144.0,False,[133.2],[291.0],Nantes-Rennes(133.2)
116,Antwerp,Dublin,172.0,False,[],[],
117,Strasbourg,Schaffhausen,128.0,False,[],[],
118,Ostend,Reading,98.0,False,[],[],
119,Novara,Padova,82.0,False,[],[],
120,Bern,Boston,78.0,True,[84.8],[263.6],
121,NewTTYork,Evere,66.0,False,[],[],
122,Poitiers,Rouen,88.0,True,[96.8],[211.8],
123,Esslingen,Bologna,68.0,True,[74.8],[233.8],
124,Madrid,Brussels,88.0,False,[],[],
125,Toulouse,Sintra,168.0,False,[146.8],[257.6],Madrid-Lisbon(146.8)
126,Piacenza,Lucerne,68.0,False,[49.0],[166.5],Piacenza-Milan(49.0); Chiasso-Lugano(52.7)
127,Como,Brescia,78.0,True,[79.8],[127.8],
128,Schaffhausen,Rouen,80.0,True,[88.0],[247.3],
129,Bern,Esslingen,128.0,False,[109.8],[301.0],NodeID73-Basel(109.8)
