sample_id,source,destination,sla,satisfied,min_bw_top_paths,max_bw_top_paths,unsatisfied_links
summary,,,,56.86%,,,
0,Rogasjattslatina,Divaca,99.0,True,[123.0],[230.0],
1,Postojna,Izola,46.5,True,[62.0],[140.0],
2,Celje,Radenci,70.5,True,[94.0],[245.0],
3,Izola,Senozece,93.0,True,[93.0],[124.0],
4,Kranj,Peercelje_0,48.0,True,[106.0],[229.3],
5,Ajdovscina,Maribor,63.0,True,[101.0],[199.0],
6,Portoroz,Ptuj,75.0,False,[70.0],[236.0],Koper-Ljubljana(70.0)
7,Velenje,Postojna,112.5,True,[135.8],[212.1],
8,Ravnettnattkoroskem,Novottmesto,48.0,True,[51.2],[263.3],
9,Kranj,Novottmesto,45.0,True,[100.5],[203.0],
10,Jesenice,Slovenjttgradec,78.0,False,[52.0],[197.0],Dravograd-Slovenjttgradec(52.0)
11,Ljubljana,Ravnettnattkoroskem,81.0,False,[54.0],[183.0],Maribor-Dravograd(77.0); Dravograd-Ravnettnattkoroskem(54.0)
12,Velenje,Koper,99.0,False,[46.0],[199.0],Velenje-Dravograd(46.0)
13,Sezana,Celje,141.0,False,[],[],
14,Sezana,Peercelje_0,79.5,True,[92.6],[211.0],
15,Krsko,Lasko,115.5,False,[46.0],[249.7],Krsko-Novottmesto(77.0); Novottmesto-Kovevje(46.0)
16,Ljubljana,Portoroz,99.0,False,[19.8],[87.8],Ljubljana-Kranj(42.0); Kranj-Koper(87.8); Koper-Divaca(68.0); Divaca-Portoroz(19.8)
17,Dravograd,Senozece,112.5,False,[45.0],[185.0],Maribor-Ljubljana(99.0); Postojna-Senozece(45.0)
18,Kranj,Ajdovscina,121.5,False,[30.3],[169.8],Novattgorica-Ajdovscina(30.3)
19,Postojna,Slovenskattbistrica,97.5,True,[147.0],[219.0],
20,Dravograd,Novottmesto,112.5,True,[164.0],[250.0],
21,Lasko,Jesenice,48.0,False,[],[],
22,Rogasjattslatina,Novattgorica,94.5,True,[125.4],[263.0],
23,Lasko,Slovenjttgradec,126.0,False,[50.4],[125.0],Lasko-Maribor(84.0); Maribor-Dravograd(125.0); Dravograd-Slovenjttgradec(50.4)
24,Divaca,Radenci,72.0,True,[80.0],[200.0],
25,Ajdovscina,Kranj,147.0,True,[179.4],[196.0],
26,Postojna,Murskattsobota,139.5,False,[84.0],[288.0],Postojna-Ljubljana(84.0); Radenci-Murskattsobota(126.0)
27,Rogasjattslatina,Divaca,64.5,False,[],[],
28,Trbovlje,Bled,108.0,False,[52.0],[99.0],Trbovlje-Ljubljana(52.0); Ljubljana-Kranj(99.0); Kranj-Bled(83.0)
29,Sezana,Ormoz,55.5,False,[],[],
