sample_id,source,destination,sla,satisfied,min_bw_top_paths,max_bw_top_paths,unsatisfied_links
summary,,,,89.12%,,,
0,Catania,Bari,31.2,False,[],[],
1,Boston,Lille,48.6,False,[28.3],[158.0],London-NodeID62(28.3)
2,NewTTYork,Brussels,38.4,False,[],[],
3,Winterthur,Bordeaux,49.8,False,[32.0],[194.0],Zurich-Basel(32.0)
4,Birmingham,Evere,44.4,True,[218.2],[279.2],
5,Anderlecht,Birmingham,18.0,True,[78.0],[234.0],
6,Bern,Zurich,31.2,True,[114.4],[206.9],
7,Stuttgart,Bologna,24.0,True,[87.2],[247.4],
8,Brindisi,Chiasso,37.8,True,[50.0],[207.8],
9,Rome,Rimini,26.4,True,[62.0],[175.0],
10,NodeID73,Esslingen,28.2,False,[],[],
11,Zug,Bristol,19.8,True,[81.6],[273.6],
12,Biel_Bienne,NodeID79,40.8,True,[79.6],[244.8],
13,Kortnijk,Lyon,34.8,False,[],[],
14,Ostend,Paris,29.4,True,[54.0],[145.3],
15,Boston,Novara,40.8,True,[203.6],[400.7],
16,Cagliari,Trieste,43.8,True,[73.0],[200.0],
17,Toulouse,Valencia,19.2,True,[48.9],[165.2],
18,Mons,Paris,19.8,False,[],[],
19,Barcelona,Novara,34.8,True,[58.0],[190.0],
20,Dijon,Brescia,27.0,False,[],[],
21,Brussels,Munich,25.8,False,[],[],
22,Biella,Chicago,29.4,False,[],[],
23,NewTTYork,PeerBarcelona_0,22.8,False,[],[],
24,Catania,Rennes,58.8,True,[77.0],[210.2],
25,Newark,Charleroi,50.4,True,[84.0],[187.0],
26,Nyon,Biel_Bienne,37.199999999999996,True,[112.2],[129.2],
27,Brindisi,Livorno,19.2,False,[],[],
28,Leuven,Mannheim,30.599999999999998,False,[],[],
29,Dijon,Sintra,19.2,True,[44.0],[212.0],
30,Trento,Verona,24.599999999999998,False,[],[],
31,Catania,Bologna,34.8,False,[],[],
32,Schaffhausen,Rouen,35.4,True,[59.0],[215.2],
33,Trieste,Winterthur,18.0,False,[],[],
34,Anderlecht,NodeID62,18.599999999999998,True,[31.0],[142.2],
35,NewTTYork,Mons,41.4,True,[178.6],[276.8],
36,Lyon,Parma,47.4,True,[153.0],[205.6],
37,Grenoble,NodeID79,53.4,True,[89.0],[147.9],
38,Ostend,Livorno,35.4,False,[],[],
39,Rimini,Esslingen,29.4,False,[],[],
40,Antwerp,Biella,21.0,True,[91.0],[244.6],
41,Porto,Dijon,19.2,False,[],[],
42,Grenoble,Chiasso,49.8,True,[83.0],[188.0],
43,Trieste,Cagliari,25.8,False,[],[],
44,StTTGallen,Firenze,28.799999999999997,True,[48.0],[186.0],
45,Luxembourg,StTTGallen,48.0,False,[],[],
46,NodeID62,Bergamo,25.2,True,[90.4],[253.8],
47,Barcelona,Ostend,58.199999999999996,False,[],[],
48,Evere,Reading,36.0,False,[],[],
49,Biel_Bienne,Zug,37.199999999999996,True,[62.0],[206.3],
50,Varese,StTTGallen,31.2,False,[],[],
51,Schaffhausen,Bristol,18.599999999999998,True,[75.0],[191.0],
52,Karlsruhe,Marseille,37.199999999999996,True,[268.4],[339.9],
53,Boston,Nantes,18.599999999999998,True,[124.2],[213.4],
