sample_id,source,destination,sla,satisfied,min_bw_top_paths,max_bw_top_paths,unsatisfied_links
summary,,,,90.22%,,,
0,Catania,Bari,28.6,False,[],[],
1,Boston,Lille,44.550000000000004,False,[28.3],[158.0],London-NodeID62(28.3)
2,NewTTYork,Brussels,35.2,False,[],[],
3,Winterthur,Bordeaux,45.650000000000006,False,[32.0],[194.0],Zurich-Basel(32.0)
4,Birmingham,Evere,40.7,True,[218.2],[279.2],
5,Anderlecht,Birmingham,16.5,True,[78.0],[234.0],
6,Bern,Zurich,28.6,True,[114.4],[206.9],
7,Stuttgart,Bologna,22.0,True,[87.2],[247.4],
8,Brindisi,Chiasso,34.650000000000006,True,[50.0],[207.8],
9,Rome,Rimini,24.200000000000003,True,[62.0],[175.0],
10,NodeID73,Esslingen,25.85,False,[],[],
11,Zug,Bristol,18.150000000000002,True,[81.6],[273.6],
12,Biel_Bienne,NodeID79,37.400000000000006,True,[79.6],[244.8],
13,Kortnijk,Lyon,31.900000000000002,False,[],[],
14,Ostend,Paris,26.950000000000003,True,[54.0],[145.3],
15,Boston,Novara,37.400000000000006,True,[203.6],[400.7],
16,Cagliari,Trieste,40.150000000000006,True,[73.0],[200.0],
17,Toulouse,Valencia,17.6,True,[48.9],[165.2],
18,Mons,Paris,18.150000000000002,False,[],[],
19,Barcelona,Novara,31.900000000000002,True,[58.0],[190.0],
20,Dijon,Brescia,24.750000000000004,False,[],[],
21,Brussels,Munich,23.650000000000002,False,[],[],
22,Biella,Chicago,26.950000000000003,False,[],[],
23,NewTTYork,PeerBarcelona_0,20.900000000000002,False,[],[],
24,Catania,Rennes,53.900000000000006,True,[77.0],[210.2],
25,Newark,Charleroi,46.2,True,[84.0],[187.0],
26,Nyon,Biel_Bienne,34.1,True,[112.2],[129.2],
27,Brindisi,Livorno,17.6,False,[],[],
28,Leuven,Mannheim,28.05,False,[],[],
29,Dijon,Sintra,17.6,True,[44.0],[212.0],
30,Trento,Verona,22.55,False,[],[],
31,Catania,Bologna,31.900000000000002,False,[],[],
32,Schaffhausen,Rouen,32.45,True,[59.0],[215.2],
33,Trieste,Winterthur,16.5,False,[],[],
34,Anderlecht,NodeID62,17.05,True,[31.0],[142.2],
35,NewTTYork,Mons,37.95,True,[178.6],[276.8],
36,Lyon,Parma,43.45,True,[153.0],[205.6],
37,Grenoble,NodeID79,48.95,True,[89.0],[147.9],
38,Ostend,Livorno,32.45,False,[],[],
39,Rimini,Esslingen,26.950000000000003,False,[],[],
40,Antwerp,Biella,19.25,True,[91.0],[244.6],
41,Porto,Dijon,17.6,False,[],[],
42,Grenoble,Chiasso,45.650000000000006,True,[83.0],[188.0],
43,Trieste,Cagliari,23.650000000000002,False,[],[],
44,StTTGallen,Firenze,26.400000000000002,True,[48.0],[186.0],
45,Luxembourg,StTTGallen,44.0,False,[],[],
46,NodeID62,Bergamo,23.1,True,[90.4],[253.8],
47,Barcelona,Ostend,53.35,False,[],[],
48,Evere,Reading,33.0,False,[],[],
49,Biel_Bienne,Zug,34.1,True,[62.0],[206.3],
50,Varese,StTTGallen,28.6,False,[],[],
51,Schaffhausen,Bristol,17.05,True,[75.0],[191.0],
52,Karlsruhe,Marseille,34.1,True,[268.4],[339.9],
53,Boston,Nantes,17.05,True,[124.2],[213.4],
54,Livorno,Zug,41.800000000000004,False,[40.2],[174.2],Milan-Como(40.2)
55,Novara,Turin,43.45,True,[175.8],[281.8],
56,Luxembourg,Lucerne,52.25000000000001,False,[],[],
57,Genova,NodeID62,16.5,True,[60.4],[207.2],
58,Toulouse,PeerBarcelona_0,52.800000000000004,True,[90.0],[150.0],
59,Newark,Esslingen,40.150000000000006,False,[],[],
60,NewTTYork,Mons,48.400000000000006,True,[88.0],[156.4],
61,Schaffhausen,Chiasso,51.150000000000006,True,[59.9],[141.0],
62,Catania,Biella,34.650000000000006,True,[135.2],[231.2],
63,Dijon,Leuven,19.8,True,[79.2],[244.0],
64,Toulouse,Reading,55.00000000000001,True,[137.8],[179.4],
65,Bologna,Borgomanero,18.700000000000003,False,[],[],
66,Luxembourg,Paris,17.6,True,[50.0],[174.2],
67,Toulouse,Valencia,25.85,True,[32.9],[42.0],
68,Madrid,Esslingen,24.750000000000004,False,[],[],
69,Schaffhausen,Munich,33.550000000000004,False,[],[],
70,Borgomanero,Bari,17.05,False,[],[],
71,Treviso,Montpellier,17.6,False,[],[],
72,Vicenza,Bordeaux,35.2,False,[],[],
73,Strasbourg,Liege,46.75000000000001,True,[133.0],[269.6],
74,Paris,Anderlecht,18.700000000000003,False,[],[],
75,Toulouse,Munich,26.950000000000003,False,[],[],
76,Biella,Toulouse,18.700000000000003,False,[18.7],[186.0],Marseille-Montpellier(18.7); Montpellier-NodeID79(18.7); NodeID79-Toulouse(18.7)
77,Kortnijk,Dublin,29.700000000000003,True,[31.0],[99.0],
78,Leuven,NodeID73,18.700000000000003,False,[],[],
79,Catania,Zug,22.0,True,[115.6],[320.3],
80,Catania,Nice,18.700000000000003,True,[108.0],[175.6],
81,Varese,Verona,38.5,False,[],[],
82,Montpellier,Liege,37.400000000000006,True,[68.0],[246.4],
83,Rome,Novara,16.5,True,[63.6],[207.5],
84,Rouen,Lucerne,29.700000000000003,True,[39.0],[220.3],
85,Rimini,Lugano,20.35,False,[],[],
86,Barcelona,Zug,36.85,True,[86.2],[196.0],
87,London,Catania,39.6,True,[124.8],[330.0],
88,Bologna,Dijon,24.750000000000004,False,[],[],
89,Lisbon,Genova,36.300000000000004,True,[100.8],[235.2],
90,StTTGallen,NodeID79,24.750000000000004,True,[38.4],[205.5],
91,Grenoble,Tours,20.900000000000002,True,[70.4],[178.6],
92,Barcelona,Toulouse,38.5,True,[158.8],[309.9],
93,Liege,Firenze,18.700000000000003,True,[176.2],[232.3],
94,Leuven,Bristol,24.200000000000003,False,[],[],
95,Chiasso,Lisbon,25.85,True,[85.0],[251.8],
96,Bern,Stuttgart,50.050000000000004,True,[272.2],[378.2],
97,Brussels,Biella,26.950000000000003,True,[50.7],[251.6],
98,Como,Leuven,34.1,True,[211.8],[352.5],
99,Karlsruhe,Ghent,36.300000000000004,True,[205.3],[235.0],
100,Reading,Toulouse,26.950000000000003,False,[],[],
