sample_id,source,destination,sla,satisfied,min_bw_top_paths,max_bw_top_paths,unsatisfied_links
summary,,,,83.88%,,,
0,Novattgorica,Rogasjattslatina,41.4,True,[160.0],[238.0],
1,Rogasjattslatina,Radenci,67.5,True,[79.1],[198.7],
2,Dravograd,Izola,34.2,True,[54.2],[150.8],
3,Portoroz,Krsko,39.6,False,[],[],
4,Lasko,Tolmin,28.8,True,[72.4],[186.0],
5,Kranj,Murskattsobota,63.9,False,[],[],
6,Peercelje_0,Ravnettnattkoroskem,63.9,True,[197.0],[336.0],
7,Rogasjattslatina,Ljutomer,36.9,False,[],[],
8,Ormoz,Lasko,28.8,False,[17.6],[195.0],Maribor-Lasko(17.6)
9,Postojna,Celje,72.9,False,[],[],
10,Trbovlje,Krsko,29.7,True,[75.5],[145.0],
11,Jesenice,Ajdovscina,56.7,True,[116.0],[256.4],
12,Portoroz,Ajdovscina,30.6,False,[],[],
13,Ormoz,Slovenskattbistrica,54.9,True,[61.0],[195.0],
14,Ormoz,Dravograd,29.7,True,[68.0],[195.0],
15,Peercelje_0,Ptuj,46.800000000000004,False,[],[],
16,Jesenice,Rogasjattslatina,57.6,True,[64.0],[164.6],
17,Tolmin,Sezana,76.5,True,[102.0],[220.0],
18,Ajdovscina,Murskattsobota,50.4,True,[191.5],[336.2],
19,Postojna,Velenje,37.800000000000004,True,[64.2],[175.0],
20,Velenje,Jesenice,50.4,True,[90.8],[215.9],
21,Gornjattradgona,Novottmesto,89.10000000000001,False,[369.0],[511.8],
22,Peercelje_0,Sezana,69.3,True,[195.0],[340.2],
23,Koper,Ptuj,39.6,True,[44.0],[191.0],
24,Dravograd,Slovenskattbistrica,29.7,True,[99.0],[116.6],
25,Ormoz,Novottmesto,69.3,False,[],[],
26,Rogasjattslatina,Portoroz,27.0,False,[],[],
27,Gornjattradgona,Ljubljana,81.0,True,[365.0],[389.3],
28,Sezana,Postojna,49.5,True,[188.0],[188.0],
29,Slovenjttgradec,Ormoz,41.4,False,[],[],
30,Portoroz,Koper,30.6,True,[162.0],[174.0],
31,Dravograd,Ajdovscina,33.300000000000004,True,[110.0],[458.0],
32,Novattgorica,Celje,45.0,False,[17.5],[112.0],Ljubljana-Kamnik(17.5); Kamnik-Celje(17.5)
33,Novattgorica,Jesenice,57.6,True,[187.0],[381.8],
34,Gornjattradgona,Peercelje_0,89.10000000000001,True,[174.0],[295.0],
35,Dravograd,Celje,58.5,True,[199.0],[255.0],
36,Ravnettnattkoroskem,Trbovlje,35.1,True,[125.8],[209.0],
37,Trbovlje,Ajdovscina,67.5,True,[187.0],[330.0],
38,Sezana,Peercelje_0,56.7,False,[],[],
39,Murskattsobota,Maribor,67.5,False,[56.0],[156.0],Ljutomer-Ormoz(56.0); Ormoz-Ptuj(56.0)
40,Ptuj,Slovenjttgradec,27.0,True,[58.5],[150.5],
41,Gornjattradgona,Krsko,48.6,False,[35.1],[191.0],Ptuj-Rogasjattslatina(35.1)
42,Ajdovscina,Bled,70.2,False,[27.0],[152.0],Tolmin-Bled(27.0)
43,Celje,Radenci,74.7,True,[165.0],[236.1],
44,Slovenjttgradec,Ormoz,53.1,False,[],[],
45,Peercelje_0,Slovenjttgradec,27.0,False,[],[],
46,Radenci,Krsko,31.5,False,[],[],
47,Izola,Lasko,50.4,False,[41.0],[211.0],Maribor-Lasko(41.0)
48,Portoroz,Ptuj,29.7,False,[19.8],[184.0],Divaca-Koper(19.8)
49,Divaca,Novottmesto,31.5,True,[160.0],[350.8],
50,Jesenice,Postojna,73.8,True,[82.0],[179.0],
51,Koper,Novottmesto,27.0,True,[90.0],[188.8],
52,Postojna,Radenci,57.6,True,[80.0],[182.0],
53,Novattgorica,Portoroz,45.0,True,[150.0],[191.8],
54,Kovevje,Sezana,68.4,False,[303.0],[513.0],
55,Lasko,Novottmesto,27.900000000000002,True,[31.0],[182.9],
56,Izola,Ajdovscina,71.10000000000001,False,[66.0],[193.0],Novattgorica-Ajdovscina(66.0)
57,Ljubljana,Izola,29.7,True,[133.0],[273.0],
58,Novottmesto,Celje,54.0,True,[140.9],[246.0],
59,Tolmin,Kranj,53.1,False,[],[],
60,Senozece,Novattgorica,47.7,False,[31.8],[199.0],Ljubljana-Novattgorica(31.8)
61,Jesenice,Divaca,30.6,False,[22.1],[186.0],Ajdovscina-Divaca(22.1)
62,Gornjattradgona,Slovenskattbistrica,54.0,True,[180.0],[307.0],
63,Celje,Krsko,63.9,True,[183.0],[281.0],
64,Celje,Ormoz,30.6,False,[],[],
65,Trbovlje,Rogasjattslatina,63.9,True,[182.0],[259.0],
66,Postojna,Slovenjttgradec,37.800000000000004,False,[14.7],[170.7],Dravograd-Slovenjttgradec(14.7)
67,Gornjattradgona,Ljutomer,71.10000000000001,True,[82.0],[165.0],
68,Velenje,Kovevje,72.9,True,[314.0],[327.0],
69,Murskattsobota,Ptuj,83.7,False,[40.0],[198.0],Murskattsobota-Radenci(40.0); Radenci-Gornjattradgona(52.0)
70,Tolmin,Kranj,27.0,False,[],[],
71,Portoroz,Velenje,48.6,False,[],[],
72,Bled,Ajdovscina,72.0,False,[],[],
73,Izola,Radenci,66.60000000000001,True,[82.0],[195.0],
74,Tolmin,Divaca,80.10000000000001,False,[35.6],[90.0],Novattgorica-Ajdovscina(60.0); Ajdovscina-Divaca(35.6)
75,Krsko,Radenci,82.8,False,[],[],
76,Velenje,Izola,27.0,False,[],[],
77,Senozece,Ljubljana,40.5,True,[43.0],[121.0],
78,Portoroz,Ravnettnattkoroskem,36.9,False,[],[],
79,Velenje,Radenci,46.800000000000004,True,[139.0],[278.2],
80,Velenje,Novottmesto,66.60000000000001,True,[238.8],[409.0],
81,Velenje,Divaca,80.10000000000001,False,[],[],
82,Peercelje_0,Bled,46.800000000000004,True,[109.0],[315.0],
83,Tolmin,Izola,42.300000000000004,False,[],[],
84,Jesenice,Senozece,54.9,True,[183.0],[351.9],
85,Peercelje_0,Novottmesto,48.6,False,[],[],
86,Rogasjattslatina,Dravograd,57.6,True,[85.7],[159.7],
87,Slovenskattbistrica,Slovenjttgradec,87.3,False,[38.0],[96.0],Celje-Velenje(67.9); Velenje-Slovenjttgradec(38.0)
88,Ljutomer,Lasko,39.6,True,[216.5],[298.5],
89,Peercelje_0,Kovevje,54.0,False,[],[],
90,Sezana,Jesenice,67.5,True,[184.0],[301.0],
91,Velenje,Ljubljana,84.60000000000001,True,[160.0],[160.4],
92,Divaca,Murskattsobota,31.5,True,[119.0],[361.0],
93,Lasko,Izola,40.5,True,[122.0],[384.1],
94,Lasko,Ljutomer,50.4,False,[],[],
95,Celje,Slovenjttgradec,86.4,False,[],[],
96,Peercelje_0,Slovenjttgradec,41.4,True,[54.4],[236.0],
97,Novattgorica,Gornjattradgona,42.300000000000004,False,[],[],
98,Postojna,Jesenice,27.0,False,[],[],
99,Velenje,Ravnettnattkoroskem,30.6,True,[118.5],[140.0],
100,Velenje,Sezana,81.0,True,[128.0],[258.0],
101,Jesenice,Ajdovscina,27.0,True,[90.0],[243.6],
102,Tolmin,Divaca,72.9,False,[],[],
103,Kovevje,Radenci,71.10000000000001,True,[177.0],[272.4],
104,Sezana,Kamnik,62.1,True,[84.0],[199.0],
105,Ormoz,Kovevje,50.4,False,[40.0],[184.0],Ljubljana-Kovevje(40.0)
106,Ljubljana,Ajdovscina,27.0,True,[157.0],[260.0],
107,Radenci,Peercelje_0,42.300000000000004,False,[11.7],[191.0],Slovenskattbistrica-Celje(11.7)
108,Ptuj,Novattgorica,47.7,True,[105.0],[200.0],
109,Postojna,Ajdovscina,28.8,True,[34.0],[198.0],
110,Tolmin,Postojna,44.1,True,[53.0],[135.6],
111,Bled,Dravograd,45.9,True,[93.1],[195.0],
112,Portoroz,Senozece,70.2,True,[234.0],[319.0],
113,Novattgorica,Slovenjttgradec,82.8,False,[64.4],[226.8],Novattgorica-Ljubljana(74.0); Dravograd-Slovenjttgradec(64.4)
114,Divaca,Ptuj,77.4,True,[315.6],[462.0],
115,Ajdovscina,Krsko,45.0,True,[152.0],[250.0],
116,Izola,Kovevje,71.10000000000001,True,[111.0],[215.0],
117,Izola,Bled,81.9,False,[59.0],[91.0],Kranj-Bled(59.0)
118,Novattgorica,Radenci,27.0,False,[],[],
119,Ajdovscina,Gornjattradgona,79.2,True,[238.5],[413.4],
120,Tolmin,Ormoz,45.9,True,[193.0],[300.0],
121,Bled,Lasko,42.300000000000004,True,[131.6],[188.0],
122,Kranj,Velenje,45.9,True,[49.5],[113.5],
123,Trbovlje,Celje,54.0,True,[144.3],[181.0],
124,Slovenjttgradec,Portoroz,75.60000000000001,True,[168.0],[284.0],
125,Lasko,Rogasjattslatina,55.800000000000004,True,[78.5],[159.7],
126,Slovenskattbistrica,Portoroz,30.6,False,[],[],
127,Ravnettnattkoroskem,Gornjattradgona,38.7,False,[],[],
