sample_id,source,destination,sla,satisfied,min_bw_top_paths,max_bw_top_paths
summary,,,,25.23%,,
0,Novattgorica,Rogasjattslatina,69.0,True,[96.0],
1,Rogasjattslatina,Radenci,112.5,False,[79.1],
2,Dravograd,Izola,57.0,False,[54.2],
3,Portoroz,Krsko,66.0,False,[],
4,Lasko,Tolmin,48.0,True,[72.4],
5,Kranj,Murskattsobota,106.5,False,[],
6,Peercelje_0,Ravnettnattkoroskem,106.5,False,[55.0],
7,Rogasjattslatina,Ljutomer,61.5,False,[],
8,Ormoz,Lasko,48.0,False,[17.6],
9,Postojna,Celje,121.5,False,[],
10,Trbovlje,Krsko,49.5,True,[75.5],
11,Jesenice,Ajdovscina,94.5,False,[54.0],
12,Portoroz,Ajdovscina,51.0,False,[],
13,Ormoz,Slovenskattbistrica,91.5,False,[61.0],
14,Ormoz,Dravograd,49.5,True,[68.0],
15,Peercelje_0,Ptuj,78.0,False,[],
16,Jesenice,Rogasjattslatina,96.0,False,[64.0],
17,Tolmin,Sezana,127.5,False,[34.0],
18,Ajdovscina,Murskattsobota,84.0,False,[79.5],
19,Postojna,Velenje,63.0,True,[64.2],
20,Velenje,Jesenice,84.0,False,[51.0],
21,Gornjattradgona,Novottmesto,148.5,False,[67.0],
22,Peercelje_0,Sezana,115.5,False,[41.0],
23,Koper,Ptuj,66.0,False,[44.0],
24,Dravograd,Slovenskattbistrica,49.5,False,[33.0],
25,Ormoz,Novottmesto,115.5,False,[],
26,Rogasjattslatina,Portoroz,45.0,False,[],
27,Gornjattradgona,Ljubljana,135.0,True,[185.0],
28,Sezana,Postojna,82.5,False,[78.0],
29,Slovenjttgradec,Ormoz,69.0,False,[],
30,Portoroz,Koper,51.0,True,[94.0],
31,Dravograd,Ajdovscina,55.5,False,[36.0],
32,Novattgorica,Celje,75.0,False,[17.5],
33,Novattgorica,Jesenice,96.0,False,[33.0],
34,Gornjattradgona,Peercelje_0,148.5,False,[66.0],
35,Dravograd,Celje,97.5,False,[69.0],
36,Ravnettnattkoroskem,Trbovlje,58.5,False,[47.8],
37,Trbovlje,Ajdovscina,112.5,False,[37.0],
38,Sezana,Peercelje_0,94.5,False,[],
39,Murskattsobota,Maribor,112.5,False,[56.0],
40,Ptuj,Slovenjttgradec,45.0,True,[58.5],
41,Gornjattradgona,Krsko,81.0,False,[35.1],
42,Ajdovscina,Bled,117.0,False,[27.0],
43,Celje,Radenci,124.5,False,[49.0],
44,Slovenjttgradec,Ormoz,88.5,False,[],
45,Peercelje_0,Slovenjttgradec,45.0,False,[],
46,Radenci,Krsko,52.5,False,[],
47,Izola,Lasko,84.0,False,[41.0],
48,Portoroz,Ptuj,49.5,False,[19.8],
49,Divaca,Novottmesto,52.5,True,[90.0],
50,Jesenice,Postojna,123.0,False,[82.0],
51,Koper,Novottmesto,45.0,True,[90.0],
52,Postojna,Radenci,96.0,False,[80.0],
53,Novattgorica,Portoroz,75.0,False,[50.0],
54,Kovevje,Sezana,114.0,True,[151.0],
55,Lasko,Novottmesto,46.5,False,[31.0],
56,Izola,Ajdovscina,118.5,False,[66.0],
57,Ljubljana,Izola,49.5,True,[67.0],
58,Novottmesto,Celje,90.0,False,[20.9],
59,Tolmin,Kranj,88.5,False,[],
60,Senozece,Novattgorica,79.5,False,[31.8],
61,Jesenice,Divaca,51.0,False,[22.1],
62,Gornjattradgona,Slovenskattbistrica,90.0,False,[60.0],
63,Celje,Krsko,106.5,False,[41.0],
64,Celje,Ormoz,51.0,False,[],
65,Trbovlje,Rogasjattslatina,106.5,False,[98.0],
66,Postojna,Slovenjttgradec,63.0,False,[14.7],
67,Gornjattradgona,Ljutomer,118.5,False,[82.0],
68,Velenje,Kovevje,121.5,True,[152.0],
69,Murskattsobota,Ptuj,139.5,False,[40.0],
70,Tolmin,Kranj,45.0,False,[],
71,Portoroz,Velenje,81.0,False,[],
72,Bled,Ajdovscina,120.0,False,[],
73,Izola,Radenci,111.0,False,[82.0],
74,Tolmin,Divaca,133.5,False,[35.6],
75,Krsko,Radenci,138.0,False,[],
76,Velenje,Izola,45.0,False,[],
77,Senozece,Ljubljana,67.5,False,[43.0],
78,Portoroz,Ravnettnattkoroskem,61.5,False,[],
79,Velenje,Radenci,78.0,False,[35.0],
80,Velenje,Novottmesto,111.0,False,[77.0],
81,Velenje,Divaca,133.5,False,[],
82,Peercelje_0,Bled,78.0,True,[79.0],
83,Tolmin,Izola,70.5,False,[],
84,Jesenice,Senozece,91.5,False,[61.0],
85,Peercelje_0,Novottmesto,81.0,False,[],
86,Rogasjattslatina,Dravograd,96.0,False,[85.7],
87,Slovenskattbistrica,Slovenjttgradec,145.5,False,[38.0],
88,Ljutomer,Lasko,66.0,True,[128.5],
89,Peercelje_0,Kovevje,90.0,False,[],
90,Sezana,Jesenice,112.5,False,[34.0],
91,Velenje,Ljubljana,141.0,False,[86.0],
92,Divaca,Murskattsobota,52.5,True,[81.0],
93,Lasko,Izola,67.5,False,[64.0],
94,Lasko,Ljutomer,84.0,False,[],
95,Celje,Slovenjttgradec,144.0,False,[],
96,Peercelje_0,Slovenjttgradec,69.0,False,[18.4],
97,Novattgorica,Gornjattradgona,70.5,False,[],
98,Postojna,Jesenice,45.0,False,[],
99,Velenje,Ravnettnattkoroskem,51.0,False,[50.5],
100,Velenje,Sezana,135.0,False,[48.0],
101,Jesenice,Ajdovscina,45.0,False,[30.0],
102,Tolmin,Divaca,121.5,False,[],
103,Kovevje,Radenci,118.5,False,[115.0],
104,Sezana,Kamnik,103.5,False,[84.0],
105,Ormoz,Kovevje,84.0,False,[40.0],
106,Ljubljana,Ajdovscina,45.0,True,[97.0],
107,Radenci,Peercelje_0,70.5,False,[11.7],
108,Ptuj,Novattgorica,79.5,True,[105.0],
109,Postojna,Ajdovscina,48.0,False,[34.0],
110,Tolmin,Postojna,73.5,False,[53.0],
111,Bled,Dravograd,76.5,False,[27.1],
112,Portoroz,Senozece,117.0,False,[78.0],
113,Novattgorica,Slovenjttgradec,138.0,False,[64.4],
114,Divaca,Ptuj,129.0,True,[143.6],
115,Ajdovscina,Krsko,75.0,True,[92.0],
116,Izola,Kovevje,118.5,False,[79.0],
117,Izola,Bled,136.5,False,[59.0],
118,Novattgorica,Radenci,45.0,False,[],
119,Ajdovscina,Gornjattradgona,132.0,False,[73.0],
120,Tolmin,Ormoz,76.5,True,[91.0],
121,Bled,Lasko,70.5,False,[37.6],
122,Kranj,Velenje,76.5,False,[49.5],
123,Trbovlje,Celje,90.0,False,[24.3],
124,Slovenjttgradec,Portoroz,126.0,False,[84.0],
125,Lasko,Rogasjattslatina,93.0,False,[78.5],
126,Slovenskattbistrica,Portoroz,51.0,False,[],
127,Ravnettnattkoroskem,Gornjattradgona,64.5,False,[],
128,Novattgorica,Celje,109.5,False,[80.0],
129,Lasko,Ravnettnattkoroskem,142.5,False,[85.8],
130,Velenje,Murskattsobota,57.0,False,[],
131,Divaca,Maribor,111.0,True,[122.7],
132,Radenci,Slovenjttgradec,111.0,False,[],
133,Bled,Izola,78.0,False,[63.0],
134,Peercelje_0,Velenje,61.5,True,[99.0],
135,Murskattsobota,Koper,48.0,False,[32.0],
136,Trbovlje,Izola,46.5,False,[],
137,Peercelje_0,Kovevje,139.5,False,[],
138,Postojna,Gornjattradgona,115.5,False,[77.0],
139,Kamnik,Ormoz,51.0,False,[],
140,Slovenskattbistrica,Izola,49.5,False,[],
141,Krsko,Izola,61.5,False,[41.0],
142,Kranj,Novottmesto,46.5,True,[87.7],
143,Sezana,Novottmesto,45.0,False,[],
144,Divaca,Kovevje,84.0,True,[87.0],
145,Slovenskattbistrica,Murskattsobota,63.0,False,[],
146,Dravograd,Postojna,133.5,True,[173.7],
147,Jesenice,Gornjattradgona,99.0,False,[39.6],
148,Divaca,Velenje,84.0,False,[67.0],
149,Ajdovscina,Koper,115.5,False,[77.0],
150,Senozece,Kamnik,106.5,False,[25.4],
151,Kamnik,Murskattsobota,58.5,True,[130.0],
152,Ajdovscina,Ljutomer,55.5,False,[37.0],
153,Jesenice,Lasko,49.5,True,[66.0],
154,Postojna,Tolmin,150.0,False,[90.0],
155,Ptuj,Radenci,76.5,False,[51.0],
156,Ljubljana,Ormoz,97.5,False,[95.0],
157,Maribor,Celje,123.0,False,[32.0],
158,Postojna,Radenci,45.0,True,[101.5],
159,Murskattsobota,Ajdovscina,124.5,False,[83.0],
160,Ravnettnattkoroskem,Ljutomer,57.0,False,[],
161,Ptuj,Ajdovscina,55.5,True,[76.0],
162,Senozece,Izola,105.0,False,[41.0],
163,Divaca,Radenci,90.0,False,[69.0],
164,Ptuj,Divaca,64.5,False,[49.0],
165,Portoroz,Kamnik,46.5,False,[],
166,Slovenjttgradec,Radenci,123.0,False,[],
167,Jesenice,Radenci,60.0,True,[71.2],
168,Ormoz,Slovenskattbistrica,103.5,False,[69.0],
169,Velenje,Ptuj,144.0,False,[96.0],
170,Senozece,Koper,93.0,False,[53.0],
171,Slovenskattbistrica,Lasko,46.5,False,[],
172,Kovevje,Jesenice,103.5,False,[43.9],
173,Radenci,Rogasjattslatina,64.5,False,[43.0],
174,Ptuj,Slovenjttgradec,115.5,False,[38.0],
175,Rogasjattslatina,Dravograd,109.5,False,[54.0],
176,Ravnettnattkoroskem,Ljutomer,63.0,False,[],
177,Postojna,Peercelje_0,115.5,False,[],
178,Maribor,Ravnettnattkoroskem,129.0,False,[],
179,Ajdovscina,Bled,102.0,False,[],
180,Ljutomer,Postojna,73.5,False,[49.0],
181,Tolmin,Peercelje_0,81.0,False,[18.4],
182,Ravnettnattkoroskem,Trbovlje,136.5,False,[],
183,Postojna,Ormoz,142.5,False,[87.0],
184,Ljubljana,Velenje,69.0,False,[46.0],
185,Slovenskattbistrica,Divaca,109.5,False,[],
186,Sezana,Maribor,64.5,False,[],
187,Velenje,Postojna,78.0,False,[73.0],
188,Ljubljana,Senozece,60.0,True,[76.0],
189,Koper,Sezana,49.5,False,[35.0],
190,Bled,Rogasjattslatina,132.0,False,[39.6],
191,Novattgorica,Ravnettnattkoroskem,142.5,False,[],
192,Bled,Kovevje,63.0,True,[88.0],
193,Ljutomer,Dravograd,58.5,True,[127.3],
194,Ravnettnattkoroskem,Ormoz,63.0,False,[27.3],
195,Rogasjattslatina,Radenci,111.0,False,[67.0],
196,Ajdovscina,Rogasjattslatina,75.0,True,[100.0],
197,Slovenjttgradec,Kamnik,81.0,False,[54.0],
198,Portoroz,Velenje,64.5,False,[56.4],
199,Ravnettnattkoroskem,Murskattsobota,112.5,False,[],
200,Novattgorica,Senozece,51.0,False,[40.7],
201,Maribor,Radenci,112.5,False,[30.0],
202,Sezana,Novottmesto,133.5,False,[],
203,Velenje,Trbovlje,46.5,False,[31.0],
204,Ajdovscina,Gornjattradgona,45.0,False,[30.0],
205,Dravograd,Portoroz,46.5,False,[46.0],
206,Krsko,Ravnettnattkoroskem,54.0,True,[58.4],
207,Maribor,Ravnettnattkoroskem,109.5,False,[90.0],
208,Ravnettnattkoroskem,Slovenskattbistrica,121.5,False,[24.3],
209,Novattgorica,Sezana,96.0,False,[33.0],
210,Divaca,Bled,132.0,False,[46.2],
211,Rogasjattslatina,Ormoz,127.5,False,[],
212,Maribor,Radenci,145.5,True,[158.6],
213,Novattgorica,Jesenice,55.5,False,[23.1],
214,Novattgorica,Lasko,84.0,False,[45.0],
215,Maribor,Ravnettnattkoroskem,52.5,True,[126.0],
216,Lasko,Ormoz,51.0,True,[74.0],
217,Ptuj,Koper,45.0,True,[113.8],
218,Bled,Lasko,63.0,True,[77.0],
219,Trbovlje,Dravograd,114.0,False,[81.0],
220,Ajdovscina,Sezana,58.5,False,[39.0],
221,Izola,Tolmin,81.0,False,[54.0],
222,Portoroz,Dravograd,85.5,False,[],
223,Ptuj,Trbovlje,49.5,True,[90.0],
224,Postojna,Ormoz,72.0,True,[110.3],
225,Murskattsobota,Ljubljana,150.0,False,[86.2],
226,Ajdovscina,Slovenskattbistrica,81.0,False,[54.0],
227,Bled,Murskattsobota,57.0,False,[],
228,Ptuj,Sezana,97.5,True,[110.0],
229,Tolmin,Kamnik,82.5,False,[],
230,Peercelje_0,Dravograd,123.0,False,[],
231,Jesenice,Postojna,49.5,False,[33.0],
232,Jesenice,Dravograd,48.0,True,[100.0],
233,Kranj,Slovenskattbistrica,94.5,False,[22.0],
234,Slovenskattbistrica,Ormoz,69.0,False,[64.0],
235,Krsko,Gornjattradgona,147.0,False,[38.0],
