sample_id,source,destination,sla,satisfied,min_bw_top_paths,max_bw_top_paths
summary,,,,52.70%,,
0,Novattgorica,Rogasjattslatina,69.0,True,[96.0],[174.0]
1,Rogasjattslatina,Radenci,112.5,True,[131.6],[251.2]
2,Dravograd,Izola,57.0,True,[80.8],[177.4]
3,Portoroz,Krsko,66.0,False,[],[]
4,Lasko,Tolmin,48.0,True,[72.4],[186.0]
5,Kranj,Murskattsobota,106.5,False,[],[]
6,Peercelje_0,Ravnettnattkoroskem,106.5,False,[104.7],[243.7]
7,Rogasjattslatina,Ljutomer,61.5,False,[],[]
8,Ormoz,Lasko,48.0,False,[17.6],[195.0]
9,Postojna,Celje,121.5,False,[],[]
10,Trbovlje,Krsko,49.5,True,[98.6],[168.1]
11,Jesenice,Ajdovscina,94.5,False,[54.0],[194.4]
12,Portoroz,Ajdovscina,51.0,False,[],[]
13,Ormoz,Slovenskattbistrica,91.5,True,[103.7],[237.7]
14,Ormoz,Dravograd,49.5,True,[68.0],[195.0]
15,Peercelje_0,Ptuj,78.0,False,[],[]
16,Jesenice,Rogasjattslatina,96.0,True,[108.8],[209.4]
17,Tolmin,Sezana,127.5,True,[34.0],[152.0]
18,Ajdovscina,Murskattsobota,84.0,True,[118.7],[263.4]
19,Postojna,Velenje,63.0,True,[93.6],[204.4]
20,Velenje,Jesenice,84.0,True,[90.2],[177.1]
21,Gornjattradgona,Novottmesto,148.5,False,[67.0],[191.8]
22,Peercelje_0,Sezana,115.5,False,[94.9],[240.1]
23,Koper,Ptuj,66.0,False,[44.0],[191.0]
24,Dravograd,Slovenskattbistrica,49.5,True,[56.1],[73.7]
25,Ormoz,Novottmesto,115.5,False,[],[]
26,Rogasjattslatina,Portoroz,45.0,False,[],[]
27,Gornjattradgona,Ljubljana,135.0,True,[248.0],[272.3]
28,Sezana,Postojna,82.5,True,[116.5],[116.5]
29,Slovenjttgradec,Ormoz,69.0,False,[],[]
30,Portoroz,Koper,51.0,True,[117.8],[129.8]
31,Dravograd,Ajdovscina,55.5,True,[61.9],[211.9]
32,Novattgorica,Celje,75.0,False,[52.5],[97.0]
33,Novattgorica,Jesenice,96.0,False,[33.0],[85.8]
34,Gornjattradgona,Peercelje_0,148.5,False,[135.3],[256.3]
35,Dravograd,Celje,97.5,True,[114.5],[170.5]
36,Ravnettnattkoroskem,Trbovlje,58.5,False,[47.8],[131.0]
37,Trbovlje,Ajdovscina,112.5,False,[62.9],[205.9]
38,Sezana,Peercelje_0,94.5,False,[],[]
39,Murskattsobota,Maribor,112.5,False,[56.0],[156.0]
40,Ptuj,Slovenjttgradec,45.0,True,[79.5],[171.5]
41,Gornjattradgona,Krsko,81.0,False,[72.9],[228.8]
42,Ajdovscina,Bled,117.0,False,[81.6],[206.6]
