Device,Interface,IP Address,Subnet Mask,Description
ajdovscina,FastEthernet0/0,10.0.0.69,/31,"""To Divaca"""
ajdovscina,FastEthernet0/1,10.0.0.49,/31,"""To NovaTTGorica"""
bled,FastEthernet0/0,10.0.0.27,/31,"""To Kranj"""
bled,FastEthernet0/1,10.0.0.30,/31,"""To Tolmin"""
celje,FastEthernet0/0,10.0.0.12,/31,"""To Kamnik"""
celje,FastEthernet0/1,10.0.0.10,/31,"""To Lasko"""
celje,FastEthernet1/0,10.0.0.16,/31,"""To PeerCelje_0"""
celje,FastEthernet1/1,10.0.0.14,/31,"""To SlovenskaTTBistrica"""
celje,FastEthernet2/0,10.0.0.8,/31,"""To Velenje"""
divaca,FastEthernet0/0,10.0.0.68,/31,"""To Ajdovscina"""
divaca,FastEthernet0/1,10.0.0.70,/31,"""To Koper"""
divaca,FastEthernet1/0,10.0.0.51,/31,"""To Portoroz"""
divaca,FastEthernet1/1,10.0.0.65,/31,"""To Senozece"""
dravograd,FastEthernet0/0,10.0.0.89,/31,"""To Maribor"""
dravograd,FastEthernet0/1,10.0.0.92,/31,"""To RavneTTnaTTKoroskem"""
dravograd,FastEthernet1/0,10.0.0.75,/31,"""To SlovenjTTGradec"""
dravograd,FastEthernet1/1,10.0.0.79,/31,"""To Velenje"""
gornjattradgona,FastEthernet0/0,10.0.0.56,/31,"""To Maribor"""
gornjattradgona,FastEthernet0/1,10.0.0.54,/31,"""To Radenci"""
izola,FastEthernet0/0,10.0.0.72,/31,"""To Koper"""
izola,FastEthernet0/1,10.0.0.53,/31,"""To Portoroz"""
jesenice,FastEthernet0/0,10.0.0.23,/31,"""To Kranj"""
kamnik,FastEthernet0/0,10.0.0.13,/31,"""To Celje"""
kamnik,FastEthernet0/1,10.0.0.41,/31,"""To Ljubljana"""
koper,FastEthernet0/0,10.0.0.71,/31,"""To Divaca"""
koper,FastEthernet0/1,10.0.0.73,/31,"""To Izola"""
koper,FastEthernet1/0,10.0.0.25,/31,"""To Kranj"""
koper,FastEthernet1/1,10.0.0.43,/31,"""To Ljubljana"""
kovevje,FastEthernet0/0,10.0.0.39,/31,"""To Ljubljana"""
kovevje,FastEthernet0/1,10.0.0.33,/31,"""To NovoTTMesto"""
kranj,FastEthernet0/0,10.0.0.26,/31,"""To Bled"""
kranj,FastEthernet0/1,10.0.0.22,/31,"""To Jesenice"""
kranj,FastEthernet1/0,10.0.0.24,/31,"""To Koper"""
kranj,FastEthernet1/1,10.0.0.28,/31,"""To Ljubljana"""
krsko,FastEthernet0/0,10.0.0.6,/31,"""To NovoTTMesto"""
krsko,FastEthernet0/1,10.0.0.4,/31,"""To RogasjaTTSlatina"""
lasko,FastEthernet0/0,10.0.0.11,/31,"""To Celje"""
lasko,FastEthernet0/1,10.0.0.20,/31,"""To Ljubljana"""
lasko,FastEthernet1/0,10.0.0.18,/31,"""To Maribor"""
lasko,FastEthernet1/1,10.0.0.1,/31,"""To Trbovlje"""
ljubljana,FastEthernet0/0,10.0.0.40,/31,"""To Kamnik"""
ljubljana,FastEthernet0/1,10.0.0.42,/31,"""To Koper"""
ljubljana,FastEthernet1/0,10.0.0.38,/31,"""To Kovevje"""
ljubljana,FastEthernet1/1,10.0.0.29,/31,"""To Kranj"""
ljubljana,FastEthernet2/0,10.0.0.21,/31,"""To Lasko"""
ljubljana,FastEthernet2/1,10.0.0.44,/31,"""To Maribor"""
ljubljana,FastEthernet3/0,10.0.0.34,/31,"""To NovaTTGorica"""
ljubljana,FastEthernet3/1,10.0.0.36,/31,"""To Postojna"""
ljubljana,FastEthernet4/0,10.0.0.3,/31,"""To Trbovlje"""
ljutomer,FastEthernet0/0,10.0.0.81,/31,"""To MurskaTTSobota"""
ljutomer,FastEthernet0/1,10.0.0.82,/31,"""To Ormoz"""
maribor,FastEthernet0/0,10.0.0.88,/31,"""To Dravograd"""
maribor,FastEthernet0/1,10.0.0.57,/31,"""To GornjaTTRadgona"""
maribor,FastEthernet1/0,10.0.0.19,/31,"""To Lasko"""
maribor,FastEthernet1/1,10.0.0.45,/31,"""To Ljubljana"""
maribor,FastEthernet2/0,10.0.0.87,/31,"""To Ptuj"""
maribor,FastEthernet2/1,10.0.0.90,/31,"""To SlovenskaTTBistrica"""
murskattsobota,FastEthernet0/0,10.0.0.80,/31,"""To Ljutomer"""
murskattsobota,FastEthernet0/1,10.0.0.59,/31,"""To Radenci"""
novattgorica,FastEthernet0/0,10.0.0.48,/31,"""To Ajdovscina"""
novattgorica,FastEthernet0/1,10.0.0.35,/31,"""To Ljubljana"""
novattgorica,FastEthernet1/0,10.0.0.47,/31,"""To Tolmin"""
novottmesto,FastEthernet0/0,10.0.0.32,/31,"""To Kovevje"""
novottmesto,FastEthernet0/1,10.0.0.7,/31,"""To Krsko"""
ormoz,FastEthernet0/0,10.0.0.83,/31,"""To Ljutomer"""
ormoz,FastEthernet0/1,10.0.0.84,/31,"""To Ptuj"""
peercelje_0,FastEthernet0/0,10.0.0.17,/31,"""To Celje"""
peercelje_0,Loopback0,128.0.0.1,/24,"""For P_PeerCelje_0"""
portoroz,FastEthernet0/0,10.0.0.50,/31,"""To Divaca"""
portoroz,FastEthernet0/1,10.0.0.52,/31,"""To Izola"""
postojna,FastEthernet0/0,10.0.0.37,/31,"""To Ljubljana"""
postojna,FastEthernet0/1,10.0.0.67,/31,"""To Senozece"""
ptuj,FastEthernet0/0,10.0.0.86,/31,"""To Maribor"""
