Interface,Access_VLAN,Active,Admin_Up,All_Prefixes,Allowed_VLANs,Auto_State_VLAN,Bandwidth,Blacklisted,Channel_Group,Channel_Group_Members,DHCP_Relay_Addresses,Declared_Names,Description,Encapsulation_VLAN,HSRP_Groups,HSRP_Version,Inactive_Reason,Incoming_Filter_Name,MLAG_ID,MTU,Native_VLAN,Outgoing_Filter_Name,PBR_Policy_Name,Primary_Address,Primary_Network,Proxy_ARP,Rip_Enabled,Rip_Passive,Spanning_Tree_Portfast,Speed,Switchport,Switchport_Mode,Switchport_Trunk_Encapsulation,VRF,VRRP_Groups,Zone_Name
ajdovscina[FastEthernet0/0],,True,True,['10.0.0.69/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Divaca""",,[],,,,,1500,,,,10.0.0.69/31,10.0.0.68/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
ajdovscina[FastEthernet0/1],,True,True,['10.0.0.49/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To NovaTTGorica""",,[],,,,,1500,,,,10.0.0.49/31,10.0.0.48/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
bled[FastEthernet0/0],,True,True,['10.0.0.27/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Kranj""",,[],,,,,1500,,,,10.0.0.27/31,10.0.0.26/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
bled[FastEthernet0/1],,True,True,['10.0.0.30/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Tolmin""",,[],,,,,1500,,,,10.0.0.30/31,10.0.0.30/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
celje[FastEthernet0/0],,True,True,['10.0.0.12/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Kamnik""",,[],,,,,1500,,,,10.0.0.12/31,10.0.0.12/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
celje[FastEthernet0/1],,True,True,['10.0.0.10/31'],,True,100000000.0,False,,[],[],['Fa0/1'],"""To Lasko""",,[],,,,,1500,,,,10.0.0.10/31,10.0.0.10/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
celje[FastEthernet1/0],,True,True,['10.0.0.16/31'],,True,100000000.0,False,,[],[],['Fa1/0'],"""To PeerCelje_0""",,[],,,,,1500,,,,10.0.0.16/31,10.0.0.16/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
celje[FastEthernet1/1],,True,True,['10.0.0.14/31'],,True,100000000.0,False,,[],[],['Fa1/1'],"""To SlovenskaTTBistrica""",,[],,,,,1500,,,,10.0.0.14/31,10.0.0.14/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
celje[FastEthernet2/0],,True,True,['10.0.0.8/31'],,True,100000000.0,False,,[],[],['Fa2/0'],"""To Velenje""",,[],,,,,1500,,,,10.0.0.8/31,10.0.0.8/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
divaca[FastEthernet0/0],,True,True,['10.0.0.68/31'],,True,100000000.0,False,,[],[],['Fa0/0'],"""To Ajdovscina""",,[],,,,,1500,,,,10.0.0.68/31,10.0.0.68/31,True,False,False,False,100000000.0,False,NONE,DOT1Q,default,[],
