Node,VRF,Network,Next_Hop,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
ajdovscina,default,10.0.0.48/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
ajdovscina,default,10.0.0.49/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
ajdovscina,default,10.0.0.68/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
ajdovscina,default,10.0.0.69/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
bled,default,10.0.0.26/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
bled,default,10.0.0.27/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
bled,default,10.0.0.30/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
bled,default,10.0.0.30/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
celje,default,10.0.0.8/31,interface FastEthernet2/0,AUTO/NONE(-1l),FastEthernet2/0,connected,0,0,
celje,default,10.0.0.8/32,interface FastEthernet2/0,AUTO/NONE(-1l),FastEthernet2/0,local,0,0,
celje,default,10.0.0.10/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
celje,default,10.0.0.10/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
celje,default,10.0.0.12/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
celje,default,10.0.0.12/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
celje,default,10.0.0.14/31,interface FastEthernet1/1,AUTO/NONE(-1l),FastEthernet1/1,connected,0,0,
celje,default,10.0.0.14/32,interface FastEthernet1/1,AUTO/NONE(-1l),FastEthernet1/1,local,0,0,
celje,default,10.0.0.16/31,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
celje,default,10.0.0.16/32,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,local,0,0,
celje,default,128.0.0.0/24,ip 10.0.0.17,10.0.0.17,dynamic,bgp,0,20,
divaca,default,10.0.0.50/31,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
divaca,default,10.0.0.51/32,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,local,0,0,
divaca,default,10.0.0.64/31,interface FastEthernet1/1,AUTO/NONE(-1l),FastEthernet1/1,connected,0,0,
divaca,default,10.0.0.65/32,interface FastEthernet1/1,AUTO/NONE(-1l),FastEthernet1/1,local,0,0,
divaca,default,10.0.0.68/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
divaca,default,10.0.0.68/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
divaca,default,10.0.0.70/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
divaca,default,10.0.0.70/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
dravograd,default,10.0.0.74/31,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
dravograd,default,10.0.0.75/32,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,local,0,0,
dravograd,default,10.0.0.78/31,interface FastEthernet1/1,AUTO/NONE(-1l),FastEthernet1/1,connected,0,0,
dravograd,default,10.0.0.79/32,interface FastEthernet1/1,AUTO/NONE(-1l),FastEthernet1/1,local,0,0,
dravograd,default,10.0.0.88/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
dravograd,default,10.0.0.89/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
dravograd,default,10.0.0.92/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
dravograd,default,10.0.0.92/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
dravograd,default,128.0.0.0/24,ip 10.0.0.88,10.0.0.88,dynamic,bgp,0,20,
gornjattradgona,default,10.0.0.54/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
gornjattradgona,default,10.0.0.54/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
gornjattradgona,default,10.0.0.56/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
gornjattradgona,default,10.0.0.56/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
izola,default,10.0.0.52/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
izola,default,10.0.0.53/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
izola,default,10.0.0.72/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
izola,default,10.0.0.72/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
jesenice,default,10.0.0.22/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
jesenice,default,10.0.0.23/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
kamnik,default,10.0.0.12/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
kamnik,default,10.0.0.13/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
kamnik,default,10.0.0.40/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
kamnik,default,10.0.0.41/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
koper,default,10.0.0.24/31,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
koper,default,10.0.0.25/32,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,local,0,0,
koper,default,10.0.0.42/31,interface FastEthernet1/1,AUTO/NONE(-1l),FastEthernet1/1,connected,0,0,
koper,default,10.0.0.43/32,interface FastEthernet1/1,AUTO/NONE(-1l),FastEthernet1/1,local,0,0,
koper,default,10.0.0.70/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
koper,default,10.0.0.71/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
koper,default,10.0.0.72/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
koper,default,10.0.0.73/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
kovevje,default,10.0.0.32/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
kovevje,default,10.0.0.33/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
kovevje,default,10.0.0.38/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
kovevje,default,10.0.0.39/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
kranj,default,10.0.0.22/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
kranj,default,10.0.0.22/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
kranj,default,10.0.0.24/31,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
kranj,default,10.0.0.24/32,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,local,0,0,
kranj,default,10.0.0.26/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
kranj,default,10.0.0.26/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
kranj,default,10.0.0.28/31,interface FastEthernet1/1,AUTO/NONE(-1l),FastEthernet1/1,connected,0,0,
kranj,default,10.0.0.28/32,interface FastEthernet1/1,AUTO/NONE(-1l),FastEthernet1/1,local,0,0,
krsko,default,10.0.0.4/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
krsko,default,10.0.0.4/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
krsko,default,10.0.0.6/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
krsko,default,10.0.0.6/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
lasko,default,10.0.0.0/31,interface FastEthernet1/1,AUTO/NONE(-1l),FastEthernet1/1,connected,0,0,
lasko,default,10.0.0.1/32,interface FastEthernet1/1,AUTO/NONE(-1l),FastEthernet1/1,local,0,0,
lasko,default,10.0.0.10/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
lasko,default,10.0.0.11/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
lasko,default,10.0.0.18/31,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
lasko,default,10.0.0.18/32,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,local,0,0,
lasko,default,10.0.0.20/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
lasko,default,10.0.0.20/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
lasko,default,128.0.0.0/24,ip 10.0.0.10,10.0.0.10,dynamic,bgp,0,20,
ljubljana,default,10.0.0.2/31,interface FastEthernet4/0,AUTO/NONE(-1l),FastEthernet4/0,connected,0,0,
ljubljana,default,10.0.0.3/32,interface FastEthernet4/0,AUTO/NONE(-1l),FastEthernet4/0,local,0,0,
ljubljana,default,10.0.0.20/31,interface FastEthernet2/0,AUTO/NONE(-1l),FastEthernet2/0,connected,0,0,
ljubljana,default,10.0.0.21/32,interface FastEthernet2/0,AUTO/NONE(-1l),FastEthernet2/0,local,0,0,
ljubljana,default,10.0.0.28/31,interface FastEthernet1/1,AUTO/NONE(-1l),FastEthernet1/1,connected,0,0,
ljubljana,default,10.0.0.29/32,interface FastEthernet1/1,AUTO/NONE(-1l),FastEthernet1/1,local,0,0,
ljubljana,default,10.0.0.34/31,interface FastEthernet3/0,AUTO/NONE(-1l),FastEthernet3/0,connected,0,0,
ljubljana,default,10.0.0.34/32,interface FastEthernet3/0,AUTO/NONE(-1l),FastEthernet3/0,local,0,0,
ljubljana,default,10.0.0.36/31,interface FastEthernet3/1,AUTO/NONE(-1l),FastEthernet3/1,connected,0,0,
ljubljana,default,10.0.0.36/32,interface FastEthernet3/1,AUTO/NONE(-1l),FastEthernet3/1,local,0,0,
ljubljana,default,10.0.0.38/31,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
ljubljana,default,10.0.0.38/32,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,local,0,0,
ljubljana,default,10.0.0.40/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
ljubljana,default,10.0.0.40/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
ljubljana,default,10.0.0.42/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
ljubljana,default,10.0.0.42/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
ljubljana,default,10.0.0.44/31,interface FastEthernet2/1,AUTO/NONE(-1l),FastEthernet2/1,connected,0,0,
ljubljana,default,10.0.0.44/32,interface FastEthernet2/1,AUTO/NONE(-1l),FastEthernet2/1,local,0,0,
ljutomer,default,10.0.0.80/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
ljutomer,default,10.0.0.81/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
ljutomer,default,10.0.0.82/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
ljutomer,default,10.0.0.82/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
maribor,default,10.0.0.18/31,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
maribor,default,10.0.0.19/32,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,local,0,0,
maribor,default,10.0.0.44/31,interface FastEthernet1/1,AUTO/NONE(-1l),FastEthernet1/1,connected,0,0,
maribor,default,10.0.0.45/32,interface FastEthernet1/1,AUTO/NONE(-1l),FastEthernet1/1,local,0,0,
maribor,default,10.0.0.56/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
maribor,default,10.0.0.57/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
maribor,default,10.0.0.86/31,interface FastEthernet2/0,AUTO/NONE(-1l),FastEthernet2/0,connected,0,0,
maribor,default,10.0.0.87/32,interface FastEthernet2/0,AUTO/NONE(-1l),FastEthernet2/0,local,0,0,
maribor,default,10.0.0.88/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
maribor,default,10.0.0.88/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
maribor,default,10.0.0.90/31,interface FastEthernet2/1,AUTO/NONE(-1l),FastEthernet2/1,connected,0,0,
maribor,default,10.0.0.90/32,interface FastEthernet2/1,AUTO/NONE(-1l),FastEthernet2/1,local,0,0,
maribor,default,128.0.0.0/24,ip 10.0.0.18,10.0.0.18,dynamic,bgp,0,20,
murskattsobota,default,10.0.0.58/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
murskattsobota,default,10.0.0.59/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
murskattsobota,default,10.0.0.80/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
murskattsobota,default,10.0.0.80/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
novattgorica,default,10.0.0.34/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
novattgorica,default,10.0.0.35/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
novattgorica,default,10.0.0.46/31,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
novattgorica,default,10.0.0.47/32,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,local,0,0,
novattgorica,default,10.0.0.48/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
novattgorica,default,10.0.0.48/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
novottmesto,default,10.0.0.6/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
novottmesto,default,10.0.0.7/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
novottmesto,default,10.0.0.32/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
novottmesto,default,10.0.0.32/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
ormoz,default,10.0.0.82/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
ormoz,default,10.0.0.83/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
ormoz,default,10.0.0.84/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
ormoz,default,10.0.0.84/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
peercelje_0,default,10.0.0.16/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
peercelje_0,default,10.0.0.17/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
peercelje_0,default,128.0.0.0/24,interface Loopback0,AUTO/NONE(-1l),Loopback0,connected,0,0,
peercelje_0,default,128.0.0.1/32,interface Loopback0,AUTO/NONE(-1l),Loopback0,local,0,0,
portoroz,default,10.0.0.50/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
portoroz,default,10.0.0.50/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
portoroz,default,10.0.0.52/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
portoroz,default,10.0.0.52/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
postojna,default,10.0.0.36/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
postojna,default,10.0.0.37/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
postojna,default,10.0.0.66/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
postojna,default,10.0.0.67/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
ptuj,default,10.0.0.60/31,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
ptuj,default,10.0.0.61/32,interface FastEthernet1/0,AUTO/NONE(-1l),FastEthernet1/0,local,0,0,
ptuj,default,10.0.0.84/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
ptuj,default,10.0.0.85/32,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
ptuj,default,10.0.0.86/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
ptuj,default,10.0.0.86/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
radenci,default,10.0.0.54/31,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
radenci,default,10.0.0.55/32,interface FastEthernet0/0,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
radenci,default,10.0.0.58/31,interface FastEthernet0/1,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
