Equivalence_Class,Source,Destination
ajdovscina_FastEthernet0/0,ajdovscina,Divaca
bled_FastEthernet0/0,bled,Kranj
bled_FastEthernet0/1,bled,Tolmin
celje_FastEthernet2/0,celje,Velenje
celje_FastEthernet0/1,celje,Lasko
celje_FastEthernet0/0,celje,Kamnik
divaca_FastEthernet1/0,divaca,Portoroz
divaca_FastEthernet1/1,divaca,Senozece
divaca_FastEthernet0/0,divaca,Ajdovscina
divaca_FastEthernet0/1,divaca,Koper
dravograd_FastEthernet1/1,dravograd,Velenje
dravograd_FastEthernet0/0,dravograd,Maribor
gornjattradgona_FastEthernet0/1,gornjattradgona,Radenci
gornjattradgona_FastEthernet0/0,gornjattradgona,Maribor
izola_FastEthernet0/1,izola,Portoroz
izola_FastEthernet0/0,izola,Koper
jesenice_FastEthernet0/0,jesenice,Kranj
kamnik_FastEthernet0/0,kamnik,Celje
kamnik_FastEthernet0/1,kamnik,Ljubljana
koper_FastEthernet1/0,koper,Kranj
koper_FastEthernet1/1,koper,Ljubljana
koper_FastEthernet0/0,koper,Divaca
koper_FastEthernet0/1,koper,Izola
kovevje_FastEthernet0/0,kovevje,Ljubljana
kranj_FastEthernet0/1,kranj,Jesenice
kranj_FastEthernet1/0,kranj,Koper
kranj_FastEthernet0/0,kranj,Bled
kranj_FastEthernet1/1,kranj,Ljubljana
lasko_FastEthernet1/1,lasko,Trbovlje
lasko_FastEthernet0/0,lasko,Celje
lasko_FastEthernet1/0,lasko,Maribor
lasko_FastEthernet0/1,lasko,Ljubljana
ljubljana_FastEthernet4/0,ljubljana,Trbovlje
ljubljana_FastEthernet2/0,ljubljana,Lasko
ljubljana_FastEthernet1/1,ljubljana,Kranj
ljubljana_FastEthernet3/1,ljubljana,Postojna
ljubljana_FastEthernet1/0,ljubljana,Kovevje
ljubljana_FastEthernet0/0,ljubljana,Kamnik
ljubljana_FastEthernet0/1,ljubljana,Koper
ljubljana_FastEthernet2/1,ljubljana,Maribor
ljutomer_FastEthernet0/1,ljutomer,Ormoz
maribor_FastEthernet1/0,maribor,Lasko
maribor_FastEthernet1/1,maribor,Ljubljana
maribor_FastEthernet2/0,maribor,Ptuj
maribor_FastEthernet0/0,maribor,Dravograd
murskattsobota_FastEthernet0/1,murskattsobota,Radenci
murskattsobota_FastEthernet0/0,murskattsobota,Ljutomer
novattgorica_FastEthernet0/1,novattgorica,Ljubljana
novattgorica_FastEthernet1/0,novattgorica,Tolmin
novattgorica_FastEthernet0/0,novattgorica,Ajdovscina
novottmesto_FastEthernet0/1,novottmesto,Krsko
novottmesto_FastEthernet0/0,novottmesto,Kovevje
ormoz_FastEthernet0/0,ormoz,Ljutomer
ormoz_FastEthernet0/1,ormoz,Ptuj
peercelje_0_FastEthernet0/0,peercelje,Celje
portoroz_FastEthernet0/0,portoroz,Divaca
portoroz_FastEthernet0/1,portoroz,Izola
postojna_FastEthernet0/0,postojna,Ljubljana
postojna_FastEthernet0/1,postojna,Senozece
ptuj_FastEthernet0/1,ptuj,Ormoz
ptuj_FastEthernet0/0,ptuj,Maribor
ravnettnattkoroskem_FastEthernet0/0,ravnettnattkoroskem,Dravograd
rogasjattslatina_FastEthernet0/0,rogasjattslatina,Krsko
rogasjattslatina_FastEthernet0/1,rogasjattslatina,Ptuj
senozece_FastEthernet1/0,senozece,Sezana
senozece_FastEthernet0/0,senozece,Divaca
senozece_FastEthernet0/1,senozece,Postojna
sezana_FastEthernet0/0,sezana,Senozece
slovenjttgradec_FastEthernet0/0,slovenjttgradec,Dravograd
slovenjttgradec_FastEthernet0/1,slovenjttgradec,Velenje
slovenskattbistrica_FastEthernet0/0,slovenskattbistrica,Celje
slovenskattbistrica_FastEthernet0/1,slovenskattbistrica,Maribor
tolmin_FastEthernet0/0,tolmin,Bled
trbovlje_FastEthernet0/0,trbovlje,Lasko
trbovlje_FastEthernet0/1,trbovlje,Ljubljana
velenje_FastEthernet0/0,velenje,Celje
velenje_FastEthernet0/1,velenje,Dravograd
