sample_id,source,destination,sla,satisfied,min_bw_top_paths,max_bw_top_paths,unsatisfied_links
summary,,,,91.89%,,,
0,Novattgorica,Rogasjattslatina,27.599999999999998,True,[160.0],[238.0],
1,Rogasjattslatina,Radenci,45.0,True,[79.1],[198.7],
2,Dravograd,Izola,22.8,True,[54.2],[150.8],
3,Portoroz,Krsko,26.4,False,[],[],
4,Lasko,Tolmin,19.2,True,[72.4],[186.0],
5,Kranj,Murskattsobota,42.6,False,[],[],
6,Peercelje_0,Ravnettnattkoroskem,42.6,True,[197.0],[336.0],
7,Rogasjattslatina,Ljutomer,24.599999999999998,False,[],[],
8,Ormoz,Lasko,19.2,False,[17.6],[195.0],Maribor-Lasko(17.6)
9,Postojna,Celje,48.6,False,[],[],
10,Trbovlje,Krsko,19.8,True,[75.5],[145.0],
11,Jesenice,Ajdovscina,37.8,True,[116.0],[256.4],
12,Portoroz,Ajdovscina,20.4,False,[],[],
13,Ormoz,Slovenskattbistrica,36.6,True,[61.0],[195.0],
14,Ormoz,Dravograd,19.8,True,[68.0],[195.0],
15,Peercelje_0,Ptuj,31.2,False,[],[],
16,Jesenice,Rogasjattslatina,38.4,True,[64.0],[164.6],
17,Tolmin,Sezana,51.0,True,[102.0],[220.0],
18,Ajdovscina,Murskattsobota,33.6,True,[191.5],[336.2],
19,Postojna,Velenje,25.2,True,[64.2],[175.0],
20,Velenje,Jesenice,33.6,True,[90.8],[215.9],
21,Gornjattradgona,Novottmesto,59.4,True,[369.0],[511.8],
22,Peercelje_0,Sezana,46.199999999999996,True,[195.0],[340.2],
23,Koper,Ptuj,26.4,True,[44.0],[191.0],
24,Dravograd,Slovenskattbistrica,19.8,True,[99.0],[116.6],
25,Ormoz,Novottmesto,46.199999999999996,False,[],[],
26,Rogasjattslatina,Portoroz,18.0,False,[],[],
27,Gornjattradgona,Ljubljana,54.0,True,[365.0],[389.3],
28,Sezana,Postojna,33.0,True,[188.0],[188.0],
29,Slovenjttgradec,Ormoz,27.599999999999998,False,[],[],
30,Portoroz,Koper,20.4,True,[162.0],[174.0],
31,Dravograd,Ajdovscina,22.2,True,[110.0],[458.0],
32,Novattgorica,Celje,30.0,False,[17.5],[112.0],Ljubljana-Kamnik(17.5); Kamnik-Celje(17.5)
33,Novattgorica,Jesenice,38.4,True,[187.0],[381.8],
34,Gornjattradgona,Peercelje_0,59.4,True,[174.0],[295.0],
35,Dravograd,Celje,39.0,True,[199.0],[255.0],
36,Ravnettnattkoroskem,Trbovlje,23.4,True,[125.8],[209.0],
37,Trbovlje,Ajdovscina,45.0,True,[187.0],[330.0],
38,Sezana,Peercelje_0,37.8,False,[],[],
39,Murskattsobota,Maribor,45.0,True,[56.0],[156.0],
40,Ptuj,Slovenjttgradec,18.0,True,[58.5],[150.5],
41,Gornjattradgona,Krsko,32.4,True,[35.1],[191.0],
42,Ajdovscina,Bled,46.8,False,[27.0],[152.0],Tolmin-Bled(27.0)
43,Celje,Radenci,49.8,True,[165.0],[236.1],
44,Slovenjttgradec,Ormoz,35.4,False,[],[],
45,Peercelje_0,Slovenjttgradec,18.0,False,[],[],
